Independent	independ	Independent
conservative	conserv	conservative
presidential	presidenti	presidential
candidate	candid	candidate
Evan	evan	Evan
McMullin	mcmullin	McMullin
has	has	ha
been	been	been
busily	busili	busily
warning	warn	warning
the	the	the
world	world	world
about	about	about
Donald	donald	Donald
Trump	trump	Trump
ever	ever	ever
since	sinc	since
the	the	the
reality	realiti	reality
star	star	star
became	becam	became
president	presid	president
-elect	-elect	-elect
.	.	.

McMullin	mcmullin	McMullin
is	is	is
a	a	a
former	former	former
operative	oper	operative
for	for	for
the	the	the
Central	central	Central
Intelligence	intellig	Intelligence
Agency	agenc	Agency
CIA	cia	CIA
.	.	.

He	he	He
is	is	is
also	also	also
an	an	an
expert	expert	expert
on	on	on
autocrats	autocrat	autocrat
.	.	.

He	he	He
once	onc	once
went	went	went
on	on	on
a	a	a
tweetstorm	tweetstorm	tweetstorm
warning	warn	warning
the	the	the
nation	nation	nation
that	that	that
Trump	trump	Trump
shows	show	show
all	all	all
the	the	the
signs	sign	sign
of	of	of
being	be	being
a	a	a
dictator	dictat	dictator
in	in	in
the	the	the
making	make	making
.	.	.

Now	now	Now
,	,	,
he	he	he
is	is	is
back	back	back
to	to	to
warn	warn	warn
us	us	u
again	again	again
this	this	this
time	time	time
about	about	about
where	where	where
Trump	trump	Trump
s	s	s
loyalties	loyalti	loyalty
really	realli	really
lie	lie	lie
and	and	and
it	it	it
s	s	s
NOT	not	NOT
with	with	with
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
.	.	.
McMullin	mcmullin	McMullin
sent	sent	sent
out	out	out
tweets	tweet	tweet
on	on	on
Saturday	saturday	Saturday
,	,	,
saying	say	saying
that	that	that
Trump	trump	Trump
,	,	,
is	is	is
,	,	,
quote	quot	quote
,	,	,
not	not	not
a	a	a
loyal	loyal	loyal
American	american	American
.	.	.

First	first	First
,	,	,
McMullin	mcmullin	McMullin
condemned	condemn	condemned
Trump	trump	Trump
s	s	s
Russia	russia	Russia
-friendly	-friend	-friendly
secretary	secretari	secretary
of	of	of
state	state	state
pick	pick	pick
In	in	In
Tillerson	tillerson	Tillerson
,	,	,
Trump	trump	Trump
has	has	ha
identified	identifi	identified
a	a	a
potential	potenti	potential
secretary	secretari	secretary
of	of	of
state	state	state
unlikely	unlik	unlikely
to	to	to
oppose	oppos	oppose
Trump's	trump	Trump's
alignment	align	alignment
with	with	with
Putin	putin	Putin
.	.	.

https://t.co/xc8aWzOOW6	https://t.co/xc8awzoow6	https://t.co/xc8aWzOOW6
Evan	evan	Evan
McMullin	mcmullin	McMullin
@Evan_McMullin	@evan_mcmullin	@Evan_McMullin
December	decemb	December
10	10	10
,	,	,
2016Then	2016then	2016Then
,	,	,
he	he	he
warned	warn	warned
everyone	everyon	everyone
that	that	that
Trump	trump	Trump
is	is	is
steadily	steadili	steadily
dismantling	dismantl	dismantling
all	all	all
of	of	of
the	the	the
things	thing	thing
that	that	that
have	have	have
protected	protect	protected
us	us	u
from	from	from
Russia	russia	Russia
for	for	for
decades	decad	decade
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
is	is	is
purposely	purpos	purposely
dismantling	dismantl	dismantling
barriers	barrier	barrier
that	that	that
protect	protect	protect
our	our	our
nation	nation	nation
from	from	from
dangerous	danger	dangerous
Russian	russian	Russian
subversion	subvers	subversion
,	,	,
which	which	which
he	he	he
has	has	ha
also	also	also
welcomed	welcom	welcomed
.	.	.

Evan	evan	Evan
McMullin	mcmullin	McMullin
@Evan_McMullin	@evan_mcmullin	@Evan_McMullin
December	decemb	December
10	10	10
,	,	,
2016Finally	2016final	2016Finally
,	,	,
McMullin	mcmullin	McMullin
told	told	told
all	all	all
Americans	american	Americans
what	what	what
we	we	we
definitely	definit	definitely
need	need	need
to	to	to
heed	heed	heed
,	,	,
that	that	that
Trump	trump	Trump
is	is	is
not	not	not
loyal	loyal	loyal
to	to	to
this	this	this
nation	nation	nation
,	,	,
and	and	and
since	sinc	since
he	he	he
will	will	will
be	be	be
running	run	running
it	it	it
for	for	for
the	the	the
next	next	next
four	four	four
years	year	year
,	,	,
we	we	we
need	need	need
to	to	to
realize	realiz	realize
that	that	that
and	and	and
act	act	act
in	in	in
our	our	our
best	best	best
interest	interest	interest
It	it	It
must	must	must
be	be	be
clear	clear	clear
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
a	a	a
loyal	loyal	loyal
American	american	American
and	and	and
we	we	we
should	should	should
prepare	prepar	prepare
for	for	for
the	the	the
next	next	next
four	four	four
years	year	year
accordingly	accord	accordingly
.	.	.

@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Evan	evan	Evan
McMullin	mcmullin	McMullin
@Evan_McMullin	@evan_mcmullin	@Evan_McMullin
December	decemb	December
10	10	10
,	,	,
2016This	2016this	2016This
is	is	is
as	as	a
dangerous	danger	dangerous
as	as	a
it	it	it
gets	get	get
,	,	,
folks	folk	folk
.	.	.

Trump	trump	Trump
is	is	is
literally	liter	literally
about	about	about
to	to	to
hand	hand	hand
control	control	control
of	of	of
this	this	this
nation	nation	nation
over	over	over
to	to	to
Vladimir	vladimir	Vladimir
Putin	putin	Putin
.	.	.

Putin	putin	Putin
is	is	is
no	no	no
friend	friend	friend
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

He	he	He
is	is	is
a	a	a
bully	bulli	bully
,	,	,
a	a	a
thug	thug	thug
,	,	,
and	and	and
a	a	a
killer	killer	killer
.	.	.

He	he	He
is	is	is
the	the	the
enemy	enemi	enemy
of	of	of
democracy	democraci	democracy
everywhere	everywher	everywhere
,	,	,
and	and	and
we	we	we
have	have	have
a	a	a
man	man	man
who	who	who
is	is	is
a	a	a
sympathizer	sympath	sympathizer
to	to	to
Russia	russia	Russia
and	and	and
Putin	putin	Putin
about	about	about
to	to	to
become	becom	become
president	presid	president
.	.	.
We	we	We
must	must	must
resist	resist	resist
.	.	.

We	we	We
must	must	must
not	not	not
normalize	normal	normalize
this	this	this
.	.	.

Our	our	Our
very	veri	very
lives	live	life
as	as	a
we	we	we
know	know	know
them	them	them
may	may	may
depend	depend	depend
on	on	on
#TheResistance.Featured	#theresistance.featur	#TheResistance.Featured
image	imag	image
via	via	via
George	georg	George
Frey	frey	Frey
Getty	getti	Getty
Images	imag	Images

