Sometimes	sometim	Sometimes
all	all	all
you	you	you
can	can	can
do	do	do
is	is	is
laugh	laugh	laugh
at	at	at
the	the	the
stupidity	stupid	stupidity
of	of	of
Fox	fox	Fox
News	news	News
,	,	,
which	which	which
is	is	is
exactly	exact	exactly
what	what	what
Vermont	vermont	Vermont
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
just	just	just
did	did	did
when	when	when
discussing	discuss	discussing
taxes	tax	tax
for	for	for
the	the	the
wealthy	wealthi	wealthy
and	and	and
ridiculous	ridicul	ridiculous
wealth	wealth	wealth
inequality	inequ	inequality
.	.	.
The	the	The
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
appeared	appear	appeared
on	on	on
Fox	fox	Fox
News	news	News
with	with	with
Chris	chris	Chris
Wallace	wallac	Wallace
this	this	this
past	past	past
Sunday	sunday	Sunday
,	,	,
and	and	and
one	one	one
of	of	of
the	the	the
things	thing	thing
that	that	that
the	the	the
Fox	fox	Fox
host	host	host
tried	tri	tried
to	to	to
grill	grill	grill
Sanders	sander	Sanders
on	on	on
was	was	wa
to	to	to
question	question	question
the	the	the
claim	claim	claim
that	that	that
the	the	the
economy	economi	economy
is	is	is
rigged	rig	rigged
for	for	for
the	the	the
one	one	one
percent	percent	percent
.	.	.
Wallace	wallac	Wallace
tried	tri	tried
to	to	to
make	make	make
his	his	his
point	point	point
by	by	by
pointing	point	pointing
out	out	out
that	that	that
in	in	in
1981	1981	1981
the	the	the
top	top	top
one	one	one
percent	percent	percent
paid	paid	paid
17	17	17
of	of	of
all	all	all
federal	feder	federal
income	incom	income
taxes	tax	tax
,	,	,
as	as	a
compared	compar	compared
to	to	to
now	now	now
where	where	where
they	they	they
pay	pay	pay
37	37	37
.	.	.

However	howev	However
,	,	,
he	he	he
clearly	clear	clearly
doesn	doesn	doesn
t	t	t
understand	understand	understand
math	math	math
,	,	,
which	which	which
actually	actual	actually
falls	fall	fall
right	right	right
into	into	into
Sanders	sander	Sanders
argument	argument	argument
that	that	that
the	the	the
system	system	system
is	is	is
,	,	,
in	in	in
fact	fact	fact
,	,	,
rigged	rig	rigged
for	for	for
the	the	the
very	veri	very
wealthy	wealthi	wealthy
to	to	to
keep	keep	keep
getting	get	getting
wealthier	wealthier	wealthier
without	without	without
paying	pay	paying
their	their	their
fair	fair	fair
share	share	share
of	of	of
taxes	tax	tax
.	.	.
Wallace	wallac	Wallace
asks	ask	asks
Sanders	sander	Sanders
If	if	If
the	the	the
wealthy	wealthi	wealthy
have	have	have
rigged	rig	rigged
the	the	the
system	system	system
,	,	,
why	whi	why
have	have	have
they	they	they
done	done	done
such	such	such
a	a	a
lousy	lousi	lousy
job	job	job
of	of	of
it	it	it
?	?	?

This	this	This
is	is	is
when	when	when
Bernie	berni	Bernie
literally	liter	literally
laughs	laugh	laugh
out	out	out
loud	loud	loud
and	and	and
responds	respond	responds
to	to	to
the	the	the
condescending	condescend	condescending
Wallace	wallac	Wallace
Ohhh	ohhh	Ohhh
,	,	,
Chris	chris	Chris
.	.	.

I	i	I
think	think	think
you	you	you
re	re	re
missing	miss	missing
the	the	the
major	major	major
point	point	point
here	here	here
,	,	,
and	and	and
that	that	that
is	is	is
,	,	,
what	what	what
we	we	we
have	have	have
seen	seen	seen
in	in	in
recent	recent	recent
years	year	year
is	is	is
a	a	a
huge	huge	huge
transfer	transfer	transfer
of	of	of
wealth	wealth	wealth
from	from	from
the	the	the
middle	middl	middle
class	class	class
to	to	to
the	the	the
top	top	top
one	one	one
tenth	tenth	tenth
of	of	of
one	one	one
percent	percent	percent
whose	whose	whose
percentage	percentag	percentage
of	of	of
wealth	wealth	wealth
in	in	in
America	america	America
has	has	ha
doubled	doubl	doubled
.	.	.

We	we	We
re	re	re
talking	talk	talking
about	about	about
trillions	trillion	trillion
of	of	of
dollars	dollar	dollar
going	go	going
from	from	from
the	the	the
middle	middl	middle
class	class	class
to	to	to
the	the	the
top	top	top
one	one	one
tenth	tenth	tenth
of	of	of
one	one	one
percent	percent	percent
.	.	.

Wallace	wallac	Wallace
then	then	then
tries	tri	try
to	to	to
blame	blame	blame
President	presid	President
Obama	obama	Obama
,	,	,
because	becaus	because
of	of	of
course	cours	course
,	,	,
but	but	but
Sanders	sander	Sanders
responds	respond	responds
These	these	These
are	are	are
policies	polici	policy
that	that	that
have	have	have
gone	gone	gone
on	on	on
for	for	for
a	a	a
long	long	long
long	long	long
time	time	time
under	under	under
Republican	republican	Republican
administrations	administr	administration
and	and	and
Democratic	democrat	Democratic
administrations	administr	administration
.	.	.

Now	now	Now
,	,	,
are	are	are
we	we	we
better	better	better
off	off	off
today	today	today
than	than	than
we	we	we
were	were	were
when	when	when
President	presid	President
Bush	bush	Bush
left	left	left
office	offic	office
and	and	and
we	we	we
were	were	were
losing	lose	losing
800	800	800
,	,	,
000	000	000
jobs	job	job
a	a	a
month	month	month
?	?	?

Of	of	Of
course	cours	course
we	we	we
are	are	are
.	.	.

But	but	But
for	for	for
the	the	the
last	last	last
40	40	40
years	year	year
what	what	what
we	we	we
have	have	have
been	been	been
seeing	see	seeing
is	is	is
a	a	a
middle	middl	middle
class	class	class
disappearing	disappear	disappearing
,	,	,
people	peopl	people
working	work	working
longer	longer	longer
hours	hour	hour
for	for	for
low	low	low
wages	wage	wage
,	,	,
and	and	and
today	today	today
,	,	,
as	as	a
it	it	it
happens	happen	happens
,	,	,
58	58	58
of	of	of
all	all	all
new	new	new
income	incom	income
is	is	is
going	go	going
to	to	to
the	the	the
top	top	top
one	one	one
percent	percent	percent
.	.	.

That	that	That
s	s	s
a	a	a
rigged	rig	rigged
economy	economi	economy
to	to	to
my	my	my
mind	mind	mind
,	,	,
Chris	chris	Chris
.	.	.

And	and	And
if	if	if
they	they	they
are	are	are
earning	earn	earning
58	58	58
of	of	of
all	all	all
new	new	new
income	incom	income
,	,	,
they	they	they
should	should	should
be	be	be
paying	pay	paying
58	58	58
of	of	of
all	all	all
tax	tax	tax
revenue	revenu	revenue
,	,	,
but	but	but
they	they	they
re	re	re
not	not	not
.	.	.

The	the	The
system	system	system
is	is	is
rigged	rig	rigged
for	for	for
them	them	them
to	to	to
get	get	get
away	away	away
with	with	with
paying	pay	paying
less	less	le
and	and	and
less	less	le
with	with	with
a	a	a
lower	lower	lower
tax	tax	tax
burden	burden	burden
due	due	due
to	to	to
loopholes	loophol	loophole
and	and	and
deductions	deduct	deduction
those	those	those
who	who	who
make	make	make
FAR	far	FAR
less	less	le
don	don	don
t	t	t
get	get	get
the	the	the
opportunity	opportun	opportunity
to	to	to
take	take	take
advantage	advantag	advantage
of	of	of
.	.	.
Sanders	sander	Sanders
is	is	is
exactly	exact	exactly
right	right	right
,	,	,
and	and	and
good	good	good
for	for	for
him	him	him
for	for	for
laughing	laugh	laughing
in	in	in
the	the	the
face	face	face
of	of	of
Fox	fox	Fox
News	news	News
.	.	.

It	it	It
s	s	s
about	about	about
time	time	time
someone	someon	someone
did	did	did
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
YouTube	youtub	YouTube

