There	there	There
s	s	s
a	a	a
lot	lot	lot
being	be	being
said	said	said
about	about	about
football	footbal	football
players	player	player
across	across	across
the	the	the
NFL	nfl	NFL
standing	stand	standing
together	togeth	together
in	in	in
unity	uniti	unity
against	against	against
police	polic	police
brutality	brutal	brutality
.	.	.

This	this	This
is	is	is
even	even	even
more	more	more
pertinent	pertin	pertinent
now	now	now
,	,	,
as	as	a
even	even	even
more	more	more
black	black	black
men	men	men
have	have	have
been	been	been
gunned	gun	gunned
down	down	down
in	in	in
the	the	the
street	street	street
just	just	just
this	this	this
week	week	week
by	by	by
police	polic	police
.	.	.
Using	use	Using
his	his	his
press	press	press
conference	confer	conference
to	to	to
bring	bring	bring
further	further	further
awareness	awar	awareness
to	to	to
this	this	this
topic	topic	topic
was	was	wa
none	none	none
other	other	other
than	than	than
Seattle	seattl	Seattle
Seahawks	seahawk	Seahawks
star	star	star
cornerback	cornerback	cornerback
Richard	richard	Richard
Sherman	sherman	Sherman
.	.	.

He	he	He
said	said	said
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
answer	answer	answer
any	ani	any
questions	question	question
today	today	today
,	,	,
and	and	and
it	it	it
s	s	s
no	no	no
offense	offens	offense
to	to	to
you	you	you
guys	guy	guy
,	,	,
but	but	but
the	the	the
state	state	state
of	of	of
things	thing	thing
in	in	in
the	the	the
world	world	world
today	today	today
is	is	is
very	veri	very
interesting	interest	interesting
.	.	.

I	i	I
think	think	think
you	you	you
have	have	have
players	player	player
that	that	that
are	are	are
trying	tri	trying
to	to	to
take	take	take
a	a	a
stand	stand	stand
and	and	and
be	be	be
aware	awar	aware
of	of	of
social	social	social
issues	issu	issue
and	and	and
try	tri	try
to	to	to
make	make	make
a	a	a
stand	stand	stand
and	and	and
increase	increas	increase
people	peopl	people
s	s	s
awareness	awar	awareness
and	and	and
put	put	put
a	a	a
spotlight	spotlight	spotlight
on	on	on
it	it	it
and	and	and
they	they	they
re	re	re
being	be	being
ignored	ignor	ignored
.	.	.

Whether	whether	Whether
they	they	they
re	re	re
taking	take	taking
a	a	a
knee	knee	knee
or	or	or
whether	whether	whether
they	they	they
re	re	re
locking	lock	locking
arms	arm	arm
,	,	,
you	you	you
know	know	know
,	,	,
they	they	they
re	re	re
trying	tri	trying
to	to	to
bring	bring	bring
people	peopl	people
together	togeth	together
and	and	and
united	unit	united
them	them	them
for	for	for
a	a	a
cause	caus	cause
.	.	.

And	and	And
I	i	I
think	think	think
that	that	that
the	the	the
last	last	last
couple	coupl	couple
days	day	day
a	a	a
couple	coupl	couple
more	more	more
guys	guy	guy
have	have	have
gotten	gotten	gotten
shot	shot	shot
and	and	and
killed	kill	killed
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
street	street	street
and	and	and
more	more	more
videos	video	video
have	have	have
come	come	come
out	out	out
of	of	of
guys	guy	guy
getting	get	getting
killed	kill	killed
,	,	,
and	and	and
I	i	I
think	think	think
people	peopl	people
are	are	are
still	still	still
missing	miss	missing
the	the	the
point	point	point
.	.	.
The	the	The
reason	reason	reason
these	these	these
guys	guy	guy
are	are	are
kneeling	kneel	kneeling
.	.	.

The	the	The
reason	reason	reason
we	we	we
re	re	re
locking	lock	locking
arms	arm	arm
is	is	is
to	to	to
bring	bring	bring
people	peopl	people
together	togeth	together
.	.	.

To	to	To
make	make	make
people	peopl	people
aware	awar	aware
that	that	that
this	this	this
is	is	is
not	not	not
right	right	right
.	.	.

You	you	You
know	know	know
,	,	,
it	it	it
s	s	s
not	not	not
right	right	right
for	for	for
people	peopl	people
to	to	to
get	get	get
killed	kill	killed
in	in	in
the	the	the
street	street	street
.	.	.

Sherman	sherman	Sherman
then	then	then
explains	explain	explains
how	how	how
he	he	he
s	s	s
been	been	been
proactive	proactiv	proactive
in	in	in
the	the	the
community	communiti	community
and	and	and
even	even	even
needing	need	needing
to	to	to
go	go	go
so	so	so
far	far	far
as	as	a
to	to	to
train	train	train
young	young	young
people	peopl	people
of	of	of
color	color	color
on	on	on
how	how	how
to	to	to
behave	behav	behave
with	with	with
the	the	the
police	polic	police
,	,	,
but	but	but
still	still	still
being	be	being
fearful	fear	fearful
that	that	that
they	they	they
might	might	might
get	get	get
shot	shot	shot
.	.	.

He	he	He
says	say	say
,	,	,
that	that	that
s	s	s
an	an	an
unfortunate	unfortun	unfortunate
time	time	time
to	to	to
be	be	be
living	live	living
.	.	.

Especially	especi	Especially
when	when	when
people	peopl	people
are	are	are
being	be	being
killed	kill	killed
for	for	for
no	no	no
reason	reason	reason
.	.	.
He	he	He
then	then	then
has	has	ha
some	some	some
choice	choic	choice
words	word	word
by	by	by
those	those	those
who	who	who
are	are	are
supposedly	suppos	supposedly
offended	offend	offended
by	by	by
those	those	those
standing	stand	standing
up	up	up
against	against	against
police	polic	police
brutality	brutal	brutality
by	by	by
quietly	quiet	quietly
using	use	using
their	their	their
First	first	First
Amendment	amend	Amendment
right	right	right
of	of	of
dissent	dissent	dissent
and	and	and
protest	protest	protest
to	to	to
bring	bring	bring
awareness	awar	awareness
to	to	to
the	the	the
plight	plight	plight
.	.	.

