Amateur	amateur	Amateur
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
s	s	s
hostility	hostil	hostility
towards	toward	towards
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
is	is	is
revealing	reveal	revealing
by	by	by
his	his	his
pick	pick	pick
to	to	to
head	head	head
the	the	the
EPA	epa	EPA
who	who	who
attacked	attack	attacked
his	his	his
own	own	own
agency	agenc	agency
during	dure	during
an	an	an
address	address	address
to	to	to
the	the	the
Conservative	conserv	Conservative
Political	polit	Political
Action	action	Action
summit	summit	summit
last	last	last
week	week	week
.	.	.
The	the	The
former	former	former
reality	realiti	reality
show	show	show
star	star	star
is	is	is
hell	hell	hell
bent	bent	bent
on	on	on
raping	rape	raping
the	the	the
environment	environ	environment
,	,	,
this	this	this
time	time	time
with	with	with
an	an	an
executive	execut	executive
order	order	order
directing	direct	directing
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
and	and	and
the	the	the
Army	armi	Army
Corps	corp	Corps
of	of	of
Engineers	engin	Engineers
to	to	to
consider	consid	consider
rolling	roll	rolling
back	back	back
a	a	a
regulation	regul	regulation
aimed	aim	aimed
at	at	at
protecting	protect	protecting
America	america	America
s	s	s
waterways	waterway	waterway
from	from	from
pollution	pollut	pollution
.	.	.
Apparently	appar	Apparently
,	,	,
the	the	the
alleged	alleg	alleged
president	presid	president
doesn	doesn	doesn
t	t	t
realize	realiz	realize
that	that	that
humans	human	human
need	need	need
water	water	water
to	to	to
live	live	live
.	.	.
There	there	There
s	s	s
a	a	a
price	price	price
to	to	to
pay	pay	pay
for	for	for
such	such	such
action	action	action
,	,	,
such	such	such
as	as	a
lawsuits	lawsuit	lawsuit
and	and	and
that	that	that
s	s	s
something	someth	something
Trump	trump	Trump
is	is	is
familiar	familiar	familiar
with	with	with
.	.	.
But	but	But
,	,	,
he	he	he
s	s	s
about	about	about
to	to	to
get	get	get
a	a	a
ton	ton	ton
of	of	of
sh	sh	sh
t	t	t
coming	come	coming
down	down	down
on	on	on
him	him	him
via	via	via
Democratic	democrat	Democratic
Attorney	attorney	Attorney
Generals	general	Generals
for	for	for
rolling	roll	rolling
back	back	back
that	that	that
protection	protect	protection
on	on	on
clean	clean	clean
water	water	water
.	.	.
Talking	talk	Talking
Points	point	Points
Memo	memo	Memo
reports	report	report
We	we	We
strongly	strong	strongly
oppose	oppos	oppose
President	presid	President
Trump	trump	Trump
s	s	s
action	action	action
today	today	today
that	that	that
undermines	undermin	undermines
Clean	clean	Clean
Water	water	Water
Act	act	Act
protections	protect	protection
and	and	and
the	the	the
public	public	public
health	health	health
and	and	and
environment	environ	environment
of	of	of
our	our	our
states	state	state
,	,	,
the	the	the
attorneys	attorney	attorney
general	general	general
in	in	in
New	new	New
York	york	York
,	,	,
Hawaii	hawaii	Hawaii
,	,	,
Massachusetts	massachusett	Massachusetts
,	,	,
Oregon	oregon	Oregon
,	,	,
Vermont	vermont	Vermont
and	and	and
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
group	group	group
of	of	of
attorneys	attorney	attorney
general	general	general
,	,	,
led	led	led
by	by	by
New	new	New
York	york	York
Attorney	attorney	Attorney
General	general	General
Eric	eric	Eric
Schneiderman	schneiderman	Schneiderman
,	,	,
suggested	suggest	suggested
taking	take	taking
legal	legal	legal
action	action	action
against	against	against
the	the	the
Trump	trump	Trump
administration	administr	administration
in	in	in
the	the	the
statement	statement	statement
.	.	.
We	we	We
won	won	won
t	t	t
hesitate	hesit	hesitate
to	to	to
protect	protect	protect
our	our	our
people	peopl	people
and	and	and
our	our	our
environment	environ	environment
including	includ	including
by	by	by
aggressively	aggress	aggressively
opposing	oppos	opposing
in	in	in
court	court	court
President	presid	President
Trump	trump	Trump
s	s	s
actions	action	action
that	that	that
ignore	ignor	ignore
both	both	both
the	the	the
law	law	law
and	and	and
the	the	the
public	public	public
s	s	s
paramount	paramount	paramount
need	need	need
for	for	for
clean	clean	clean
water	water	water
,	,	,
the	the	the
AGs	ag	AGs
wrote	wrote	wrote
.	.	.
Abandoning	abandon	Abandoning
the	the	the
Clean	clean	Clean
Water	water	Water
Rule	rule	Rule
will	will	will
allow	allow	allow
