Token	Stem	Lemma
Ever	ever	Ever
since	sinc	since
his	his	his
GOP	gop	GOP
rivals	rival	rival
dropped	drop	dropped
out	out	out
of	of	of
the	the	the
presidential	presidenti	presidential
race	race	race
and	and	and
he	he	he
became	becam	became
the	the	the
presumptive	presumpt	presumptive
Republican	republican	Republican
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
stopped	stop	stopped
attacking	attack	attacking
his	his	his
fellow	fellow	fellow
Republicans	republican	Republicans
and	and	and
focused	focus	focused
his	his	his
childish	childish	childish
attacks	attack	attack
on	on	on
his	his	his
biggest	biggest	biggest
competition	competit	competition
Democratic	democrat	Democratic
front	front	front
runner	runner	runner
Hillary	hillari	Hillary
Clinton	clinton	Clinton
And	and	And
of	of	of
course	cours	course
he	he	he
s	s	s
doing	do	doing
it	it	it
the	the	the
only	onli	only
way	way	way
he	he	he
knows	know	know
how	how	how
by	by	by
being	be	being
a	a	a
misogynist	misogynist	misogynist
and	and	and
attacking	attack	attacking
her	her	her
marriage	marriag	marriage
The	the	The
only	onli	only
problem	problem	problem
is	is	is
Trump	trump	Trump
is	is	is
too	too	too
stupid	stupid	stupid
to	to	to
fully	fulli	fully
grasp	grasp	grasp
the	the	the
full	full	full
hypocrisy	hypocrisi	hypocrisy
of	of	of
what	what	what
he	he	he
s	s	s
doing	do	doing
It	it	It
s	s	s
been	been	been
widely	wide	widely
reported	report	reported
that	that	that
in	in	in
the	the	the
past	past	past
Trump	trump	Trump
was	was	wa
somewhat	somewhat	somewhat
close	close	close
to	to	to
the	the	the
Clintons	clinton	Clintons
he	he	he
even	even	even
invited	invit	invited
them	them	them
to	to	to
his	his	his
third	third	third
wedding	wed	wedding
But	but	But
what	what	what
many	mani	many
don	don	don
t	t	t
realize	realiz	realize
is	is	is
that	that	that
the	the	the
very	veri	very
attacks	attack	attack
Trump	trump	Trump
is	is	is
making	make	making
on	on	on
the	the	the
Clintons	clinton	Clintons
are	are	are
things	thing	thing
that	that	that
Trump	trump	Trump
previously	previous	previously
defended	defend	defended
the	the	the
political	polit	political
power	power	power
couple	coupl	couple
against	against	against
No	no	No
one	one	one
pointed	point	pointed
this	this	this
out	out	out
better	better	better
than	than	than
Chuck	chuck	Chuck
Todd	todd	Todd
on	on	on
Wednesday	wednesday	Wednesday
morning	morn	morning
when	when	when
he	he	he
appeared	appear	appeared
on	on	on
NBC	nbc	NBC
s	s	s
Today	today	Today
to	to	to
call	call	call
Trump	trump	Trump
out	out	out
for	for	for
being	be	being
a	a	a
walking	walk	walking
contradiction	contradict	contradiction
It	it	It
was	was	wa
already	alreadi	already
an	an	an
amazing	amaz	amazing
segment	segment	segment
with	with	with
Today	today	Today
showing	show	showing
some	some	some
footage	footag	footage
of	of	of
Trump	trump	Trump
calling	call	calling
Paula	paula	Paula
Jones	jone	Jones
a	a	a
woman	woman	woman
who	who	who
accused	accus	accused
former	former	former
president	presid	president
Bill	bill	Bill
Clinton	clinton	Clinton
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
years	year	year
ago	ago	ago
a	a	a
loser	loser	loser
The	the	The
show	show	show
also	also	also
aired	air	aired
an	an	an
old	old	old
video	video	video
of	of	of
Trump	trump	Trump
saying	say	saying
that	that	that
the	the	the
way	way	way
HE	he	HE
treated	treat	treated
women	women	woman
would	would	would
prevent	prevent	prevent
him	him	him
from	from	from
being	be	being
president	presid	president
if	if	if
he	he	he
were	were	were
to	to	to
run	run	run
In	in	In
a	a	a
statement	statement	statement
that	that	that
has	has	ha
come	come	come
back	back	back
to	to	to
haunt	haunt	haunt
him	him	him
Trump	trump	Trump
had	had	had
said	said	said
Can	can	Can
you	you	you
imagine	imagin	imagine
how	how	how
controversial	controversi	controversial
I	i	I
d	d	d
be	be	be
You	you	You
think	think	think
about	about	about
Bill	bill	Bill
Clinton	clinton	Clinton
with	with	with
the	the	the
women	women	woman
how	how	how
about	about	about
me	me	me
with	with	with
the	the	the
women	women	woman
Can	can	Can
you	you	you
imagine	imagin	imagine
In	in	In
the	the	the
past	past	past
Trump	trump	Trump
had	had	had
also	also	also
downplayed	downplay	downplayed
Bill	bill	Bill
s	s	s
Monica	monica	Monica
Lewinsky	lewinski	Lewinsky
scandal	scandal	scandal
saying	say	saying
Look	look	Look
at	at	at
the	the	the
trouble	troubl	trouble
Bill	bill	Bill
Clinton	clinton	Clinton
got	got	got
into	into	into
with	with	with
something	someth	something
that	that	that
was	was	wa
totally	total	totally
unimportant	unimport	unimportant
and	and	and
they	they	they
tried	tri	tried
to	to	to
impeach	impeach	impeach
him	him	him
which	which	which
was	was	wa
nonsense	nonsens	nonsense
But	but	But
now	now	now
that	that	that
the	the	the
stakes	stake	stake
are	are	are
high	high	high
and	and	and
Trump	trump	Trump
needs	need	need
to	to	to
defeat	defeat	defeat
Hillary	hillari	Hillary
his	his	his
attitude	attitud	attitude
has	has	ha
done	done	done
a	a	a
complete	complet	complete
180	180	180
and	and	and
Todd	todd	Todd
