After	after	After
revelations	revel	revelation
from	from	from
the	the	the
CIA	cia	CIA
that	that	that
Russians	russian	Russians
interfered	interf	interfered
with	with	with
our	our	our
country	countri	country
s	s	s
presidential	presidenti	presidential
election	elect	election
in	in	in
order	order	order
to	to	to
help	help	help
Donald	donald	Donald
Trump	trump	Trump
win	win	win
the	the	the
keys	key	key
to	to	to
the	the	the
White	white	White
House	hous	House
,	,	,
electors	elector	elector
are	are	are
seeking	seek	seeking
more	more	more
information	inform	information
on	on	on
the	the	the
hack	hack	hack
by	by	by
a	a	a
hostile	hostil	hostile
foreign	foreign	foreign
power	power	power
.	.	.
Ten	ten	Ten
Electoral	elector	Electoral
College	colleg	College
electors	elector	elector
penned	pen	penned
an	an	an
open	open	open
letter	letter	letter
to	to	to
ask	ask	ask
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
officials	offici	official
for	for	for
more	more	more
information	inform	information
on	on	on
ongoing	ongo	ongoing
investigations	investig	investigation
into	into	into
Trump	trump	Trump
s	s	s
relationship	relationship	relationship
with	with	with
Russia	russia	Russia
.	.	.
The	the	The
group	group	group
of	of	of
electors	elector	elector
,	,	,
including	includ	including
the	the	the
daughter	daughter	daughter
of	of	of
House	hous	House
Democratic	democrat	Democratic
Leader	leader	Leader
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
D	d	D
-CA	-ca	-CA
,	,	,
wrote	wrote	wrote
the	the	the
letter	letter	letter
to	to	to
Director	director	Director
of	of	of
National	nation	National
Intelligence	intellig	Intelligence
James	jame	James
Clapper	clapper	Clapper
asking	ask	asking
for	for	for
the	the	the
information	inform	information
ahead	ahead	ahead
of	of	of
their	their	their
Dec	dec	Dec
.	.	.
19th	19th	19th
meeting	meet	meeting
in	in	in
which	which	which
they	they	they
are	are	are
to	to	to
formally	formal	formally
vote	vote	vote
for	for	for
the	the	the
next	next	next
president	presid	president
.	.	.
The	the	The
Electors	elector	Electors
require	requir	require
to	to	to
know	know	know
from	from	from
the	the	the
intelligence	intellig	intelligence
community	communiti	community
whether	whether	whether
there	there	there
are	are	are
ongoing	ongo	ongoing
investigations	investig	investigation
into	into	into
ties	tie	tie
between	between	between
Donald	donald	Donald
Trump	trump	Trump
,	,	,
his	his	his
campaign	campaign	campaign
or	or	or
associates	associ	associate
,	,	,
and	and	and
Russian	russian	Russian
government	govern	government
interference	interfer	interference
in	in	in
the	the	the
election	elect	election
,	,	,
the	the	the
scope	scope	scope
of	of	of
those	those	those
investigations	investig	investigation
,	,	,
how	how	how
far	far	far
those	those	those
investigations	investig	investigation
may	may	may
have	have	have
reached	reach	reached
,	,	,
and	and	and
who	who	who
was	was	wa
involved	involv	involved
in	in	in
those	those	those
investigations	investig	investigation
,	,	,
the	the	the
letter	letter	letter
states	state	state
.	.	.
We	we	We
further	further	further
require	requir	require
a	a	a
briefing	brief	briefing
on	on	on
all	all	all
investigative	investig	investigative
findings	find	finding
,	,	,
as	as	a
these	these	these
matters	matter	matter
directly	direct	directly
impact	impact	impact
the	the	the
core	core	core
factors	factor	factor
in	in	in
our	our	our
deliberations	deliber	deliberation
of	of	of
whether	whether	whether
Mr	mr	Mr
.	.	.
Trump	trump	Trump
is	is	is
fit	fit	fit
to	to	to
serve	serv	serve
as	as	a
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Allegations	alleg	Allegations
that	that	that
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
receiving	receiv	receiving
assistance	assist	assistance
from	from	from
a	a	a
hostile	hostil	hostile
foreign	foreign	foreign
power	power	power
to	to	to
win	win	win
the	the	the
election	elect	election
began	began	began
months	month	month
before	befor	before
Election	elect	Election
Day	day	Day
,	,	,
the	the	the
letter	letter	letter
continues	continu	continues
.	.	.
When	when	When
presented	present	presented
with	with	with
information	inform	information
that	that	that
the	the	the
Russian	russian	Russian
government	govern	government
was	was	wa
interfering	interf	interfering
in	in	in
the	the	the
election	elect	election
through	through	through
the	the	the
course	cours	course
of	of	of
the	the	the
campaign	campaign	campaign
,	,	,
both	both	both
in	in	in
private	privat	private
briefings	brief	briefing
and	and	and
public	public	public
assessment	assess	assessment
,	,	,
Donald	donald	Donald
Trump	trump	Trump
rejected	reject	rejected
it	it	it
,	,	,
refused	refus	refused
to	to	to
condemn	condemn	condemn
it	it	it
,	,	,
