Here	here	Here
is	is	is
his	his	his
epic	epic	epic
response	respons	response
to	to	to
her	her	her
criticism	critic	criticism
Lady	ladi	Lady
came	came	came
up	up	up
,	,	,
told	told	told
me	me	me
I	i	I
should	should	should
take	take	take
this	this	this
hat	hat	hat
off	off	off
.	.	.

Told	told	Told
her	her	her
she	she	she
should	should	should
go	go	go
get	get	get
her	her	her
money	money	money
back	back	back
for	for	for
her	her	her
ugly	ugli	ugly
haircut	haircut	haircut
.	.	.

That	that	That
ended	end	ended
THAT	that	THAT
!	!	!

Mic	mic	Mic
drop	drop	drop
!	!	!

Lady	ladi	Lady
came	came	came
up	up	up
,	,	,
told	told	told
me	me	me
I	i	I
should	should	should
take	take	take
this	this	this
hat	hat	hat
off	off	off
.	.	.

Told	told	Told
her	her	her
she	she	she
should	should	should
go	go	go
get	get	get
her	her	her
money	money	money
back	back	back
for	for	for
her	her	her
ugly	ugli	ugly
haircut	haircut	haircut
.	.	.

That	that	That
ended	end	ended
THAT	that	THAT
!	!	!

Mic	mic	Mic
drop	drop	drop
!	!	!

pic.twitter.com/SfQQDMNi9V	pic.twitter.com/sfqqdmni9v	pic.twitter.com/SfQQDMNi9V
David	david	David
A	a	A
.	.	.

Clarke	clark	Clarke
,	,	,
Jr	jr	Jr
.	.	.
@SheriffClarke	@sheriffclark	@SheriffClarke
February	februari	February
17	17	17
,	,	,
2017	2017	2017

