Oh	oh	Oh
the	the	the
irony	ironi	irony
!	!	!
Left	left	Left
-leaning	-lean	-leaning
MSNBC	msnbc	MSNBC
aired	air	aired
a	a	a
segment	segment	segment
about	about	about
President	presid	President
Trump	trump	Trump
s	s	s
proposed	propos	proposed
border	border	border
wall	wall	wall
,	,	,
which	which	which
ultimately	ultim	ultimately
proved	prove	proved
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-Mexico	-mexico	-Mexico
border	border	border
needs	need	need
a	a	a
bigger	bigger	bigger
wall	wall	wall
.	.	.
HOW	how	HOW
HIGH	high	HIGH
SHOULD	should	SHOULD
WE	we	WE
GO	go	GO
?	?	?
The	the	The
Trump	trump	Trump
administration	administr	administration
has	has	ha
approved	approv	approved
the	the	the
construction	construct	construction
of	of	of
eight	eight	eight
prototypes	prototyp	prototype
of	of	of
the	the	the
border	border	border
wall	wall	wall
.	.	.
These	these	These
prototypes	prototyp	prototype
are	are	are
nearing	near	nearing
completion	complet	completion
as	as	a
the	the	the
administration	administr	administration
s	s	s
deadline	deadlin	deadline
approaches	approach	approach
.	.	.
The	the	The
prototypes	prototyp	prototype
have	have	have
several	sever	several
guidelines	guidelin	guideline
they	they	they
must	must	must
satisfy	satisfi	satisfy
.	.	.
For	for	For
instance	instanc	instance
,	,	,
concrete	concret	concrete
walls	wall	wall
have	have	have
to	to	to
be	be	be
30	30	30
ft	ft	ft
.	.	.
tall	tall	tall
while	while	while
walls	wall	wall
made	made	made
from	from	from
alternate	altern	alternate
materials	materi	material
have	have	have
to	to	to
be	be	be
18	18	18
to	to	to
30	30	30
ft	ft	ft
.	.	.
tall	tall	tall
.	.	.
JUMPING	jump	JUMPING
THE	the	THE
FENCE	fenc	FENCE
MSNBC	msnbc	MSNBC
reporter	report	reporter
Jacob	jacob	Jacob
Soboroff	soboroff	Soboroff
went	went	went
to	to	to
preview	preview	preview
the	the	the
prototypes	prototyp	prototype
that	that	that
are	are	are
being	be	being
built	built	built
between	between	between
two	two	two
existing	exist	existing
border	border	border
fences	fenc	fence
along	along	along
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-Mexico	-mexico	-Mexico
border	border	border
.	.	.
During	dure	During
the	the	the
segment	segment	segment
,	,	,
Soboroff	soboroff	Soboroff
was	was	wa
interviewing	interview	interviewing
border	border	border
