When	when	When
Donald	donald	Donald
Trump	trump	Trump
banned	ban	banned
the	the	the
Washington	washington	Washington
Post	post	Post
from	from	from
his	his	his
events	event	event
,	,	,
he	he	he
no	no	no
doubt	doubt	doubt
thought	thought	thought
it	it	it
was	was	wa
the	the	the
boldest	boldest	boldest
move	move	move
yet	yet	yet
in	in	in
his	his	his
war	war	war
against	against	against
the	the	the
dishonest	dishonest	dishonest
media	media	medium
.	.	.
The	the	The
Post	post	Post
,	,	,
however	howev	however
,	,	,
is	is	is
far	far	far
from	from	from
the	the	the
first	first	first
outlet	outlet	outlet
to	to	to
fall	fall	fall
to	to	to
Trump	trump	Trump
s	s	s
wrath	wrath	wrath
.	.	.
To	to	To
date	date	date
,	,	,
Trump	trump	Trump
has	has	ha
actually	actual	actually
banned	ban	banned
nine	nine	nine
media	media	medium
outlets	outlet	outlet
from	from	from
covering	cover	covering
his	his	his
events	event	event
.	.	.
Nine	nine	Nine
.	.	.
But	but	But
he	he	he
won	won	won
t	t	t
stop	stop	stop
until	until	until
he	he	he
s	s	s
sure	sure	sure
the	the	the
coverage	coverag	coverage
he	he	he
s	s	s
getting	get	getting
fits	fit	fit
his	his	his
definition	definit	definition
of	of	of
honest	honest	honest
and	and	and
fair	fair	fair
.	.	.
The	the	The
New	new	New
York	york	York
Times	time	Times
,	,	,
whom	whom	whom
Trump	trump	Trump
reviles	revil	reviles
but	but	but
somehow	somehow	somehow
hasn	hasn	hasn
t	t	t
totally	total	totally
banned	ban	banned
yet	yet	yet
,	,	,
went	went	went
to	to	to
work	work	work
compiling	compil	compiling
a	a	a
list	list	list
of	of	of
blacklisted	blacklist	blacklisted
outlets	outlet	outlet
after	after	after
explaining	explain	explaining
why	whi	why
Trump	trump	Trump
banned	ban	banned
the	the	the
Post	post	Post
.	.	.
They	they	They
added	ad	added
In	in	In
reality	realiti	reality
,	,	,
of	of	of
course	cours	course
,	,	,
no	no	no
one	one	one
would	would	would
be	be	be
more	more	more
miserable	miser	miserable
than	than	than
Mr	mr	Mr
.	.	.
Trump	trump	Trump
if	if	if
these	these	these
bans	ban	ban
actually	actual	actually
resulted	result	resulted
in	in	in
less	less	le
coverage	coverag	coverage
of	of	of
his	his	his
campaign	campaign	campaign
.	.	.
That	that	That
s	s	s
a	a	a
truth	truth	truth
bomb	bomb	bomb
if	if	if
ever	ever	ever
there	there	there
was	was	wa
one	one	one
.	.	.
Trump	trump	Trump
s	s	s
need	need	need
for	for	for
glowing	glow	glowing
praise	prais	praise
,	,	,
kowtowing	kowtow	kowtowing
and	and	and
general	general	general
ass	ass	as
-kissing	-kiss	-kissing
means	mean	mean
he	he	he
absolutely	absolut	absolutely
must	must	must
hog	hog	hog
as	as	a
much	much	much
of	of	of
the	the	the
spotlight	spotlight	spotlight
as	as	a
possible	possibl	possible
.	.	.
That	that	That
includes	includ	includes
all	all	all
the	the	the
favorable	favor	favorable
media	media	medium
coverage	coverag	coverage
he	he	he
can	can	can
get	get	get
.	.	.
But	but	But
if	if	if
he	he	he
thinks	think	think
that	that	that
coverage	coverag	coverage
will	will	will
become	becom	become
more	more	more
favorable	favor	favorable
after	after	after
he	he	he
bans	ban	ban
outlets	outlet	outlet
in	in	in
fits	fit	fit
of	of	of
rage	rage	rage
appropriate	appropri	appropriate
to	to	to
a	a	a
toddler	toddler	toddler
,	,	,
he	he	he
ll	ll	ll
be	be	be
sorely	sore	sorely
disappointed	disappoint	disappointed
.	.	.
The	the	The
truly	truli	truly
funny	funni	funny
thing	thing	thing
about	about	about
this	this	this
is	is	is
that	that	that
he	he	he
hasn	hasn	hasn
t	t	t
thought	thought	thought
it	it	it
through	through	through
at	at	at
all	all	all
.	.	.
Reporters	report	Reporters
from	from	from
blackballed	blackbal	blackballed
outlets	outlet	outlet
can	can	can
still	still	still
attend	attend	attend
most	most	most
of	of	of
Trump	trump	Trump
s	s	s
events	event	event
as	as	a
members	member	member
of	of	of
the	the	the
general	general	general
public	public	public
.	.	.
They	they	They
can	can	can
t	t	t
get	get	get
credentials	credenti	credential
,	,	,
and	and	and
they	they	they
can	can	can
t	t	t
attend	attend	attend
his	his	his
official	offici	official
press	press	press
conferences	confer	conference
,	,	,
but	but	but
they	they	they
can	can	can
still	still	still
go	go	go
to	to	to
and	and	and
cover	cover	cover
rallies	ralli	rally
and	and	and
other	other	other
events	event	event
.	.	.
That	that	That
means	mean	mean
that	that	that
Trump	trump	Trump
is	is	is
spiraling	spiral	spiraling
down	down	down
into	into	into
some	some	some
serious	serious	serious
delusions	delus	delusion
if	if	if
he	he	he
thinks	think	think
these	these	these
bans	ban	ban
will	will	will
solve	solv	solve
his	his	his
imagined	imagin	imagined
problems	problem	problem
with	with	with
the	the	the
media	media	medium
.	.	.
So	so	So
who	who	who
,	,	,
besides	besid	besides
the	the	the
Post	post	Post
,	,	,
has	has	ha
he	he	he
banned	ban	banned
,	,	,
and	and	and
why	whi	why
?	?	?
Besides	besid	Besides
banning	ban	banning
entire	entir	entire
outlets	outlet	outlet
,	,	,
he	he	he
s	s	s
barred	bar	barred
reporters	report	reporter
from	from	from
Mother	mother	Mother
