Hurricane	hurrican	Hurricane
Irma	irma	Irma
,	,	,
one	one	one
of	of	of
the	the	the
most	most	most
powerful	power	powerful
Atlantic	atlant	Atlantic
storms	storm	storm
ever	ever	ever
recorded	record	recorded
,	,	,
was	was	wa
responsible	respons	responsible
for	for	for
the	the	the
deaths	death	death
of	of	of
at	at	at
least	least	least
102	102	102
people	peopl	people
,	,	,
44	44	44
of	of	of
whom	whom	whom
were	were	were
in	in	in
the	the	the
Caribbean	caribbean	Caribbean
.	.	.
Of	of	Of
the	the	the
fatalities	fatal	fatality
recorded	record	recorded
in	in	in
the	the	the
mainland	mainland	mainland
US	us	US
,	,	,
at	at	at
least	least	least
50	50	50
were	were	were
in	in	in
Florida	florida	Florida
,	,	,
11	11	11
of	of	of
which	which	which
were	were	were
due	due	due
to	to	to
the	the	the
stifling	stifl	stifling
conditions	condit	condition
inside	insid	inside
a	a	a
South	south	South
Florida	florida	Florida
nursing	nurs	nursing
home	home	home
after	after	after
it	it	it
lost	lost	lost
power	power	power
.	.	.
Those	those	Those
11	11	11
deaths	death	death
could	could	could
have	have	have
possibly	possibl	possibly
been	been	been
avoided	avoid	avoided
if	if	if
Republican	republican	Republican
Florida	florida	Florida
Governor	governor	Governor
Rick	rick	Rick
Scott	scott	Scott
had	had	had
heeded	heed	heeded
the	the	the
emergency	emerg	emergency
calls	call	call
he	he	he
had	had	had
received	receiv	received
about	about	about
the	the	the
worsening	worsen	worsening
conditions	condit	condition
in	in	in
the	the	the
home	home	home
.	.	.
A	a	A
criminal	crimin	criminal
Probe	probe	Probe
has	has	ha
been	been	been
opened	open	opened
into	into	into
the	the	the
tragedy	tragedi	tragedy
at	at	at
the	the	the
Rehabilitation	rehabilit	Rehabilitation
Center	center	Center
at	at	at
Hollywood	hollywood	Hollywood
Hill	hill	Hill
,	,	,
a	a	a
nursing	nurs	nursing
home	home	home
in	in	in
Hollywood	hollywood	Hollywood
,	,	,
Florida	florida	Florida
,	,	,
north	north	north
of	of	of
Miami	miami	Miami
,	,	,
where	where	where
five	five	five
bodies	bodi	body
were	were	were
found	found	found
inside	insid	inside
the	the	the
home	home	home
itself	itself	itself
,	,	,
with	with	with
more	more	more
patients	patient	patient
dying	die	dying
later	later	later
in	in	in
a	a	a
nearby	nearbi	nearby
hospital	hospit	hospital
.	.	.
The	the	The
Vice	vice	Vice
President	presid	President
of	of	of
The	the	The
Rehabilitation	rehabilit	Rehabilitation
Center	center	Center
at	at	at
Hollywood	hollywood	Hollywood
Hills	hill	Hills
,	,	,
Natasha	natasha	Natasha
Anderson	anderson	Anderson
,	,	,
attempted	attempt	attempted
to	to	to
contact	contact	contact
Governor	governor	Governor
Scott	scott	Scott
by	by	by
phone	phone	phone
on	on	on
four	four	four
separate	separ	separate
occasions	occas	occasion
in	in	in
the	the	the
two	two	two
days	day	day
leading	lead	leading
up	up	up
to	to	to
the	the	the
death	death	death
of	of	of
the	the	the
first	first	first
patient	patient	patient
,	,	,
leaving	leav	leaving
a	a	a
message	messag	message
each	each	each
time	time	time
about	about	about
the	the	the
worsening	worsen	worsening
conditions	condit	condition
inside	insid	inside
the	the	the
home	home	home
and	and	and
asking	ask	asking
for	for	for
immediate	immedi	immediate
assistance	assist	assistance
.	.	.
When	when	When
Scott	scott	Scott
s	s	s
office	offic	office
was	was	wa
contacted	contact	contacted
in	in	in
regards	regard	regard
to	to	to
the	the	the
messages	messag	message
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
said	said	said
,	,	,
The	the	The
voicemails	voicemail	voicemail
were	were	were
not	not	not
retained	retain	retained
.	.	.
In	in	In
what	what	what
could	could	could
amount	amount	amount
to	to	to
possible	possibl	possible
charges	charg	charge
of	of	of
criminal	crimin	criminal
negligence	neglig	negligence
against	against	against
Scott	scott	Scott
,	,	,
the	the	the
spokeswoman	spokeswoman	spokeswoman
wrote	wrote	wrote
in	in	in
an	an	an
email	email	email
The	the	The
voicemails	voicemail	voicemail
were	were	were
not	not	not
retained	retain	retained
because	becaus	because
the	the	the
information	inform	information
from	from	from
each	each	each
voicemail	voicemail	voicemail
was	was	wa
collected	collect	collected
by	by	by
the	the	the
Governor	governor	Governor
s	s	s
staff	staff	staff
and	and	and
given	given	given
to	to	to
the	the	the
proper	proper	proper
agency	agenc	agency
for	for	for
handling	handl	handling
.	.	.
Despite	despit	Despite
Anderson	anderson	Anderson
s	s	s
claims	claim	claim
that	that	that
she	she	she
requested	request	requested
immediate	immedi	immediate
assistance	assist	assistance
,	,	,
Scott	scott	Scott
has	has	ha
stated	state	stated
that	that	that
nobody	nobodi	nobody
from	from	from
the	the	the
nursing	nurs	nursing
home	home	home
said	said	said
the	the	the
patients	patient	patient
were	were	were
in	in	in
Danger	danger	Danger
or	or	or
that	that	that
the	the	the
situation	situat	situation
was	was	wa
at	at	at
crisis	crisi	crisis
level	level	level
.	.	.
Anderson	anderson	Anderson
called	call	called
Florida	florida	Florida
Power	power	Power
and	and	and
Light	light	Light
after	after	after
the	the	the
152	152	152
-bed	-bed	-bed
facility	facil	facility
lost	lost	lost
power	power	power
to	to	to
its	it	it
air	air	air
-conditioning	-condit	-conditioning
at	at	at
around	around	around
3pm	3pm	3pm
on	on	on
September	septemb	September
10	10	10
.	.	.
FPL	fpl	FPL
said	said	said
they	they	they
would	would	would
have	have	have
crews	crew	crew
dispatched	dispatch	dispatched
the	the	the
next	next	next
morning	morn	morning
,	,	,
but	but	but
to	to	to
no	no	no
avail	avail	avail
so	so	so
on	on	on
the	the	the
evening	even	evening
of	of	of
September	septemb	September
11	11	11
,	,	,
Anderson	anderson	Anderson
called	call	called
a	a	a
cellphone	cellphon	cellphone
number	number	number
provided	provid	provided
by	by	by
Scott	scott	Scott
during	dure	during
a	a	a
conference	confer	conference
call	call	call
prior	prior	prior
to	to	to
the	the	the
emergency	emerg	emergency
in	in	in
which	which	which
he	he	he
claimed	claim	claimed
they	they	they
could	could	could
contact	contact	contact
him	him	him
him	him	him
if	if	if
trouble	troubl	trouble
arose	aros	arose
,	,	,
however	howev	however
,	,	,
she	she	she
was	was	wa
only	onli	only
able	abl	able
to	to	to
get	get	get
his	his	his
voicemail	voicemail	voicemail
.	.	.
She	she	She
tried	tri	tried
three	three	three
more	more	more
times	time	time
the	the	the
following	follow	following
day	day	day
,	,	,
met	met	met
with	with	with
the	the	the
same	same	same
result	result	result
.	.	.
Patients	patient	Patients
at	at	at
the	the	the
home	home	home
began	began	began
to	to	to
suffer	suffer	suffer
from	from	from
a	a	a
variety	varieti	variety
of	of	of
health	health	health
problems	problem	problem
between	between	between
3am	3am	3am
and	and	and
6am	6am	6am
on	on	on
the	the	the
morning	morn	morning
of	of	of
September	septemb	September
13	13	13
,	,	,
some	some	some
of	of	of
whom	whom	whom
had	had	had
body	bodi	body
temperatures	temperatur	temperature
recorded	record	recorded
as	as	a
high	high	high
as	as	a
109	109	109
.	.	.
None	none	None
of	of	of
this	this	this
changes	chang	change
the	the	the
fact	fact	fact
that	that	that
this	this	this
facility	facil	facility
chose	chose	chose
not	not	not
to	to	to
call	call	call
911	911	911
or	or	or
evacuate	evacu	evacuate
their	their	their
patients	patient	patient
to	to	to
the	the	the
hospital	hospit	hospital
across	across	across
the	the	the
street	street	street
to	to	to
save	save	save
lives	live	life
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
noted	note	noted
.	.	.
I	i	I
am	am	am
going	go	going
to	to	to
work	work	work
to	to	to
aggressively	aggress	aggressively
demand	demand	demand
answers	answer	answer
on	on	on
how	how	how
this	this	this
tragic	tragic	tragic
event	event	event
took	took	took
place	place	place
,	,	,
Governor	governor	Governor
Rick	rick	Rick
Scott	scott	Scott
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
This	this	This
situation	situat	situation
is	is	is
unfathomable	unfathom	unfathomable
.	.	.
Every	everi	Every
facility	facil	facility
that	that	that
is	is	is
charged	charg	charged
with	with	with
caring	care	caring
for	for	for
patients	patient	patient
must	must	must
take	take	take
every	everi	every
action	action	action
and	and	and
precaution	precaut	precaution
to	to	to
keep	keep	keep
their	their	their
patients	patient	patient
safe	safe	safe
.	.	.
The	the	The
governor	governor	governor
has	has	ha
since	sinc	since
shut	shut	shut
off	off	off
the	the	the
facility	facil	facility
s	s	s
Medicare	medicar	Medicare
and	and	and
Medicaid	medicaid	Medicaid
funding	fund	funding
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
