Wow	wow	Wow
!	!	!

Apparently	appar	Apparently
Paul	paul	Paul
Ryan	ryan	Ryan
forgot	forgot	forgot
that	that	that
Trump	trump	Trump
won	won	won
the	the	the
nomination	nomin	nomination
because	becaus	because
the	the	the
majority	major	majority
of	of	of
Americans	american	Americans
CHOSE	chose	CHOSE
HIM	him	HIM
as	as	a
their	their	their
candidate	candid	candidate
.	.	.

It	it	It
s	s	s
not	not	not
about	about	about
who	who	who
the	the	the
Republican	republican	Republican
elites	elit	elite
choose	choos	choose
Paul	paul	Paul
.	.	.

Should	should	Should
we	we	we
just	just	just
do	do	do
away	away	away
with	with	with
elections	elect	election
altogether	altogeth	altogether
and	and	and
let	let	let
the	the	the
establishment	establish	establishment
Republicans	republican	Republicans
choose	choos	choose
our	our	our
candidate	candid	candidate
for	for	for
us	us	u
?	?	?

The	the	The
people	peopl	people
of	of	of
the	the	the
party	parti	party
he	he	he
belongs	belong	belongs
to	to	to
have	have	have
chosen	chosen	chosen
a	a	a
nominee	nomine	nominee
Thursday	thursday	Thursday
on	on	on
Fox	fox	Fox
News	news	News
Channel	channel	Channel
s	s	s
Hannity	hanniti	Hannity
,	,	,
former	former	former
House	hous	House
Speaker	speaker	Speaker
Newt	newt	Newt
Gingrich	gingrich	Gingrich
criticized	critic	criticized
current	current	current
House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
R	r	R
-WI	-wi	-WI
for	for	for
his	his	his
lack	lack	lack
of	of	of
endorsement	endors	endorsement
of	of	of
likely	like	likely
presumptive	presumpt	presumptive
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
in	in	in
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
.	.	.
Gingrich	gingrich	Gingrich
told	told	told
host	host	host
Sean	sean	Sean
Hannity	hanniti	Hannity
it	it	it
was	was	wa
a	a	a
big	big	big
mistake	mistak	mistake
and	and	and
that	that	that
it	it	it
sets	set	set
the	the	the
wrong	wrong	wrong
tone	tone	tone
for	for	for
the	the	the
rest	rest	rest
of	of	of
the	the	the
Republican	republican	Republican
Party	parti	Party
.	.	.

I	i	I
n	n	n
the	the	the
case	case	case
of	of	of
Paul	paul	Paul
Ryan	ryan	Ryan
he	he	he
made	made	made
a	a	a
big	big	big
mistake	mistak	mistake
today	today	today
and	and	and
he	he	he
needs	need	need
to	to	to
understand	understand	understand
this	this	this
,	,	,
Gingrich	gingrich	Gingrich
said	said	said
.	.	.

He	he	He
is	is	is
the	the	the
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
.	.	.

He	he	He
has	has	ha
an	an	an
obligation	oblig	obligation
to	to	to
unify	unifi	unify
the	the	the
party	parti	party
.	.	.

He	he	He
has	has	ha
an	an	an
obligation	oblig	obligation
to	to	to
reach	reach	reach
out	out	out
.	.	.

Obviously	obvious	Obviously
he	he	he
and	and	and
Donald	donald	Donald
Trump	trump	Trump
are	are	are
going	go	going
to	to	to
have	have	have
disagreements	disagr	disagreement
.	.	.

Some	some	Some
of	of	of
them	them	them
