Very	veri	Very
outspoken	outspoken	outspoken
Bernie	berni	Bernie
Sanders	sander	Sanders
supporter	support	supporter
Seth	seth	Seth
MacFarlane	macfarlan	MacFarlane
recently	recent	recently
told	told	told
the	the	the
Jason	jason	Jason
Rantz	rantz	Rantz
Show	show	Show
a	a	a
few	few	few
things	thing	thing
he	he	he
d	d	d
like	like	like
to	to	to
see	see	see
out	out	out
of	of	of
he	he	he
fellow	fellow	fellow
Bernie	berni	Bernie
supporters	support	supporter
.	.	.

The	the	The
Family	famili	Family
Guy	guy	Guy
creator	creator	creator
knows	know	know
that	that	that
you	you	you
can	can	can
be	be	be
fervent	fervent	fervent
in	in	in
your	your	your
support	support	support
for	for	for
a	a	a
candidate	candid	candidate
without	without	without
losing	lose	losing
sight	sight	sight
of	of	of
the	the	the
bigger	bigger	bigger
picture	pictur	picture
.	.	.
He	he	He
said	said	said
I	i	I
actually	actual	actually
am	am	am
one	one	one
of	of	of
the	the	the
people	peopl	people
who	who	who
has	has	ha
been	been	been
a	a	a
little	littl	little
disappointed	disappoint	disappointed
at	at	at
the	the	the
way	way	way
that	that	that
,	,	,
not	not	not
necessarily	necessarili	necessarily
the	the	the
campaign	campaign	campaign
,	,	,
the	the	the
supporters	support	supporter
of	of	of
the	the	the
campaign	campaign	campaign
have	have	have
treated	treat	treated
Hillary	hillari	Hillary
.	.	.

I	i	I
think	think	think
she	she	she
s	s	s
been	been	been
treated	treat	treated
a	a	a
little	littl	little
harshly	harsh	harshly
by	by	by
the	the	the
left	left	left
.	.	.

Then	then	Then
making	make	making
a	a	a
comparison	comparison	comparison
with	with	with
those	those	those
on	on	on
the	the	the
right	right	right
side	side	side
of	of	of
the	the	the
aisle	aisl	aisle
,	,	,
a	a	a
party	parti	party
who	who	who
s	s	s
lost	lost	lost
their	their	their
damn	damn	damn
mind	mind	mind
in	in	in
regards	regard	regard
to	to	to
Trump	trump	Trump
,	,	,
a	a	a
man	man	man
who	who	who
they	they	they
are	are	are
actually	actual	actually
putting	put	putting
forward	forward	forward
with	with	with
all	all	all
seriousness	serious	seriousness
for	for	for
president	presid	president
,	,	,
MacFarlane	macfarlan	MacFarlane
said	said	said
That	that	That
party	parti	party
has	has	ha
lost	lost	lost
some	some	some
control	control	control
.	.	.

This	this	This
is	is	is
a	a	a
guy	guy	guy
who	who	who
is	is	is
the	the	the
result	result	result
of	of	of
a	a	a
lot	lot	lot
of	of	of
bigotry	bigotri	bigotry
gone	gone	gone
wild	wild	wild
.	.	.

On	on	On
the	the	the
other	other	other
hand	hand	hand
,	,	,
my	my	my
side	side	side
,	,	,
the	the	the
left	left	left
,	,	,
has	has	ha
gotten	gotten	gotten
a	a	a
little	littl	little
unreasonable	unreason	unreasonable
when	when	when
it	it	it
comes	come	come
to	to	to
separating	separ	separating
the	the	the
trivial	trivial	trivial
from	from	from
the	the	the
profound	profound	profound
.	.	.

He	he	He
added	ad	added
later	later	later
The	the	The
problem	problem	problem
is	is	is
if	if	if
we	we	we
don	don	don
t	t	t
pick	pick	pick
our	our	our
battles	battl	battle
,	,	,
then	then	then
we	we	we
look	look	look
unreasonable	unreason	unreasonable
.	.	.

And	and	And
I	i	I
think	think	think
that	that	that
s	s	s
part	part	part
of	of	of
where	where	where
Trump	trump	Trump
has	has	ha
come	come	come
from	from	from
because	becaus	because
we	we	we
have	have	have
not	not	not
been	been	been
able	abl	able
to	to	to
separate	separ	separate
things	thing	thing
that	that	that
are	are	are
injustices	injustic	injustice
from	from	from
things	thing	thing
that	that	that
we	we	we
re	re	re
just	just	just
offended	offend	offended
by	by	by
.	.	.

And	and	And
it	it	it
s	s	s
troubling	troubl	troubling
.	.	.

MacFarlane	macfarlan	MacFarlane
seems	seem	seems
to	to	to
know	know	know
that	that	that
every	everi	every
ounce	ounc	ounce
of	of	of
hate	hate	hate
thrown	thrown	thrown
at	at	at
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
an	an	an
ounce	ounc	ounce
of	of	of
ammunition	ammunit	ammunition
that	that	that
may	may	may
be	be	be
used	use	used
later	later	later
.	.	.

He	he	He
also	also	also
knows	know	know
that	that	that
when	when	when
there	there	there
s	s	s
no	no	no
clear	clear	clear
distinction	distinct	distinction
between	between	between
arguments	argument	argument
that	that	that
are	are	are
serious	serious	serious
versus	versus	versus
those	those	those
that	that	that
are	are	are
petty	petti	petty
and	and	and
ridiculous	ridicul	ridiculous
,	,	,
it	it	it
only	onli	only
serves	serv	serf
to	to	to
hurt	hurt	hurt
the	the	the
candidate	candid	candidate
you	you	you
re	re	re
trying	tri	trying
to	to	to
support	support	support
.	.	.

In	in	In
essence	essenc	essence
,	,	,
many	mani	many
Bernie	berni	Bernie
supporters	support	supporter
are	are	are
actually	actual	actually
helping	help	helping
Trump	trump	Trump
,	,	,
because	becaus	because
they	they	they
re	re	re
validating	valid	validating
that	that	that
same	same	same
sort	sort	sort
of	of	of
rhetoric	rhetor	rhetoric
that	that	that
is	is	is
being	be	being
seen	seen	seen
from	from	from
his	his	his
supporters	support	supporter
as	as	a
well	well	well
.	.	.
At	at	At
the	the	the
end	end	end
of	of	of
the	the	the
day	day	day
,	,	,
we	we	we
need	need	need
to	to	to
remember	rememb	remember
that	that	that
a	a	a
Democrat	democrat	Democrat
needs	need	need
to	to	to
win	win	win
the	the	the
White	white	White
House	hous	House
in	in	in
November	novemb	November
.	.	.

Whether	whether	Whether
that	that	that
candidate	candid	candidate
is	is	is
Bernie	berni	Bernie
Sanders	sander	Sanders
or	or	or
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
we	we	we
need	need	need
to	to	to
vote	vote	vote
blue	blue	blue
no	no	no
matter	matter	matter
who	who	who
.	.	.

It	it	It
s	s	s
our	our	our
best	best	best
shot	shot	shot
at	at	at
retaining	retain	retaining
sanity	saniti	sanity
within	within	within
the	the	the
Oval	oval	Oval
Office	offic	Office
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Kevork	kevork	Kevork
Djansezian	djansezian	Djansezian
Getty	getti	Getty
Images	imag	Images

