Last	last	Last
night	night	night
,	,	,
at	at	at
the	the	the
birthplace	birthplac	birthplace
of	of	of
free	free	free
speech	speech	speech
,	,	,
we	we	we
watched	watch	watched
as	as	a
rioters	rioter	rioter
took	took	took
to	to	to
the	the	the
campus	campus	campus
of	of	of
Berkeley	berkeley	Berkeley
College	colleg	College
to	to	to
shut	shut	shut
down	down	down
the	the	the
free	free	free
speech	speech	speech
of	of	of
gay	gay	gay
conservative	conserv	conservative
Milo	milo	Milo
Yiannopoulos	yiannopoulo	Yiannopoulos
.	.	.
The	the	The
speech	speech	speech
was	was	wa
scheduled	schedul	scheduled
in	in	in
advance	advanc	advance
,	,	,
and	and	and
police	polic	police
were	were	were
aware	awar	aware
that	that	that
angry	angri	angry
Democratic	democrat	Democratic
Party	parti	Party
supporters	support	supporter
and	and	and
anarchists	anarchist	anarchist
were	were	were
likely	like	likely
to	to	to
cause	caus	cause
chaos	chao	chaos
and	and	and
threaten	threaten	threaten
the	the	the
security	secur	security
of	of	of
students	student	student
who	who	who
attended	attend	attended
the	the	the
event	event	event
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
guest	guest	guest
speaker	speaker	speaker
.	.	.
After	after	After
violent	violent	violent
riots	riot	riot
broke	broke	broke
out	out	out
,	,	,
which	which	which
included	includ	included
hundreds	hundr	hundred
of	of	of
rocks	rock	rock
and	and	and
firecrackers	firecrack	firecracker
thrown	thrown	thrown
at	at	at
police	polic	police
,	,	,
the	the	the
event	event	event
was	was	wa
cancelled	cancel	cancelled
.	.	.
Yiannopoulos	yiannopoulo	Yiannopoulos
was	was	wa
rushed	rush	rushed
out	out	out
of	of	of
the	the	the
building	build	building
and	and	and
taken	taken	taken
to	to	to
a	a	a
place	place	place
of	of	of
safety	safeti	safety
.	.	.
It	it	It
s	s	s
important	import	important
to	to	to
note	note	note
,	,	,
that	that	that
only	onli	only
1	1	1
month	month	month
ago	ago	ago
,	,	,
these	these	these
violent	violent	violent
riots	riot	riot
would	would	would
have	have	have
likely	like	likely
been	been	been
ignored	ignor	ignored
by	by	by
President	presid	President
Obama	obama	Obama
.	.	.
But	but	But
this	this	this
is	is	is
not	not	not
1	1	1
month	month	month
ago	ago	ago
.	.	.
This	this	This
is	is	is
now	now	now
,	,	,
and	and	and
now	now	now
,	,	,
we	we	we
have	have	have
a	a	a
new	new	new
sheriff	sheriff	sheriff
in	in	in
town	town	town
.	.	.
We	we	We
have	have	have
a	a	a
President	presid	President
who	who	who
respects	respect	respect
the	the	the
free	free	free
speech	speech	speech
rights	right	right
of	of	of
every	everi	every
American	american	American
,	,	,
whether	whether	whether
he	he	he
agrees	agre	agrees
or	or	or
disagrees	disagre	disagrees
with	with	with
them	them	them
.	.	.
We	we	We
have	have	have
a	a	a
President	presid	President
who	who	who
will	will	will
not	not	not
sit	sit	sit
back	back	back
and	and	and
allow	allow	allow
innocent	innoc	innocent
citizens	citizen	citizen
to	to	to
be	be	be
threatened	threaten	threatened
by	by	by
violent	violent	violent
radicals	radic	radical
who	who	who
are	are	are
breaking	break	breaking
the	the	the
law	law	law
.	.	.
Here	here	Here
is	is	is
an	an	an
example	exampl	example
of	of	of
the	the	the
violence	violenc	violence
that	that	that
was	was	wa
exacted	exact	exacted
on	on	on
innocent	innoc	innocent
people	peopl	people
who	who	who
were	were	were
interested	interest	interested
in	in	in
hearing	hear	hearing
the	the	the
opinions	opinion	opinion
and	and	and
facts	fact	fact
of	of	of
scheduled	schedul	scheduled
presenter	present	presenter
,	,	,
gay	gay	gay
conservative	conserv	conservative
Milo	milo	Milo
Yionnopoulos	yionnopoulo	Yionnopoulos
President	presid	President
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
s	s	s
response	respons	response
to	to	to
the	the	the
violence	violenc	violence
and	and	and
the	the	the
shutting	shut	shutting
down	down	down
of	of	of
these	these	these
peaceful	peac	peaceful
American	american	American
s	s	s
free	free	free
speech	speech	speech
rights	right	right
was	was	wa
swift	swift	swift
.	.	.
He	he	He
put	put	put
essentially	essenti	essentially
put	put	put
all	all	all
of	of	of
Berkeley	berkeley	Berkeley
College	colleg	College
on	on	on
notice	notic	notice
.	.	.
Stop	stop	Stop
the	the	the
violence	violenc	violence
and	and	and
shutting	shut	shutting
down	down	down
of	of	of
1st	1st	1st
Amendment	amend	Amendment
rights	right	right
on	on	on
your	your	your
campus	campus	campus
or	or	or
possibly	possibl	possibly
lose	lose	lose
federal	feder	federal
funding	fund	funding
If	if	If
U	u	U
.	.	.
C	c	C
.	.	.
Berkeley	berkeley	Berkeley
does	doe	doe
not	not	not
allow	allow	allow
free	free	free
speech	speech	speech
and	and	and
practices	practic	practice
violence	violenc	violence
on	on	on
innocent	innoc	innocent
people	peopl	people
with	with	with
a	a	a
different	differ	different
point	point	point
of	of	of
view	view	view
NO	no	NO
FEDERAL	feder	FEDERAL
