Now	now	Now
we	we	we
know	know	know
the	the	the
real	real	real
reason	reason	reason
why	whi	why
Republicans	republican	Republicans
oppose	oppos	oppose
universal	univers	universal
healthcare	healthcar	healthcare
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Army	armi	Army
Secretary	secretari	Secretary
nominee	nomine	nominee
Mark	mark	Mark
Green	green	Green
is	is	is
a	a	a
Tennessee	tennesse	Tennessee
state	state	state
senator	senat	senator
who	who	who
thinks	think	think
healthcare	healthcar	healthcare
is	is	is
an	an	an
obstacle	obstacl	obstacle
that	that	that
prevents	prevent	prevents
churches	church	church
from	from	from
converting	convert	converting
people	peopl	people
to	to	to
Christianity	christian	Christianity
.	.	.
Apparently	appar	Apparently
,	,	,
is	is	is
people	peopl	people
are	are	are
healthy	healthi	healthy
,	,	,
it	it	it
s	s	s
a	a	a
lot	lot	lot
harder	harder	harder
for	for	for
them	them	them
to	to	to
be	be	be
taken	taken	taken
advantage	advantag	advantage
of	of	of
.	.	.
The	the	The
sick	sick	sick
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
will	will	will
be	be	be
desperate	desper	desperate
to	to	to
feel	feel	feel
better	better	better
,	,	,
and	and	and
without	without	without
healthcare	healthcar	healthcare
to	to	to
make	make	make
them	them	them
better	better	better
,	,	,
Green	green	Green
says	say	say
they	they	they
ll	ll	ll
be	be	be
forced	forc	forced
to	to	to
turn	turn	turn
to	to	to
God	god	God
.	.	.
The	the	The
person	person	person
who	who	who
s	s	s
in	in	in
need	need	need
they	they	they
look	look	look
to	to	to
the	the	the
government	govern	government
for	for	for
the	the	the
answer	answer	answer
,	,	,
not	not	not
God	god	God
,	,	,
and	and	and
I	i	I
think	think	think
in	in	in
that	that	that
way	way	way
government	govern	government
has	has	ha
done	done	done
an	an	an
injustice	injustic	injustice
that	that	that
s	s	s
even	even	even
bigger	bigger	bigger
than	than	than
just	just	just
the	the	the
creation	creation	creation
of	of	of
an	an	an
entitlement	entitl	entitlement
welfare	welfar	welfare
state	state	state
,	,	,
Green	green	Green
said	said	said
in	in	in
2015	2015	2015
.	.	.
In	in	In
this	this	this
setting	set	setting
,	,	,
I	i	I
ll	ll	ll
share	share	share
the	the	the
story	stori	story
,	,	,
I	i	I
think	think	think
it	it	it
interrupts	interrupt	interrupt
the	the	the
opportunity	opportun	opportunity
for	for	for
people	peopl	people
to	to	to
come	come	come
to	to	to
a	a	a
saving	save	saving
knowledge	knowledg	knowledge
of	of	of
who	who	who
God	god	God
is	is	is
.	.	.
I	i	I
see	see	see
our	our	our
sort	sort	sort
of	of	of
government	govern	government
-based	-base	-based
assistance	assist	assistance
taking	take	taking
God	god	God
out	out	out
of	of	of
the	the	the
picture	pictur	picture
,	,	,
Green	green	Green
said	said	said
.	.	.
If	if	If
you	you	you
look	look	look
at	at	at
the	the	the
Gospels	gospel	Gospels
and	and	and
you	you	you
go	go	go
and	and	and
study	studi	study
the	the	the
Gospels	gospel	Gospels
,	,	,
every	everi	every
person	person	person
who	who	who
came	came	came
to	to	to
Christ	christ	Christ
came	came	came
to	to	to
Christ	christ	Christ
with	with	with
a	a	a
physical	physic	physical
need	need	need
.	.	.
It	it	It
was	was	wa
either	either	either
hunger	hunger	hunger
or	or	or
a	a	a
disease	diseas	disease
.	.	.
People	peopl	People
go	go	go
to	to	to
God	god	God
because	becaus	because
of	of	of
a	a	a
physical	physic	physical
need	need	need
and	and	and
they	they	they
walk	walk	walk
away	away	away
with	with	with
a	a	a
spiritual	spiritu	spiritual
need	need	need
met	met	met
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
Green	green	Green
opposes	oppos	opposes
healthcare	healthcar	healthcare
because	becaus	because
he	he	he
wants	want	want
sick	sick	sick
people	peopl	people
to	to	to
be	be	be
desperate	desper	desperate
enough	enough	enough
to	to	to
convert	convert	convert
to	to	to
his	his	his
religion	religion	religion
.	.	.
This	this	This
is	is	is
all	all	all
about	about	about
forcing	forc	forcing
people	peopl	people
to	to	to
accept	accept	accept
a	a	a
religious	religi	religious
belief	belief	belief
if	if	if
they	they	they
are	are	are
sick	sick	sick
instead	instead	instead
of	of	of
giving	give	giving
them	them	them
the	the	the
medical	medic	medical
care	care	care
they	they	they
need	need	need
.	.	.
Basically	basic	Basically
,	,	,
this	this	this
is	is	is
blackmail	blackmail	blackmail
on	on	on
a	a	a
sickening	sicken	sickening
level	level	level
.	.	.
Republicans	republican	Republicans
are	are	are
basically	basic	basically
saying	say	saying
that	that	that
sick	sick	sick
people	peopl	people
should	should	should
have	have	have
to	to	to
become	becom	become
devout	devout	devout
Christians	christian	Christians
first	first	first
before	befor	before
getting	get	getting
the	the	the
healthcare	healthcar	healthcare
they	they	they
need	need	need
.	.	.
On	on	On
Thursday	thursday	Thursday
,	,	,
House	hous	House
Republicans	republican	Republicans
voted	vote	voted
to	to	to
strip	strip	strip
healthcare	healthcar	healthcare
from	from	from
millions	million	million
of	of	of
Americans	american	Americans
.	.	.
The	the	The
bill	bill	bill
also	also	also
fails	fail	fails
to	to	to
cover	cover	cover
those	those	those
with	with	with
pre	pre	pre
-existing	-exist	-existing
conditions	condit	condition
and	and	and
gives	give	give
a	a	a
massive	massiv	massive
tax	tax	tax
gift	gift	gift
to	to	to
the	the	the
wealthy	wealthi	wealthy
.	.	.
One	one	One
wonders	wonder	wonder
if	if	if
Green	green	Green
s	s	s
beliefs	belief	belief
figured	figur	figured
into	into	into
their	their	their
morally	moral	morally
bankrupt	bankrupt	bankrupt
decision	decis	decision
.	.	.
The	the	The
bottom	bottom	bottom
line	line	line
is	is	is
that	that	that
people	peopl	people
should	should	should
not	not	not
have	have	have
to	to	to
adopt	adopt	adopt
a	a	a
religious	religi	religious
belief	belief	belief
in	in	in
order	order	order
to	to	to
get	get	get
healthcare	healthcar	healthcare
.	.	.
Such	such	Such
a	a	a
system	system	system
is	is	is
cruel	cruel	cruel
and	and	and
further	further	further
breaks	break	break
down	down	down
faith	faith	faith
in	in	in
religious	religi	religious
institutions	institut	institution
.	.	.
Churches	church	Churches
would	would	would
become	becom	become
nothing	noth	nothing
more	more	more
than	than	than
prisons	prison	prison
where	where	where
the	the	the
less	less	le
devout	devout	devout
and	and	and
non	non	non
-believers	-believ	-believers
are	are	are
punished	punish	punished
by	by	by
being	be	being
denied	deni	denied
real	real	real
healthcare	healthcar	healthcare
.	.	.
That	that	That
s	s	s
not	not	not
what	what	what
America	america	America
is	is	is
all	all	all
about	about	about
.	.	.
Featured	featur	Featured
Image	imag	Image
Wikimedia	wikimedia	Wikimedia
