When	when	When
most	most	most
presidents	presid	president
in	in	in
the	the	the
past	past	past
have	have	have
sent	sent	sent
a	a	a
message	messag	message
leading	lead	leading
into	into	into
the	the	the
new	new	new
year	year	year
,	,	,
they	they	they
ve	ve	ve
sent	sent	sent
messages	messag	message
of	of	of
hope	hope	hope
,	,	,
unity	uniti	unity
,	,	,
and	and	and
a	a	a
better	better	better
tomorrow	tomorrow	tomorrow
.	.	.
Clearly	clear	Clearly
,	,	,
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
trying	tri	trying
to	to	to
be	be	be
like	like	like
any	ani	any
former	former	former
leader	leader	leader
.	.	.
Trump	trump	Trump
s	s	s
New	new	New
Year	year	Year
s	s	s
Eve	eve	Eve
message	messag	message
,	,	,
sent	sent	sent
via	via	via
his	his	his
medium	medium	medium
of	of	of
choice	choic	choice
Twitter	twitter	Twitter
went	went	went
something	someth	something
like	like	like
this	this	this
Happy	happi	Happy
New	new	New
Year	year	Year
to	to	to
all	all	all
,	,	,
including	includ	including
to	to	to
my	my	my
many	mani	many
enemies	enemi	enemy
and	and	and
those	those	those
who	who	who
have	have	have
fought	fought	fought
me	me	me
and	and	and
lost	lost	lost
so	so	so
badly	bad	badly
they	they	they
just	just	just
don	don	don
t	t	t
know	know	know
what	what	what
to	to	to
do	do	do
.	.	.
Love	love	Love
!	!	!
Happy	happi	Happy
New	new	New
Year	year	Year
to	to	to
all	all	all
,	,	,
including	includ	including
to	to	to
my	my	my
many	mani	many
enemies	enemi	enemy
and	and	and
those	those	those
who	who	who
have	have	have
fought	fought	fought
me	me	me
and	and	and
lost	lost	lost
so	so	so
badly	bad	badly
they	they	they
just	just	just
don't	don't	don't
know	know	know
what	what	what
to	to	to
do	do	do
.	.	.
Love	love	Love
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
31	31	31
,	,	,
2016This	2016this	2016This
narcissistic	narcissist	narcissistic
message	messag	message
was	was	wa
clearly	clear	clearly
not	not	not
about	about	about
the	the	the
nation	nation	nation
or	or	or
bringing	bring	bringing
us	us	u
to	to	to
together	togeth	together
in	in	in
any	ani	any
sort	sort	sort
of	of	of
way	way	way
,	,	,
but	but	but
instead	instead	instead
throws	throw	throw
over	over	over
half	half	half
the	the	the
nation	nation	nation
under	under	under
the	the	the
bus	bus	bus
.	.	.
However	howev	However
,	,	,
if	if	if
one	one	one
were	were	were
to	to	to
redact	redact	redact
most	most	most
of	of	of
Trump	trump	Trump
s	s	s
tweets	tweet	tweet
and	and	and
just	just	just
leave	leav	leave
the	the	the
intro	intro	intro
and	and	and
the	the	the
close	close	close
,	,	,
it	it	it
would	would	would
sound	sound	sound
something	someth	something
like	like	like
this	this	this
Happy	happi	Happy
New	new	New
Year	year	Year
to	to	to
all	all	all
.	.	.
Love	love	Love
!	!	!
Redacted	redact	Redacted
,	,	,
Trump	trump	Trump
sounds	sound	sound
just	just	just
like	like	like
Obama	obama	Obama
!	!	!
?	?	?
pic.twitter.com/h9W5JbqE98	pic.twitter.com/h9w5jbqe98	pic.twitter.com/h9W5JbqE98
Sarah	sarah	Sarah
Wood	wood	Wood
@SarahWoodwriter	@sarahwoodwrit	@SarahWoodwriter
December	decemb	December
31	31	31
,	,	,
2016Which	2016which	2016Which
,	,	,
quite	quit	quite
honestly	honest	honestly
,	,	,
sounds	sound	sound
like	like	like
someone	someon	someone
who	who	who
wants	want	want
to	to	to
unite	unit	unite
the	the	the
nation	nation	nation
and	and	and
move	move	move
forward	forward	forward
towards	toward	towards
a	a	a
better	better	better
tomorrow	tomorrow	tomorrow
.	.	.
It	it	It
actually	actual	actually
sounds	sound	sound
remarkably	remark	remarkably
like	like	like
the	the	the
president	presid	president
we	we	we
ve	ve	ve
had	had	had
for	for	for
the	the	the
past	past	past
eight	eight	eight
years	year	year
,	,	,
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.
If	if	If
only	onli	only
Trump	trump	Trump
could	could	could
contain	contain	contain
his	his	his
narcissistic	narcissist	narcissistic
animosity	animos	animosity
towards	toward	towards
those	those	those
who	who	who
don	don	don
t	t	t
like	like	like
him	him	him
or	or	or
agree	agre	agree
with	with	with
him	him	him
.	.	.
However	howev	However
,	,	,
his	his	his
fragile	fragil	fragile
ego	ego	ego
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
make	make	make
that	that	that
possible	possibl	possible
thus	thus	thus
his	his	his
constant	constant	constant
Twitter	twitter	Twitter
fits	fit	fit
of	of	of
rage	rage	rage
against	against	against
anyone	anyon	anyone
who	who	who
dare	dare	dare
speak	speak	speak
against	against	against
him	him	him
.	.	.
Redacted	redact	Redacted
Trump	trump	Trump
could	could	could
actually	actual	actually
be	be	be
a	a	a
good	good	good
leader	leader	leader
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
he	he	he
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
know	know	know
how	how	how
to	to	to
edit	edit	edit
himself	himself	himself
for	for	for
the	the	the
greater	greater	greater
good	good	good
.	.	.
Hopefully	hope	Hopefully
that	that	that
will	will	will
change	chang	change
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
,	,	,
Twitter	twitter	Twitter
Getty	getti	Getty
Images	imag	Images
