Former	former	Former
NFL	nfl	NFL
player	player	player
Shannon	shannon	Shannon
Sharpe	sharp	Sharpe
on	on	on
Tuesday	tuesday	Tuesday
called	call	called
LaVar	lavar	LaVar
Ball	ball	Ball
s	s	s
complaints	complaint	complaint
directed	direct	directed
at	at	at
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
the	the	the
dumbest	dumbest	dumbest
thing	thing	thing
he	he	he
could	could	could
have	have	have
said	said	said
.	.	.

Sharpe	sharp	Sharpe
is	is	is
usually	usual	usually
as	as	a
anti	anti	anti
-Trump	-trump	-Trump
as	as	a
they	they	they
come	come	come
but	but	but
is	is	is
just	just	just
smart	smart	smart
enough	enough	enough
to	to	to
understand	understand	understand
that	that	that
it	it	it
s	s	s
idiotic	idiot	idiotic
to	to	to
diss	diss	dis
the	the	the
president	presid	president
.	.	.

Sharpe	sharp	Sharpe
makes	make	make
some	some	some
dumb	dumb	dumb
comments	comment	comment
during	dure	during
the	the	the
rant	rant	rant
about	about	about
LaVar	lavar	LaVar
Ball	ball	Ball
but	but	but
it	it	it
s	s	s
pretty	pretti	pretty
big	big	big
that	that	that
he	he	he
is	is	is
supportive	support	supportive
of	of	of
President	presid	President
Trump	trump	Trump
Sharpe	sharp	Sharpe
appeared	appear	appeared
to	to	to
take	take	take
Trump	trump	Trump
s	s	s
side	side	side
in	in	in
the	the	the
feud	feud	feud
and	and	and
said	said	said
the	the	the
president	presid	president
s	s	s
involvement	involv	involvement
in	in	in
China	china	China
didn	didn	didn
t	t	t
hurt	hurt	hurt
the	the	the
situation	situat	situation
.	.	.

I	i	I
can	can	can
assure	assur	assure
you	you	you
President	presid	President
Trump	trump	Trump
mentioning	mention	mentioning
the	the	the
detainment	detain	detainment
to	to	to
the	the	the
Chinese	chines	Chinese
President	presid	President
didn	didn	didn
t	t	t
hurt	hurt	hurt
his	his	his
situation	situat	situation
.	.	.

If	if	If
he	he	he
LaVar	lavar	LaVar
Ball	ball	Ball
felt	felt	felt
this	this	this
strongly	strong	strongly
,	,	,
why	whi	why
didn	didn	didn
t	t	t
the	the	the
hell	hell	hell
he	he	he
say	say	say
that	that	that
while	while	while
they	they	they
were	were	were
over	over	over
there	there	there
?	?	?

This	this	This
is	is	is
when	when	when
he	he	he
should	should	should
have	have	have
been	been	been
vocal	vocal	vocal
.	.	.

Sharpe	sharp	Sharpe
said	said	said
.	.	.
Sharpe	sharp	Sharpe
also	also	also
asked	ask	asked
why	whi	why
,	,	,
if	if	if
Trump	trump	Trump
didn	didn	didn
t	t	t
help	help	help
the	the	the
situation	situat	situation
,	,	,
why	whi	why
did	did	did
all	all	all
three	three	three
players	player	player
personally	person	personally
thank	thank	thank
him	him	him
?	?	?

Why	whi	Why
did	did	did
all	all	all
three	three	three
of	of	of
those	those	those
guys	guy	guy
get	get	get
up	up	up
there	there	there
and	and	and
say	say	say
thank	thank	thank
President	presid	President
Trump	trump	Trump
,	,	,
personally	person	personally
?	?	?

Thank	thank	Thank
the	the	the
American	american	American
government	govern	government
,	,	,
personally	person	personally
?	?	?

Sharpe	sharp	Sharpe
inquired	inquir	inquired
.	.	.

I	i	I
didn	didn	didn
t	t	t
hear	hear	hear
one	one	one
of	of	of
them	them	them
mention	mention	mention
LaVar	lavar	LaVar
Ball	ball	Ball
s	s	s
name	name	name
.	.	.

I	i	I
did	did	did
hear	hear	hear
three	three	three
President	presid	President
Trumps	trump	Trumps
and	and	and
three	three	three
American	american	American
government	govern	government
.	.	.

Now	now	Now
they	they	they
get	get	get
back	back	back
on	on	on
American	american	American
soil	soil	soil
,	,	,
he	he	he
LaVar	lavar	LaVar
Ball	ball	Ball
wants	want	want
to	to	to
pound	pound	pound
his	his	his
chest	chest	chest
.	.	.

I	i	I
see	see	see
why	whi	why
President	presid	President
Trump	trump	Trump
used	use	used
the	the	the
word	word	word
ungrateful	ungrat	ungrateful
,	,	,
'	'	'
he	he	he
added	ad	added
.	.	.
Later	later	Later
in	in	in
the	the	the
segment	segment	segment
,	,	,
Sharpe	sharp	Sharpe
said	said	said
Trump	trump	Trump
wouldn	wouldn	wouldn
t	t	t
have	have	have
had	had	had
to	to	to
say	say	say
anything	anyth	anything
about	about	about
LiAngelo	liangelo	LiAngelo
Ball	ball	Ball
if	if	if
he	he	he
hadn	hadn	hadn
t	t	t
attempted	attempt	attempted
to	to	to
steal	steal	steal
.	.	.

President	presid	President
Trump	trump	Trump
would	would	would
have	have	have
said	said	said
nothing	noth	nothing
about	about	about
the	the	the
boy	boy	boy
.	.	.

If	if	If
your	your	your
son	son	son
would	would	would
have	have	have
had	had	had
kept	kept	kept
his	his	his
sticky	sticki	sticky
ass	ass	as
fingers	finger	finger
in	in	in
his	his	his
pockets	pocket	pocket
,	,	,
and	and	and
not	not	not
take	take	take
peoples	peopl	people
stuff	stuff	stuff
in	in	in
China	china	China
,	,	,
we	we	we
wouldn	wouldn	wouldn
t	t	t
even	even	even
be	be	be
having	have	having
this	this	this
conversation	convers	conversation
,	,	,
Sharpe	sharp	Sharpe
said	said	said
,	,	,
directing	direct	directing
his	his	his
comments	comment	comment
to	to	to
LaVar	lavar	LaVar
Ball	ball	Ball
.	.	.
In	in	In
the	the	the
past	past	past
,	,	,
Sharpe	sharp	Sharpe
has	has	ha
criticized	critic	criticized
Trump	trump	Trump
,	,	,
especially	especi	especially
over	over	over
the	the	the
president	presid	president
s	s	s
comments	comment	comment
about	about	about
player	player	player
protests	protest	protest
in	in	in
the	the	the
NFL	nfl	NFL
.	.	.

Read	read	Read
more	more	more
WFB	wfb	WFB

