Apparently	appar	Apparently
it	it	it
takes	take	take
just	just	just
one	one	one
American	american	American
student	student	student
to	to	to
destroy	destroy	destroy
the	the	the
unity	uniti	unity
in	in	in
North	north	North
Korea	korea	Korea
North	north	North
Korea	korea	Korea
has	has	ha
detained	detain	detained
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
university	univers	university
student	student	student
,	,	,
the	the	the
third	third	third
western	western	western
citizen	citizen	citizen
known	known	known
to	to	to
be	be	be
held	held	held
in	in	in
the	the	the
isolated	isol	isolated
state	state	state
,	,	,
for	for	for
committing	commit	committing
a	a	a
hostile	hostil	hostile
act	act	act
and	and	and
wanting	want	wanting
to	to	to
destroy	destroy	destroy
the	the	the
country	countri	country
s	s	s
unity	uniti	unity
,	,	,
it	it	it
said	said	said
on	on	on
Friday	friday	Friday
.	.	.
and	and	and
was	was	wa
detained	detain	detained
at	at	at
Pyongyang	pyongyang	Pyongyang
airport	airport	airport
on	on	on
Jan	jan	Jan
.	.	.

2	2	2
ahead	ahead	ahead
of	of	of
a	a	a
flight	flight	flight
back	back	back
to	to	to
China	china	China
,	,	,
said	said	said
Gareth	gareth	Gareth
Johnson	johnson	Johnson
of	of	of
Young	young	Young
Pioneer	pioneer	Pioneer
Tours	tour	Tours
,	,	,
which	which	which
organized	organ	organized
the	the	the
visit	visit	visit
.	.	.
According	accord	According
to	to	to
the	the	the
North	north	North
s	s	s
official	offici	official
KCNA	kcna	KCNA
news	news	news
agency	agenc	agency
,	,	,
Warmbier	warmbier	Warmbier
entered	enter	entered
North	north	North
Korea	korea	Korea
as	as	a
a	a	a
tourist	tourist	tourist
and	and	and
was	was	wa
caught	caught	caught
committing	commit	committing
a	a	a
hostile	hostil	hostile
act	act	act
against	against	against
the	the	the
state	state	state
,	,	,
which	which	which
it	it	it
said	said	said
was	was	wa
tolerated	toler	tolerated
and	and	and
manipulated	manipul	manipulated
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
.	.	.
ADVERTISINGAn	advertisingan	ADVERTISINGAn
official	offici	official
at	at	at
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
in	in	in
the	the	the
South	south	South
Korean	korean	Korean
capital	capit	capital
Seoul	seoul	Seoul
said	said	said
it	it	it
was	was	wa
aware	awar	aware
of	of	of
the	the	the
reported	report	reported
arrest	arrest	arrest
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
in	in	in
Washington	washington	Washington
had	had	had
no	no	no
immediate	immedi	immediate
comment	comment	comment
.	.	.
Johnson	johnson	Johnson
said	said	said
China	china	China
-based	-base	-based
Young	young	Young
Pioneer	pioneer	Pioneer
Tours	tour	Tours
was	was	wa
in	in	in
contact	contact	contact
with	with	with
Warmbier	warmbier	Warmbier
s	s	s
family	famili	family
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
.	.	.

We	we	We
are	are	are
in	in	in
touch	touch	touch
with	with	with
Otto	otto	Otto
s	s	s
family	famili	family
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
and	and	and
the	the	the
Embassy	embassi	Embassy
of	of	of
Sweden	sweden	Sweden
in	in	in
Pyongyang	pyongyang	Pyongyang
and	and	and
doing	do	doing
all	all	all
we	we	we
can	can	can
to	to	to
secure	secur	secure
his	his	his
release	releas	release
,	,	,
Johnson	johnson	Johnson
told	told	told
Reuters	reuter	Reuters
.	.	.
The	the	The
Swedish	swedish	Swedish
Embassy	embassi	Embassy
represents	repres	represents
U	u	U
.	.	.
S	s	S
.	.	.
interests	interest	interest
in	in	in
North	north	North
Korea	korea	Korea
.	.	.
KCNA	kcna	KCNA
said	said	said
Warmbier	warmbier	Warmbier
had	had	had
entered	enter	entered
the	the	the
country	countri	country
with	with	with
an	an	an
aim	aim	aim
to	to	to
destroy	destroy	destroy
the	the	the
country	countri	country
s	s	s
unity	uniti	unity
.	.	.

It	it	It
did	did	did
not	not	not
elaborate	elabor	elaborate
.	.	.
Via	via	Via
Reuters	reuter	Reuters

