Every	everi	Every
parent	parent	parent
in	in	in
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
should	should	should
be	be	be
alarmed	alarm	alarmed
by	by	by
this	this	this
covert	covert	covert
attempt	attempt	attempt
by	by	by
Board	board	Board
of	of	of
Education	educ	Education
members	member	member
to	to	to
essentially	essenti	essentially
tell	tell	tell
our	our	our
kids	kid	kid
that	that	that
their	their	their
power	power	power
supersedes	supersed	supersedes
that	that	that
of	of	of
the	the	the
parents	parent	parent
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
this	this	this
reckless	reckless	reckless
policy	polici	policy
of	of	of
placing	place	placing
same	same	same
sex	sex	sex
kids	kid	kid
in	in	in
bathrooms	bathroom	bathroom
and	and	and
locker	locker	locker
rooms	room	room
puts	put	put
children	children	child
in	in	in
danger	danger	danger
of	of	of
being	be	being
in	in	in
private	privat	private
spaces	space	space
with	with	with
sexual	sexual	sexual
predators	predat	predator
and	and	and
or	or	or
sexual	sexual	sexual
offenders	offend	offender
Make	make	Make
sure	sure	sure
to	to	to
add	add	add
your	your	your
comments	comment	comment
to	to	to
the	the	the
MI	mi	MI
Board	board	Board
of	of	of
Educations	educ	Educations
HEREMichigan	heremichigan	HEREMichigan
s	s	s
State	state	State
Board	board	Board
of	of	of
Education	educ	Education
has	has	ha
drafted	draft	drafted
a	a	a
guidance	guidanc	guidance
that	that	that
would	would	would
push	push	push
the	the	the
state	state	state
s	s	s
schools	school	school
to	to	to
allow	allow	allow
all	all	all
students	student	student
,	,	,
regardless	regardless	regardless
of	of	of
parental	parent	parental
or	or	or
doctoral	doctor	doctoral
input	input	input
,	,	,
to	to	to
choose	choos	choose
their	their	their
gender	gender	gender
,	,	,
name	name	name
,	,	,
pronouns	pronoun	pronoun
,	,	,
and	and	and
bathrooms	bathroom	bathroom
.	.	.
Spearheaded	spearhead	Spearheaded
by	by	by
board	board	board
president	presid	president
John	john	John
C	c	C
.	.	.
Austin	austin	Austin
and	and	and
signed	sign	signed
by	by	by
state	state	state
superintendent	superintend	superintendent
Brian	brian	Brian
Whiston	whiston	Whiston
,	,	,
the	the	the
guidance	guidanc	guidance
informs	inform	informs
Michigan	michigan	Michigan
public	public	public
schools	school	school
that	that	that
only	onli	only
the	the	the
students	student	student
themselves	themselv	themselves
i	i	i
.	.	.
e	e	e
.	.	.
not	not	not
their	their	their
parents	parent	parent
or	or	or
doctors	doctor	doctor
can	can	can
determine	determin	determine
what	what	what
their	their	their
individual	individu	individual
gender	gender	gender
identities	ident	identity
are	are	are
.	.	.
The	the	The
responsibility	respons	responsibility
for	for	for
determining	determin	determining
a	a	a
student	student	student
s	s	s
gender	gender	gender
identity	ident	identity
rests	rest	rest
with	with	with
the	the	the
student	student	student
.	.	.
Outside	outsid	Outside
confirmation	confirm	confirmation
from	from	from
medical	medic	medical
or	or	or
mental	mental	mental
health	health	health
professionals	profession	professional
,	,	,
or	or	or
documentation	document	documentation
of	of	of
legal	legal	legal
changes	chang	change
,	,	,
is	is	is
not	not	not
needed	need	needed
,	,	,
the	the	the
guidance	guidanc	guidance
states	state	state
.	.	.
Gender	gender	Gender
identity	ident	identity
is	is	is
defined	defin	defined
in	in	in
the	the	the
guidance	guidanc	guidance
as	as	a
a	a	a
person	person	person
s	s	s
deeply	deepli	deeply
held	held	held
internal	intern	internal
sense	sens	sense
or	or	or
psychological	psycholog	psychological
knowledge	knowledg	knowledge
of	of	of
their	their	their
own	own	own
gender	gender	gender
,	,	,
regardless	regardless	regardless
of	of	of
the	the	the
biological	biolog	biological
sex	sex	sex
they	they	they
were	were	were
assigned	assign	assigned
at	at	at
birth	birth	birth
.	.	.
Notably	notabl	Notably
,	,	,
the	the	the
guidance	guidanc	guidance
makes	make	make
no	no	no
mention	mention	mention
of	of	of
a	a	a
student	student	student
s	s	s
age	age	age
affecting	affect	affecting
whether	whether	whether
or	or	or
not	not	not
they	they	they
can	can	can
pick	pick	pick
a	a	a
gender	gender	gender
without	without	without
their	their	their
parent	parent	parent
or	or	or
doctor	doctor	doctor
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
guidance	guidanc	guidance
seems	seem	seems
to	to	to
intentionally	intent	intentionally
cut	cut	cut
parents	parent	parent
out	out	out
of	of	of
the	the	the
process	process	process
.	.	.
The	the	The
guidance	guidanc	guidance
states	state	state
