Diversity	divers	Diversity
first	first	first
Fordham	fordham	Fordham
University	univers	University
recently	recent	recently
approved	approv	approved
the	the	the
removal	remov	removal
of	of	of
common	common	common
restroom	restroom	restroom
signage	signag	signage
indicating	indic	indicating
use	use	use
for	for	for
either	either	either
the	the	the
male	male	male
or	or	or
female	femal	female
sex	sex	sex
at	at	at
one	one	one
building	build	building
on	on	on
the	the	the
Lincoln	lincoln	Lincoln
Center	center	Center
campus	campus	campus
,	,	,
embracing	embrac	embracing
part	part	part
of	of	of
a	a	a
student	student	student
-led	-led	-led
campaign	campaign	campaign
to	to	to
make	make	make
the	the	the
University	univers	University
more	more	more
gender	gender	gender
inclusive	inclus	inclusive
.	.	.
According	accord	According
to	to	to
The	the	The
Fordham	fordham	Fordham
Observer	observ	Observer
,	,	,
the	the	the
changes	chang	change
to	to	to
signs	sign	sign
in	in	in
the	the	the
Leon	leon	Leon
Lowenstein	lowenstein	Lowenstein
building	build	building
were	were	were
pushed	push	pushed
by	by	by
The	the	The
Positive	posit	Positive
,	,	,
a	a	a
student	student	student
activist	activist	activist
group	group	group
.	.	.
The	the	The
restroom	restroom	restroom
signage	signag	signage
initiative	initi	initiative
started	start	started
during	dure	during
the	the	the
2015	2015	2015
spring	spring	spring
semester	semest	semester
when	when	when
The	the	The
Positive	posit	Positive
reportedly	report	reportedly
entered	enter	entered
into	into	into
dialogue	dialogu	dialogue
with	with	with
Fordham	fordham	Fordham
s	s	s
administration	administr	administration
and	and	and
student	student	student
government	govern	government
.	.	.
The	the	The
Positive	posit	Positive
s	s	s
student	student	student
leader	leader	leader
,	,	,
who	who	who
identifies	identifi	identifies
as	as	a
a	a	a
transgender	transgend	transgender
male	male	male
a	a	a
woman	woman	woman
living	live	living
as	as	a
a	a	a
man	man	man
,	,	,
told	told	told
the	the	the
Observer	observ	Observer
,	,	,
Having	have	Having
a	a	a
restroom	restroom	restroom
I	i	I
could	could	could
use	use	use
without	without	without
fear	fear	fear
was	was	wa
definitely	definit	definitely
something	someth	something
I	i	I
wanted	want	wanted
.	.	.
But	but	But
the	the	the
student	student	student
readily	readili	readily
noted	note	noted
that	that	that
this	this	this
was	was	wa
never	never	never
about	about	about
bathrooms	bathroom	bathroom
this	this	this
was	was	wa
always	alway	always
about	about	about
more	more	more
than	than	than
that	that	that
.	.	.
The	the	The
Observer	observ	Observer
reported	report	reported
that	that	that
new	new	new
signs	sign	sign
were	were	were
installed	instal	installed
in	in	in
single	singl	single
stall	stall	stall
restrooms	restroom	restroom
in	in	in
the	the	the
Leon	leon	Leon
Lowenstein	lowenstein	Lowenstein
building	build	building
s	s	s
third	third	third
floor	floor	floor
.	.	.
The	the	The
new	new	new
signs	sign	sign
are	are	are
void	void	void
of	of	of
gender	gender	gender
icons	icon	icon
,	,	,
include	includ	include
braille	braill	braille
,	,	,
the	the	the
latest	latest	latest
New	new	New
York	york	York
State	state	State
handicap	handicap	handicap
symbol	symbol	symbol
and	and	and
simply	simpli	simply
say	say	say
restroom	restroom	restroom
.	.	.
The	the	The
Positive	posit	Positive
s	s	s
goal	goal	goal
is	is	is
not	not	not
to	to	to
convert	convert	convert
multi	multi	multi
-stall	-stall	-stall
bathrooms	bathroom	bathroom
to	to	to
gender	gender	gender
neutral	neutral	neutral
,	,	,
but	but	but
to	to	to
establish	establish	establish
already	alreadi	already
single	singl	single
stall	stall	stall
restrooms	restroom	restroom
as	as	a
gender	gender	gender
inclusive	inclus	inclusive
spaces	space	space
,	,	,
the	the	the
Observer	observ	Observer
reported	report	reported
in	in	in
April	april	April
.	.	.
Our	our	Our
strategy	strategi	strategy
for	for	for
attaining	attain	attaining
them	them	them
right	right	right
now	now	now
,	,	,
in	in	in
the	the	the
short	short	short
-run	-run	-run
,	,	,
includes	includ	includes
changing	chang	changing
the	the	the
signage	signag	signage
of	of	of
all	all	all
single	singl	single
stall	stall	stall
bathrooms	bathroom	bathroom
on	on	on
campus	campus	campus
to	to	to
be	be	be
gender	gender	gender
inclusive	inclus	inclusive
and	and	and
to	to	to
work	work	work
to	to	to
publicize	public	publicize
those	those	those
spaces	space	space
.	.	.
