Donald	donald	Donald
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
sworn	sworn	sworn
he	he	he
loves	love	love
Hispanics	hispan	Hispanics
and	and	and
Hispanics	hispan	Hispanics
love	love	love
him	him	him
,	,	,
but	but	but
not	not	not
apparently	appar	apparently
when	when	when
it	it	it
comes	come	come
to	to	to
the	the	the
judge	judg	judge
presiding	presid	presiding
over	over	over
his	his	his
Trump	trump	Trump
University	univers	University
fraud	fraud	fraud
trial	trial	trial
.	.	.
Trump	trump	Trump
,	,	,
whose	whose	whose
guilt	guilt	guilt
in	in	in
this	this	this
case	case	case
is	is	is
almost	almost	almost
beyond	beyond	beyond
doubt	doubt	doubt
,	,	,
swears	swear	swears
that	that	that
if	if	if
he	he	he
loses	lose	loses
the	the	the
case	case	case
which	which	which
is	is	is
looking	look	looking
likely	like	likely
,	,	,
it	it	it
s	s	s
not	not	not
because	becaus	because
he	he	he
is	is	is
a	a	a
shameless	shameless	shameless
con	con	con
man	man	man
.	.	.
No	no	No
,	,	,
it	it	it
s	s	s
because	becaus	because
the	the	the
judge	judg	judge
is	is	is
a	a	a
hater	hater	hater
and	and	and
a	a	a
Mexican	mexican	Mexican
.	.	.
We	we	We
re	re	re
in	in	in
front	front	front
of	of	of
a	a	a
very	veri	very
hostile	hostil	hostile
judge	judg	judge
,	,	,
Mr	mr	Mr
.	.	.
Trump	trump	Trump
said	said	said
.	.	.
The	the	The
judge	judg	judge
was	was	wa
appointed	appoint	appointed
by	by	by
Barack	barack	Barack
Obama	obama	Obama
,	,	,
federal	feder	federal
judge	judg	judge
.	.	.
Frankly	frank	Frankly
,	,	,
he	he	he
should	should	should
recuse	recus	recuse
himself	himself	himself
because	becaus	because
he	he	he
s	s	s
given	given	given
us	us	u
ruling	rule	ruling
after	after	after
ruling	rule	ruling
after	after	after
ruling	rule	ruling
,	,	,
negative	negat	negative
,	,	,
negative	negat	negative
,	,	,
negative	negat	negative
.	.	.
What	what	What
happens	happen	happens
is	is	is
the	the	the
judge	judg	judge
,	,	,
who	who	who
happens	happen	happens
to	to	to
be	be	be
,	,	,
we	we	we
believe	believ	believe
,	,	,
Mexican	mexican	Mexican
,	,	,
which	which	which
is	is	is
great	great	great
.	.	.
I	i	I
think	think	think
that	that	that
s	s	s
fine	fine	fine
,	,	,
Mr	mr	Mr
.	.	.
Trump	trump	Trump
said	said	said
.	.	.
The	the	The
only	onli	only
problem	problem	problem
Judge	judg	Judge
Gonzalo	gonzalo	Gonzalo
Curiel	curiel	Curiel
is	is	is
from	from	from
Indiana	indiana	Indiana
not	not	not
Mexico	mexico	Mexico
.	.	.
Which	which	Which
is	is	is
great	great	great
.	.	.
I	i	I
think	think	think
Indiana	indiana	Indiana
s	s	s
fine	fine	fine
.	.	.
It	it	It
s	s	s
not	not	not
the	the	the
first	first	first
time	time	time
Trump	trump	Trump
has	has	ha
gone	gone	gone
birther	birther	birther
,	,	,
of	of	of
course	cours	course
.	.	.
He	he	He
famously	famous	famously
set	set	set
fire	fire	fire
to	to	to
piles	pile	pile
of	of	of
his	his	his
own	own	own
money	money	money
in	in	in
a	a	a
quixotic	quixot	quixotic
quest	quest	quest
to	to	to
prove	prove	prove
President	presid	President
Obama	obama	Obama
wasn	wasn	wasn
t	t	t
born	born	born
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
At	at	At
several	sever	several
points	point	point
,	,	,
Trump	trump	Trump
even	even	even
claimed	claim	claimed
to	to	to
have	have	have
proof	proof	proof
,	,	,
but	but	but
never	never	never
produced	produc	produced
a	a	a
single	singl	single
shred	shred	shred
of	of	of
evidence	evid	evidence
.	.	.
His	his	His
new	new	new
accusations	accus	accusation
do	do	do
,	,	,
however	howev	however
,	,	,
represent	repres	represent
the	the	the
first	first	first
time	time	time
Trump	trump	Trump
has	has	ha
claimed	claim	claimed
Mexicans	mexican	Mexicans
aside	asid	aside
from	from	from
being	be	being
rapists	rapist	rapist
and	and	and
drug	drug	drug
dealers	dealer	dealer
are	are	are
infiltrating	infiltr	infiltrating
the	the	the
federal	feder	federal
justice	justic	justice
system	system	system
to	to	to
screw	screw	screw
over	over	over
Trump	trump	Trump
personally	person	personally
.	.	.
Why	whi	Why
would	would	would
they	they	they
do	do	do
that	that	that
?	?	?
Trump	trump	Trump
supporters	support	supporter
seem	seem	seem
to	to	to
believe	believ	believe
it	it	it
s	s	s
because	becaus	because
of	of	of
Trump	trump	Trump
s	s	s
immigration	immigr	immigration
plans	plan	plan
.	.	.
Facing	face	Facing
a	a	a
crowd	crowd	crowd
of	of	of
supporters	support	supporter
who	who	who
had	had	had
killed	kill	killed
time	time	time
before	befor	before
Trump	trump	Trump
got	got	got
up	up	up
to	to	to
the	the	the
podium	podium	podium
by	by	by
mindlessly	mindless	mindlessly
chanting	chant	chanting
build	build	build
that	that	that
wall	wall	wall
,	,	,
Trump	trump	Trump
knew	knew	knew
exactly	exact	exactly
what	what	what
he	he	he
was	was	wa
doing	do	doing
when	when	when
he	he	he
suddenly	sudden	suddenly
floated	float	floated
the	the	the
idea	idea	idea
that	that	that
the	the	the
judge	judg	judge
who	who	who
is	is	is
about	about	about
to	to	to
rule	rule	rule
against	against	against
him	him	him
is	is	is
a	a	a
secret	secret	secret
Mexican	mexican	Mexican
.	.	.
He	he	He
was	was	wa
quite	quit	quite
literally	liter	literally
preaching	preach	preaching
to	to	to
the	the	the
choir	choir	choir
.	.	.
All	all	All
of	of	of
this	this	this
undermines	undermin	undermines
Trump	trump	Trump
s	s	s
assurances	assur	assurance
that	that	that
Hispanic	hispan	Hispanic
voters	voter	voter
will	will	will
flock	flock	flock
to	to	to
him	him	him
in	in	in
November	novemb	November
.	.	.
If	if	If
he	he	he
sincerely	sincer	sincerely
believes	believ	belief
a	a	a
federal	feder	federal
judge	judg	judge
would	would	would
be	be	be
prejudiced	prejud	prejudiced
against	against	against
him	him	him
in	in	in
his	his	his
court	court	court
case	case	case
because	becaus	because
of	of	of
his	his	his
Hispanic	hispan	Hispanic
heritage	heritag	heritage
,	,	,
then	then	then
it	it	it
s	s	s
not	not	not
hard	hard	hard
to	to	to
imagine	imagin	imagine
the	the	the
rest	rest	rest
of	of	of
the	the	the
Hispanic	hispan	Hispanic
and	and	and
Latino	latino	Latino
population	popul	population
would	would	would
be	be	be
repulsed	repuls	repulsed
by	by	by
his	his	his
message	messag	message
of	of	of
anti	anti	anti
