One	one	One
would	would	would
think	think	think
that	that	that
conservatives	conserv	conservative
would	would	would
have	have	have
figured	figur	figured
out	out	out
by	by	by
now	now	now
that	that	that
they	they	they
can	can	can
t	t	t
get	get	get
people	peopl	people
to	to	to
turn	turn	turn
out	out	out
for	for	for
their	their	their
marches	march	march
and	and	and
protests	protest	protest
.	.	.
That	that	That
seems	seem	seems
to	to	to
be	be	be
especially	especi	especially
true	true	true
with	with	with
Trump	trump	Trump
in	in	in
office	offic	office
.	.	.
So	so	So
many	mani	many
more	more	more
people	peopl	people
are	are	are
against	against	against
him	him	him
than	than	than
for	for	for
him	him	him
,	,	,
yet	yet	yet
these	these	these
delusional	delusion	delusional
Trumpkins	trumpkin	Trumpkins
still	still	still
think	think	think
they	they	they
re	re	re
some	some	some
kind	kind	kind
of	of	of
majority	major	majority
in	in	in
this	this	this
country	countri	country
.	.	.
Witness	wit	Witness
their	their	their
enthusiasm	enthusiasm	enthusiasm
for	for	for
today	today	today
s	s	s
March	march	March
4	4	4
Trump	trump	Trump
.	.	.
It	it	It
was	was	wa
supposed	suppos	supposed
to	to	to
be	be	be
a	a	a
counter	counter	counter
to	to	to
the	the	the
Women	women	Women
s	s	s
March	march	March
on	on	on
Washington	washington	Washington
that	that	that
happened	happen	happened
all	all	all
over	over	over
the	the	the
world	world	world
the	the	the
day	day	day
after	after	after
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
.	.	.
The	the	The
Women	women	Women
s	s	s
March	march	March
drew	drew	drew
well	well	well
more	more	more
than	than	than
two	two	two
million	million	million
people	peopl	people
just	just	just
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
The	the	The
March	march	March
4	4	4
Trump	trump	Trump
must	must	must
have	have	have
been	been	been
overwhelming	overwhelm	overwhelming
then	then	then
,	,	,
given	given	given
all	all	all
that	that	that
support	support	support
Trump	trump	Trump
and	and	and
his	his	his
loyal	loyal	loyal
subjects	subject	subject
think	think	think
they	they	they
have	have	have
.	.	.
And	and	And
overwhelming	overwhelm	overwhelming
these	these	these
marches	march	march
were	were	were
,	,	,
in	in	in
their	their	their
own	own	own
way	way	way
the	the	the
lack	lack	lack
of	of	of
support	support	support
they	they	they
showed	show	showed
for	for	for
Trump	trump	Trump
is	is	is
actually	actual	actually
what	what	what
was	was	wa
overwhelming	overwhelm	overwhelming
.	.	.
Most	most	Most
of	of	of
these	these	these
protests	protest	protest
drew	drew	drew
dozens	dozen	dozen
,	,	,
rather	rather	rather
than	than	than
the	the	the
thousands	thousand	thousand
they	they	they
seemed	seem	seemed
to	to	to
think	think	think
they	they	they
were	were	were
going	go	going
to	to	to
get	get	get
.	.	.
For	for	For
instance	instanc	instance
,	,	,
in	in	in
Orlando	orlando	Orlando
,	,	,
roughly	rough	roughly
200	200	200
people	peopl	people
showed	show	showed
up	up	up
,	,	,
compared	compar	compared
to	to	to
the	the	the
5	5	5
,	,	,
000	000	000
that	that	that
showed	show	showed
up	up	up
in	in	in
January	januari	January
for	for	for
the	the	the
Women	women	Women
s	s	s
March	march	March
.	.	.
Denver	denver	Denver
had	had	had
just	just	just
dozens	dozen	dozen
,	,	,
where	where	where
145	145	145
,	,	,
000	000	000
had	had	had
marched	march	marched
in	in	in
January	januari	January
.	.	.
In	in	In
our	our	our
nation	nation	nation
s	s	s
capital	capit	capital
,	,	,
Trumpers	trumper	Trumpers
were	were	were
hoping	hope	hoping
that	that	that
they	they	they
could	could	could
draw	draw	draw
more	more	more
than	than	than
half	half	half
a	a	a
million	million	million
,	,	,
which	which	which
would	would	would
rival	rival	rival
the	the	the
Women	women	Women
s	s	s
March	march	March
there	there	there
.	.	.
They	they	They
drew	drew	drew
a	a	a
few	few	few
thousand	thousand	thousand
at	at	at
best	best	best
,	,	,
despite	despit	despite
Trump	trump	Trump
s	s	s
claim	claim	claim
that	that	that
marches	march	march
for	for	for
him	him	him
would	would	would
be	be	be
the	the	the
biggest	biggest	biggest
marches	march	march
of	of	of
all	all	all
Here	here	Here
at	at	at
the	the	the
yuge	yuge	yuge
rally	ralli	rally
for	for	for
Trump	trump	Trump
at	at	at
the	the	the
White	white	White
House	hous	House
pic.twitter.com/aJ5gcMicyr	pic.twitter.com/aj5gcmicyr	pic.twitter.com/aJ5gcMicyr
Brian	brian	Brian
Tashman	tashman	Tashman
@briantashman	@briantashman	@briantashman
March	march	March
4	4	4
,	,	,
2017The	2017the	2017The
#TrumpTrain	#trumptrain	#TrumpTrain
is	is	is
in	in	in
town	town	town
and	and	and
standing	stand	standing
strong	strong	strong
for	for	for
@POTUS	@potus	@POTUS
.	.	.
I	i	I
will	will	will
be	be	be
articulating	articul	articulating
the	the	the
case	case	case
for	for	for
#Trump	#trump	#Trump
shortly	short	shortly
,	,	,
friends	friend	friend
.	.	.
#March4Trump	#march4trump	#March4Trump
pic.twitter.com/zdH682s7Vk	pic.twitter.com/zdh682s7vk	pic.twitter.com/zdH682s7Vk
Michael	michael	Michael
Johns	john	Johns
@michaeljohns	@michaeljohn	@michaeljohns
March	march	March
4	4	4
,	,	,
2017Here	2017here	2017Here
s	s	s
the	the	the
march	march	march
at	at	at
Trump	trump	Trump
Tower	tower	Tower
in	in	in
New	new	New
York	york	York
City	citi	City
Literally	liter	Literally
the	the	the
March	march	March
4	4	4
Trump	trump	Trump
pic.twitter.com/Of8vChB8NQ	pic.twitter.com/of8vchb8nq	pic.twitter.com/Of8vChB8NQ
Eric	eric	Eric
Grant	grant	Grant
@ericgrant	@ericgr	@ericgrant
March	march	March
4	4	4
,	,	,
2017Small	2017small	2017Small
crowd	crowd	crowd
at	at	at
the	the	the
March	march	March
4	4	4
Trump	trump	Trump
.	.	.
pic.twitter.com/LxPMcYtBO3	pic.twitter.com/lxpmcytbo3	pic.twitter.com/LxPMcYtBO3
Eric	eric	Eric
Grant	grant	Grant
@ericgrant	@ericgr	@ericgrant
March	march	March
4	4	4
,	,	,
2017Crowds	2017crowd	2017Crowds
were	were	were
just	just	just
as	as	a
pathetic	pathet	pathetic
elsewhere	elsewher	elsewhere
,	,	,
too	too	too
#March4Trump	#march4trump	#March4Trump
draws	draw	draw
about	about	about
200	200	200
people	peopl	people
to	to	to
Voinovich	voinovich	Voinovich
Park	park	Park
,	,	,
plus	plus	plus
about	about	about
100	100	100
counter	counter	counter
protestors	protestor	protestors
pic.twitter.com/Jfq3GL05ar	pic.twitter.com/jfq3gl05ar	pic.twitter.com/Jfq3GL05ar
Kabir	kabir	Kabir
Bhatia	bhatia	Bhatia
@KabirBhatiaTime	@kabirbhatiatim	@KabirBhatiaTime
March	march	March
4	4	4
,	,	,
2017	2017	2017
#NoMorein614	#nomorein614	#NoMorein614
march	march	march
in	in	in
Columbus	columbus	Columbus
,	,	,
OH	oh	OH
.	.	.
#BlackLivesMatter	#blacklivesmatt	#BlackLivesMatter
#NoBanBoWall	#nobanbowal	#NoBanBoWall
#organizeCBUS	#organizecbus	#organizeCBUS
#JaronThomas	#jaronthoma	#JaronThomas
@614Unity	@614uniti	@614Unity
@soit_goes	@soit_go	@soit_goes
@marymad	@marymad	@marymad
@OhioPJP	@ohiopjp	@OhioPJP
pic.twitter.com/du1EdboKfd	pic.twitter.com/du1edbokfd	pic.twitter.com/du1EdboKfd
SURJ	surj	SURJ
Columbus	columbus	Columbus
@SURJColumbusOH	@surjcolumbusoh	@SURJColumbusOH
March	march	March
4	4	4
,	,	,
2017At	2017at	2017At
#March4Trump	#march4trump	#March4Trump
rally	ralli	rally
in	in	in
Springfield	springfield	Springfield
,	,	,
IL	il	IL
pic.twitter.com/WFvZLkSn25	pic.twitter.com/wfvzlksn25	pic.twitter.com/WFvZLkSn25
James	jame	James
B	b	B
@JebLadat	@jebladat	@JebLadat
March	march	March
4	4	4
,	,	,
2017We	2017we	2017We
are	are	are
live	live	live
from	from	from
Denver	denver	Denver
where	where	where
black	black	black
bloc	bloc	bloc
is	is	is
confronting	confront	confronting
March	march	March
4	4	4
Trump	trump	Trump
DPD	dpd	DPD
ready	readi	ready
with	with	with
police	polic	police
tape	tape	tape
line	line	line
https://t.co/RxJlYm2jkM	https://t.co/rxjlym2jkm	https://t.co/RxJlYm2jkM
pic.twitter.com/2817ZMkUq4	pic.twitter.com/2817zmkuq4	pic.twitter.com/2817ZMkUq4
Unicorn	unicorn	Unicorn
Riot	riot	Riot
@UR_Ninja	@ur_ninja	@UR_Ninja
March	march	March
4	4	4
,	,	,
2017A	2017a	2017A
better	better	better
view	view	view
of	of	of
just	just	just
how	how	how
empty	empti	empty
the	the	the
Plaza	plaza	Plaza
is	is	is
for	for	for
this	this	this
pro	pro	pro
-Trump	-trump	-Trump
rally	ralli	rally
.	.	.
Sad	sad	Sad
!	!	!
pic.twitter.com/Ji78hNXJBD	pic.twitter.com/ji78hnxjbd	pic.twitter.com/Ji78hNXJBD
Cari	cari	Cari
Wade	wade	Wade
Gervin	gervin	Gervin
@carigervin	@carigervin	@carigervin
March	march	March
4	4	4
,	,	,
2017This	2017this	2017This
is	is	is
embarrassing	embarrass	embarrassing
for	for	for
them	them	them
.	.	.
Trump	trump	Trump
supporters	support	supporter
keep	keep	keep
trying	tri	trying
to	to	to
tell	tell	tell
the	the	the
resistance	resist	resistance
to	to	to
get	get	get
over	over	over
it	it	it
,	,	,
and	and	and
give	give	give
up	up	up
,	,	,
and	and	and
ultimately	ultim	ultimately
call	call	call
us	us	u
treasonous	treason	treasonous
for	for	for
daring	dare	daring
to	to	to
oppose	oppos	oppose
a	a	a
dangerous	danger	dangerous
orange	orang	orange
despot	despot	despot
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
If	if	If
they	they	they
truly	truli	truly
had	had	had
the	the	the
love	love	love
and	and	and
support	support	support
they	they	they
think	think	think
,	,	,
their	their	their
protests	protest	protest
would	would	would
blow	blow	blow
anti	anti	anti
-Trump	-trump	-Trump
protests	protest	protest
out	out	out
of	of	of
the	the	the
water	water	water
every	everi	every
time	time	time
.	.	.
Doesn	doesn	Doesn
t	t	t
look	look	look
like	like	like
we	we	we
re	re	re
the	the	the
ones	one	one
who	who	who
need	need	need
to	to	to
get	get	get
over	over	over
anything	anyth	anything
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
