America	america	America
s	s	s
gotta	gotta	gotta
keep	keep	keep
5	5	5
-Star	-star	-Star
Mooch	mooch	Mooch
,	,	,
her	her	her
lovely	love	lovely
daughters	daughter	daughter
and	and	and
of	of	of
course	cours	course
,	,	,
her	her	her
tax	tax	tax
-payer	-payer	-payer
funded	fund	funded
mommy	mommi	mommy
in	in	in
the	the	the
lifestyle	lifestyl	lifestyle
they	they	they
ve	ve	ve
become	becom	become
accustomed	accustom	accustomed
to	to	to
President	presid	President
Obama	obama	Obama
sought	sought	sought
to	to	to
increase	increas	increase
the	the	the
amount	amount	amount
of	of	of
money	money	money
available	avail	available
for	for	for
the	the	the
federal	feder	federal
government	govern	government
to	to	to
spend	spend	spend
on	on	on
former	former	former
presidents	presid	president
in	in	in
advance	advanc	advance
of	of	of
his	his	his
White	white	White
House	hous	House
exit	exit	exit
.	.	.
In	in	In
his	his	his
budget	budget	budget
requests	request	request
for	for	for
fiscal	fiscal	fiscal
years	year	year
2016	2016	2016
and	and	and
2017	2017	2017
,	,	,
Obama	obama	Obama
proposed	propos	proposed
hikes	hike	hike
in	in	in
the	the	the
appropriations	appropri	appropriation
for	for	for
expenditures	expenditur	expenditure
of	of	of
former	former	former
presidents	presid	president
,	,	,
according	accord	according
to	to	to
a	a	a
report	report	report
from	from	from
the	the	the
Congressional	congression	Congressional
Research	research	Research
Service	servic	Service
published	publish	published
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
report	report	report
,	,	,
which	which	which
discusses	discuss	discus
the	the	the
pensions	pension	pension
and	and	and
other	other	other
federal	feder	federal
benefits	benefit	benefit
offered	offer	offered
to	to	to
former	former	former
commanders	command	commander
-in-chief	-in-chief	-in-chief
by	by	by
way	way	way
of	of	of
the	the	the
Former	former	Former
Presidents	presid	Presidents
Act	act	Act
,	,	,
specifies	specifi	specifies
that	that	that
Obama	obama	Obama
s	s	s
2017	2017	2017
budget	budget	budget
proposes	propos	proposes
a	a	a
nearly	near	nearly
18	18	18
percent	percent	percent
hike	hike	hike
in	in	in
appropriations	appropri	appropriation
for	for	for
expenditures	expenditur	expenditure
of	of	of
former	former	former
presidents	presid	president
.	.	.

He	he	He
successfully	success	successfully
requested	request	requested
an	an	an
increase	increas	increase
in	in	in
such	such	such
appropriations	appropri	appropriation
for	for	for
fiscal	fiscal	fiscal
year	year	year
2016	2016	2016
.	.	.

The	the	The
President	presid	President
s	s	s
FY2017	fy2017	FY2017
budget	budget	budget
request	request	request
seeks	seek	seek
3	3	3
,	,	,
865	865	865
,	,	,
000	000	000
in	in	in
appropriations	appropri	appropriation
for	for	for
expenditures	expenditur	expenditure
for	for	for
former	former	former
Presidents	presid	Presidents
,	,	,
an	an	an
increase	increas	increase
of	of	of
588	588	588
,	,	,
000	000	000
17	17	17
.	.	.
9	9	9
from	from	from
the	the	the
FY2016	fy2016	FY2016
appropriation	appropri	appropriation
level	level	level
.	.	.

The	the	The
increase	increas	increase
in	in	in
requested	request	requested
appropriations	appropri	appropriation
for	for	for
FY2017	fy2017	FY2017
anticipates	anticip	anticipates
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
transition	transit	transition
from	from	from
incumbent	incumb	incumbent
to	to	to
former	former	former
President	presid	President
,	,	,
the	the	the
report	report	report
reads	read	read
.	.	.

For	for	For
FY2016	fy2016	FY2016
,	,	,
President	presid	President
Obama	obama	Obama
requested	request	requested
and	and	and
received	receiv	received
appropriations	appropri	appropriation
of	of	of
3	3	3
,	,	,
277	277	277
,	,	,
000	000	000
for	for	for
expenditures	expenditur	expenditure
for	for	for
former	former	former
Presidents	presid	Presidents
an	an	an
increase	increas	increase
of	of	of
25	25	25
,	,	,
000	000	000
from	from	from
FY2015	fy2015	FY2015
appropriated	appropri	appropriated
levels	level	level
.	.	.

The	the	The
Former	former	Former
Presidents	presid	Presidents
Act	act	Act
,	,	,
enacted	enact	enacted
in	in	in
1958	1958	1958
,	,	,
provides	provid	provides
living	live	living
former	former	former
presidents	presid	president
with	with	with
a	a	a
pension	pension	pension
,	,	,
office	offic	office
staff	staff	staff
and	and	and
support	support	support
,	,	,
funds	fund	fund
for	for	for
travel	travel	travel
,	,	,
Secret	secret	Secret
Service	servic	Service
protection	protect	protection
,	,	,
and	and	and
mailing	mail	mailing
privileges	privileg	privilege
.	.	.

It	it	It
also	also	also
provides	provid	provides
benefits	benefit	benefit
for	for	for
presidential	presidenti	presidential
spouses	spous	spouse
.	.	.

Currently	current	Currently
,	,	,
former	former	former
presidents	presid	president
are	are	are
awarded	award	awarded
a	a	a
pension	pension	pension
equal	equal	equal
to	to	to
the	the	the
salary	salari	salary
of	of	of
cabinet	cabinet	cabinet
secretaries	secretari	secretary
,	,	,
which	which	which
totaled	total	totaled
203	203	203
,	,	,
700	700	700
for	for	for
the	the	the
2015	2015	2015
calendar	calendar	calendar
year	year	year
and	and	and
was	was	wa
boosted	boost	boosted
by	by	by
2	2	2
,	,	,
000	000	000
for	for	for
the	the	the
current	current	current
calendar	calendar	calendar
year	year	year
.	.	.
Via	via	Via
FOX	fox	FOX
News	news	News

