21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
President	presid	President
Trump	trump	Trump
s	s	s
Executive	execut	Executive
Order	order	Order
Protecting	protect	Protecting
the	the	the
Nation	nation	Nation
From	from	From
Foreign	foreign	Foreign
Terrorist	terrorist	Terrorist
Entry	entri	Entry
Into	into	Into
the	the	the
US	us	US
,	,	,
is	is	is
under	under	under
fire	fire	fire
in	in	in
the	the	the
American	american	American
legal	legal	legal
system	system	system
.	.	.

The	the	The
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
and	and	and
multiple	multipl	multiple
US	us	US
State	state	State
Attorney	attorney	Attorney
Generals	general	Generals
are	are	are
filing	file	filing
law	law	law
suits	suit	suit
against	against	against
the	the	the
Federal	feder	Federal
Government	govern	Government
lots	lot	lot
of	of	of
law	law	law
suits	suit	suit
.	.	.
US	us	US
District	district	District
Court	court	Court
Judge	judg	Judge
,	,	,
James	jame	James
Robart	robart	Robart
,	,	,
issued	issu	issued
a	a	a
temporary	temporari	temporary
restraining	restrain	restraining
order	order	order
against	against	against
enforcement	enforc	enforcement
of	of	of
the	the	the
Trump	trump	Trump
Executive	execut	Executive
Order	order	Order
calling	call	calling
it	it	it
un	un	un
-lawful	-law	-lawful
,	,	,
un	un	un
-American	-american	-American
and	and	and
un	un	un
-constitutional	-constitut	-constitutional
.	.	.

The	the	The
White	white	White
House	hous	House
has	has	ha
replied	repli	replied
by	by	by
saying	say	saying
that	that	that
they	they	they
believe	believ	believe
the	the	the
order	order	order
is	is	is
just	just	just
and	and	and
within	within	within
the	the	the
presidents	presid	president
constitutional	constitut	constitutional
authority	author	authority
and	and	and
that	that	that
at	at	at
the	the	the
earliest	earliest	earliest
possible	possibl	possible
time	time	time
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
will	will	will
file	file	file
for	for	for
a	a	a
stay	stay	stay
of	of	of
the	the	the
order	order	order
.	.	.
Are	are	Are
we	we	we
about	about	about
to	to	to
see	see	see
a	a	a
legal	legal	legal
battle	battl	battle
to	to	to
dwarf	dwarf	dwarf
all	all	all
legal	legal	legal
battles	battl	battle
?	?	?

Do	do	Do
the	the	the
ACLU	aclu	ACLU
and	and	and
the	the	the
agitated	agit	agitated
Attorney	attorney	Attorney
Generals	general	Generals
have	have	have
any	ani	any
legal	legal	legal
feet	feet	foot
to	to	to
stand	stand	stand
on	on	on
a	a	a
opposing	oppos	opposing
Trump	trump	Trump
s	s	s
Executive	execut	Executive
Order	order	Order
?	?	?
RT	rt	RT
reports	report	report
below	below	below
with	with	with
more	more	more
analysis	analysi	analysis
on	on	on
this	this	this
situation	situat	situation
RTThe	rtthe	RTThe
State	state	State
Department	depart	Department
,	,	,
since	sinc	since
being	be	being
notified	notifi	notified
by	by	by
the	the	the
Justice	justic	Justice
Department	depart	Department
of	of	of
the	the	the
ruling	rule	ruling
from	from	from
the	the	the
US	us	US
District	district	District
Court	court	Court
for	for	for
the	the	the
Western	western	Western
District	district	District
of	of	of
Washington	washington	Washington
,	,	,
has	has	ha
been	been	been
in	in	in
contact	contact	contact
with	with	with
the	the	the
Homeland	homeland	Homeland
Security	secur	Security
Department	depart	Department
and	and	and
legal	legal	legal
teams	team	team
to	to	to
coordinate	coordin	coordinate
operations	oper	operation
,	,	,
according	accord	according
to	to	to
Reuters	reuter	Reuters
.	.	.
Customs	custom	Customs
and	and	and
Border	border	Border
Protection	protect	Protection
officials	offici	official
said	said	said
they	they	they
would	would	would
reinstate	reinstat	reinstate
visas	visa	visa
in	in	in
compliance	complianc	compliance
with	with	with
the	the	the
order	order	order
.	.	.

At	at	At
the	the	the
earliest	earliest	earliest
possible	possibl	possible
time	time	time
,	,	,
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
intends	intend	intends
to	to	to
file	file	file
an	an	an
emergency	emerg	emergency
stay	stay	stay
of	of	of
this	this	this
order	order	order
and	and	and
defend	defend	defend
the	the	the
executive	execut	executive
order	order	order
of	of	of
the	the	the
President	presid	President
,	,	,
which	which	which
we	we	we
believe	believ	believe
is	is	is
lawful	law	lawful
and	and	and
appropriate	appropri	appropriate
,	,	,
the	the	the
White	white	White
House	hous	House
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
president	presid	president
s	s	s
order	order	order
is	is	is
intended	intend	intended
to	to	to
protect	protect	protect
the	the	the
homeland	homeland	homeland
and	and	and
he	he	he
has	has	ha
the	the	the
constitutional	constitut	constitutional
authority	author	authority
and	and	and
responsibility	respons	responsibility
to	to	to
protect	protect	protect
the	the	the
American	american	American
people	peopl	people
.	.	.

In	in	In
response	respons	response
,	,	,
the	the	the
DOJ	doj	DOJ
will	will	will
not	not	not
file	file	file
an	an	an
emergency	emerg	emergency
stay	stay	stay
request	request	request
of	of	of
the	the	the
order	order	order
Friday	friday	Friday
night	night	night
,	,	,
a	a	a
spokesperson	spokesperson	spokesperson
said	said	said
,	,	,
Reuters	reuter	Reuters
reported	report	reported
.	.	.
Last	last	Last
Friday	friday	Friday
,	,	,
Trump	trump	Trump
issued	issu	issued
an	an	an
executive	execut	executive
order	order	order
that	that	that
banned	ban	banned
citizens	citizen	citizen
from	from	from
Iran	iran	Iran
,	,	,
Iraq	iraq	Iraq
,	,	,
Libya	libya	Libya
,	,	,
Somalia	somalia	Somalia
,	,	,
Sudan	sudan	Sudan
,	,	,
Syria	syria	Syria
and	and	and
Yemen	yemen	Yemen
from	from	from
entering	enter	entering
the	the	the
US	us	US
.	.	.

The	the	The
rollout	rollout	rollout
of	of	of
the	the	the
executive	execut	executive
order	order	order
caused	caus	caused
mass	mass	mass
confusion	confus	confusion
,	,	,
deportations	deport	deportation
and	and	and
protests	protest	protest
.	.	.

By	by	By
Saturday	saturday	Saturday
,	,	,
the	the	the
lawsuits	lawsuit	lawsuit
had	had	had
begun	begun	begun
,	,	,
with	with	with
at	at	at
least	least	least
40	40	40
active	activ	active
lawsuits	lawsuit	lawsuit
in	in	in
17	17	17
states	state	state
.	.	.
At	at	At
the	the	the
state	state	state
level	level	level
,	,	,
Virginia	virginia	Virginia
,	,	,
Washington	washington	Washington
,	,	,
Minnesota	minnesota	Minnesota
,	,	,
New	new	New
York	york	York
and	and	and
Massachusetts	massachusett	Massachusetts
have	have	have
filed	file	filed
cases	case	case
against	against	against
the	the	the
federal	feder	federal
government	govern	government
.	.	.

The	the	The
attorneys	attorney	attorney
general	general	general
of	of	of
16	16	16
states	state	state
and	and	and
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
issued	issu	issued
a	a	a
joint	joint	joint
statement	statement	statement
earlier	earlier	earlier
this	this	this
week	week	week
calling	call	calling
the	the	the
executive	execut	executive
order	order	order
unconstitutional	unconstitut	unconstitutional
,	,	,
un	un	un
-American	-american	-American
and	and	and
unlawful	unlaw	unlawful
.	.	.

After	after	After
2	2	2
weeks	week	week
in	in	in
office	offic	office
,	,	,
President	presid	President
Trump	trump	Trump
faces	face	face
50	50	50
lawsuits	lawsuit	lawsuit
,	,	,
far	far	far
more	more	more
than	than	than
his	his	his
predecessors	predecessor	predecessor
faced	face	faced
in	in	in
that	that	that
span	span	span
https://t.co/NXMetwCLnj	https://t.co/nxmetwclnj	https://t.co/NXMetwCLnj
pic.twitter.com/2kERF2n7Ga	pic.twitter.com/2kerf2n7ga	pic.twitter.com/2kERF2n7Ga
NPR	npr	NPR
@NPR	@npr	@NPR
February	februari	February
3	3	3
,	,	,
2017In	2017in	2017In
California	california	California
,	,	,
the	the	the
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
ACLU	aclu	ACLU
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
that	that	that
seeks	seek	seek
class	class	class
-action	-action	-action
status	status	status
,	,	,
which	which	which
New	new	New
York	york	York
and	and	and
Massachusetts	massachusett	Massachusetts
have	have	have
joined	join	joined
.	.	.

There	there	There
are	are	are
individual	individu	individual
lawsuits	lawsuit	lawsuit
in	in	in
Georgia	georgia	Georgia
,	,	,
Illinois	illinoi	Illinois
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
Texas	texa	Texas
and	and	and
elsewhere	elsewher	elsewhere
,	,	,
NBC	nbc	NBC
News	news	News
reported	report	reported
.	.	.

The	the	The
lawsuits	lawsuit	lawsuit
claim	claim	claim
violations	violat	violation
of	of	of
the	the	the
First	first	First
,	,	,
Fifth	fifth	Fifth
and	and	and
Fourteenth	fourteenth	Fourteenth
Amendments	amend	Amendments
,	,	,
which	which	which
guarantee	guarante	guarantee
religious	religi	religious
equality	equal	equality
,	,	,
due	due	due
process	process	process
and	and	and
equal	equal	equal
protection	protect	protection
under	under	under
the	the	the
law	law	law
,	,	,
as	as	a
well	well	well
as	as	a
denials	denial	denial
of	of	of
asylum	asylum	asylum
and	and	and
discriminatory	discriminatori	discriminatory
visa	visa	visa
processing	process	processing
.	.	.

We	we	We
re	re	re
being	be	being
sued	su	sued
right	right	right
now	now	now
in	in	in
10	10	10
different	differ	different
courts	court	court
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
be	be	be
sued	su	sued
tomorrow	tomorrow	tomorrow
in	in	in
20	20	20
different	differ	different
courts	court	court
,	,	,
Erez	erez	Erez
Reuveni	reuveni	Reuveni
from	from	from
the	the	the
Justice	justic	Justice
Department	depart	Department
s	s	s
Office	offic	Office
of	of	of
Immigration	immigr	Immigration
Litigation	litig	Litigation
told	told	told
a	a	a
Virginia	virginia	Virginia
judge	judg	judge
on	on	on
Friday	friday	Friday
.	.	.
On	on	On
Friday	friday	Friday
afternoon	afternoon	afternoon
,	,	,
a	a	a
US	us	US
District	district	District
Court	court	Court
judge	judg	judge
in	in	in
Washington	washington	Washington
state	state	state
ruled	rule	ruled
that	that	that
the	the	the
combined	combin	combined
cases	case	case
put	put	put
forward	forward	forward
by	by	by
Washington	washington	Washington
and	and	and
Minnesota	minnesota	Minnesota
provided	provid	provided
evidence	evid	evidence
that	that	that
the	the	the
executive	execut	executive
order	order	order
has	has	ha
caused	caus	caused
immediate	immedi	immediate
harm	harm	harm
.	.	.

Judge	judg	Judge
James	jame	James
Robart	robart	Robart
also	also	also
said	said	said
that	that	that
the	the	the
lawsuit	lawsuit	lawsuit
has	has	ha
substantial	substanti	substantial
likelihood	likelihood	likelihood
of	of	of
success	success	success
in	in	in
challenging	challeng	challenging
the	the	the
constitutionality	constitut	constitutionality
of	of	of
the	the	the
order	order	order
,	,	,
the	the	the
Seattle	seattl	Seattle
Times	time	Times
reported	report	reported
.	.	.
Robart	robart	Robart
asks	ask	asks
DOJ's	doj	DOJ's
Bennett	bennett	Bennett
how	how	how
many	mani	many
arrests	arrest	arrest
of	of	of
foreign	foreign	foreign
nationals	nation	national
there	there	there
have	have	have
been	been	been
from	from	from
the	the	the
7	7	7
countries	countri	country
since	sinc	since
9	9	9
11	11	11
.	.	.

She	she	She
says	say	say
she	she	she
doesn't	doesn't	doesn't
know	know	know
.	.	.

Sydney	sydney	Sydney
Brownstone	brownston	Brownstone
@sydbrownstone	@sydbrownston	@sydbrownstone
February	februari	February
3	3	3
,	,	,
2017	2017	2017
The	the	The
Constitution	constitut	Constitution
prevailed	prevail	prevailed
today	today	today
,	,	,
Washington	washington	Washington
Attorney	attorney	Attorney
General	general	General
Bob	bob	Bob
Ferguson	ferguson	Ferguson
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

No	no	No
one	one	one
is	is	is
above	abov	above
the	the	the
law	law	law
not	not	not
even	even	even
the	the	the
President	presid	President
.	.	.

On	on	On
Monday	monday	Monday
,	,	,
Ferguson	ferguson	Ferguson
became	becam	became
the	the	the
first	first	first
