Token	Stem	Lemma
Green	green	Green
Party	parti	Party
presidential	presidenti	presidential
nominee	nomine	nominee
Jill	jill	Jill
Stein	stein	Stein
has	has	ha
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
in	in	in
federal	feder	federal
court	court	court
over	over	over
the	the	the
recount	recount	recount
efforts	effort	effort
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
According	accord	According
to	to	to
the	the	the
complaint	complaint	complaint
filed	file	filed
by	by	by
Stein	stein	Stein
Pennsylvania	pennsylvania	Pennsylvania
elections	elect	election
are	are	are
a	a	a
national	nation	national
disgrace	disgrac	disgrace
Voters	voter	Voters
are	are	are
forced	forc	forced
to	to	to
use	use	use
vulnerable	vulner	vulnerable
hackable	hackabl	hackable
antiquated	antiqu	antiquated
technology	technolog	technology
banned	ban	banned
in	in	in
other	other	other
states	state	state
then	then	then
rely	reli	rely
on	on	on
the	the	the
kindness	kind	kindness
of	of	of
machines	machin	machine
the	the	the
complaint	complaint	complaint
reads	read	read
There	there	There
is	is	is
no	no	no
paper	paper	paper
trail	trail	trail
Voting	vote	Voting
machines	machin	machine
are	are	are
electoral	elector	electoral
black	black	black
sites	site	site
no	no	no
one	one	one
permits	permit	permit
voters	voter	voter
or	or	or
candidates	candid	candidate
to	to	to
examine	examin	examine
them	them	them
Stein	stein	Stein
filed	file	filed
her	her	her
lawsuit	lawsuit	lawsuit
on	on	on
Monday	monday	Monday
in	in	in
the	the	the
U	u	U
S	s	S
District	district	District
Court	court	Court
for	for	for
the	the	the
Eastern	eastern	Eastern
District	district	District
of	of	of
Pennsylvania	pennsylvania	Pennsylvania
The	the	The
suit	suit	suit
questions	question	question
if	if	if
votes	vote	vote
in	in	in
the	the	the
Keystone	keyston	Keystone
State	state	State
were	were	were
counted	count	counted
accurately	accur	accurately
and	and	and
alleged	alleg	alleged
that	that	that
electronic	electron	electronic
voting	vote	voting
machines	machin	machine
in	in	in
the	the	the
state	state	state
had	had	had
serious	serious	serious
cyber	cyber	cyber
security	secur	security
problems	problem	problem
In	in	In
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
rife	rife	rife
with	with	with
foreign	foreign	foreign
interference	interfer	interference
documented	document	documented
by	by	by
American	american	American
intelligence	intellig	intelligence
agencies	agenc	agency
and	and	and
hacks	hack	hack
of	of	of
voter	voter	voter
rolls	roll	roll
in	in	in
multiple	multipl	multiple
states	state	state
voters	voter	voter
deserve	deserv	deserve
the	the	the
truth	truth	truth
reads	read	read
the	the	the
lawsuit	lawsuit	lawsuit
Stein	stein	Stein
was	was	wa
forced	forc	forced
to	to	to
drop	drop	drop
her	her	her
original	origin	original
bid	bid	bid
for	for	for
a	a	a
recount	recount	recount
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
on	on	on
Saturday	saturday	Saturday
when	when	when
a	a	a
judge	judg	judge
attached	attach	attached
a	a	a
1	1	1
million	million	million
price	price	price
tag	tag	tag
after	after	after
Donald	donald	Donald
Trump	trump	Trump
requested	request	requested
a	a	a
10	10	10
