#FlashbackFriday	#flashbackfriday	#FlashbackFriday
1993	1993	1993
#AttorneyGate	#attorneyg	#AttorneyGate
Clinton	clinton	Clinton
AG	ag	AG
Reno	reno	Reno
Fires	fire	Fires
ALL	all	ALL
93	93	93
Republican	republican	Republican
US	us	US
Attorneys	attorney	Attorneys
in	in	in
one	one	one
day	day	day
.	.	.

#Sessions	#session	#Sessions
is	is	is
following	follow	following
tradition	tradit	tradition
.	.	.

#MAGA	#maga	#MAGA
pic.twitter.com/GGf9ur1R9f	pic.twitter.com/ggf9ur1r9f	pic.twitter.com/GGf9ur1R9f
ia	ia	ia
@nia4_trump	@nia4_trump	@nia4_trump
March	march	March
10	10	10
,	,	,
2017WASHINGTON	2017washington	2017WASHINGTON
AP	ap	AP
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
is	is	is
seeking	seek	seeking
the	the	the
resignations	resign	resignation
of	of	of
46	46	46
United	unit	United
States	state	States
attorneys	attorney	attorney
who	who	who
were	were	were
appointed	appoint	appointed
during	dure	during
the	the	the
prior	prior	prior
presidential	presidenti	presidential
administration	administr	administration
.	.	.
In	in	In
a	a	a
statement	statement	statement
Friday	friday	Friday
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
said	said	said
the	the	the
request	request	request
was	was	wa
similar	similar	similar
to	to	to
ones	one	one
made	made	made
in	in	in
past	past	past
presidential	presidenti	presidential
transitions	transit	transition
.	.	.

The	the	The
department	depart	department
said	said	said
many	mani	many
federal	feder	federal
prosecutors	prosecutor	prosecutor
appointed	appoint	appointed
in	in	in
the	the	the
Obama	obama	Obama
administration	administr	administration
have	have	have
already	alreadi	already
left	left	left
their	their	their
positions	posit	position
,	,	,
but	but	but
that	that	that
Sessions	session	Sessions
is	is	is
now	now	now
seeking	seek	seeking
the	the	the
resignations	resign	resignation
of	of	of
46	46	46
holdovers	holdov	holdover
.	.	.
It	it	It
is	is	is
customary	customari	customary
,	,	,
though	though	though
not	not	not
automatic	automat	automatic
,	,	,
for	for	for
the	the	the
country	countri	country
s	s	s
93	93	93
U	u	U
.	.	.
S	s	S
.	.	.
attorneys	attorney	attorney
to	to	to
leave	leav	leave
their	their	their
positions	posit	position
once	onc	once
a	a	a
new	new	new
president	presid	president
is	is	is
in	in	in
office	offic	office
.	.	.

The	the	The
Obama	obama	Obama
administration	administr	administration
allowed	allow	allowed
political	polit	political
appointees	appointe	appointee
of	of	of
President	presid	President
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
to	to	to
serve	serv	serve
until	until	until
their	their	their
replacement	replac	replacement
had	had	had
been	been	been
nominated	nomin	nominated
and	and	and
confirmed	confirm	confirmed
.	.	.
The	the	The
federal	feder	federal
prosecutors	prosecutor	prosecutor
are	are	are
nominated	nomin	nominated
by	by	by
the	the	the
president	presid	president
,	,	,
generally	general	generally
upon	upon	upon
the	the	the
recommendation	recommend	recommendation
of	of	of
a	a	a
home	home	home
-state	-state	-state
senator	senat	senator
.	.	.
One	one	One
U	u	U
.	.	.
S	s	S
.	.	.
attorney	attorney	attorney
appointed	appoint	appointed
by	by	by
Bush	bush	Bush
,	,	,
Rod	rod	Rod
Rosenstein	rosenstein	Rosenstein
of	of	of
Maryland	maryland	Maryland
,	,	,
remained	remain	remained
on	on	on
the	the	the
job	job	job
for	for	for
the	the	the
entire	entir	entire
Obama	obama	Obama
administration	administr	administration
and	and	and
is	is	is
the	the	the
current	current	current
nominee	nomine	nominee
for	for	for
deputy	deputi	deputy
attorney	attorney	attorney
general	general	general
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
attorneys	attorney	attorney
are	are	are
responsible	respons	responsible
for	for	for
prosecuting	prosecut	prosecuting
federal	feder	federal
crimes	crime	crime
in	in	in
the	the	the
territories	territori	territory
they	they	they
oversee	overse	oversee
.	.	.

They	they	They
report	report	report
to	to	to
Justice	justic	Justice
Department	depart	Department
leadership	leadership	leadership
in	in	in
Washington	washington	Washington
,	,	,
and	and	and
their	their	their
priorities	prioriti	priority
are	are	are
expected	expect	expected
to	to	to
be	be	be
in	in	in
line	line	line
with	with	with
those	those	those
of	of	of
the	the	the
attorney	attorney	attorney
general	general	general
.	.	.
Via	via	Via
AP	ap	AP

