No	no	No
matter	matter	matter
which	which	which
candidate	candid	candidate
you	you	you
support	support	support
,	,	,
you	you	you
have	have	have
to	to	to
admit	admit	admit
that	that	that
once	onc	once
again	again	again
Trump	trump	Trump
has	has	ha
brought	brought	brought
up	up	up
a	a	a
topic	topic	topic
that	that	that
needs	need	need
to	to	to
be	be	be
discussed	discuss	discussed
.	.	.

BILLIONS	billion	BILLIONS
of	of	of
dollars	dollar	dollar
are	are	are
sent	sent	sent
back	back	back
to	to	to
home	home	home
countries	countri	country
from	from	from
America	america	America
.	.	.

Think	think	Think
of	of	of
how	how	how
much	much	much
we	we	we
lose	lose	lose
when	when	when
120	120	120
billion	billion	billion
dollars	dollar	dollar
leaves	leav	leaf
America	america	America
!	!	!

What	what	What
if	if	if
we	we	we
tell	tell	tell
Mexico	mexico	Mexico
we	we	we
will	will	will
stop	stop	stop
this	this	this
flow	flow	flow
of	of	of
money	money	money
until	until	until
they	they	they
pay	pay	pay
to	to	to
build	build	build
a	a	a
wall	wall	wall
at	at	at
the	the	the
border	border	border
?	?	?

The	the	The
estimate	estim	estimate
for	for	for
the	the	the
wall	wall	wall
is	is	is
25	25	25
billion	billion	billion
which	which	which
is	is	is
nothing	noth	nothing
compared	compar	compared
to	to	to
the	the	the
120	120	120
billion	billion	billion
that	that	that
leaves	leav	leaf
America	america	America
every	everi	every
year	year	year
.	.	.

While	while	While
we	we	we
re	re	re
bleeding	bleed	bleeding
money	money	money
out	out	out
,	,	,
the	the	the
only	onli	only
amount	amount	amount
coming	come	coming
into	into	into
America	america	America
is	is	is
5	5	5
.	.	.
1	1	1
billion	billion	billion
Yes	yes	Yes
,	,	,
120	120	120
billion	billion	billion
out	out	out
,	,	,
5	5	5
.	.	.
1	1	1
billion	billion	billion
in	in	in
.	.	.
Migrants	migrant	Migrants
working	work	working
in	in	in
the	the	the
United	unit	United
States	state	States
sent	sent	sent
a	a	a
staggering	stagger	staggering
120	120	120
billion	billion	billion
back	back	back
to	to	to
their	their	their
families	famili	family
last	last	last
year	year	year
,	,	,
it	it	it
was	was	wa
revealed	reveal	revealed
today	today	today
.	.	.

The	the	The
amount	amount	amount
of	of	of
money	money	money
being	be	being
sent	sent	sent
by	by	by
migrants	migrant	migrant
across	across	across
the	the	the
entire	entir	entire
world	world	world
reached	reach	reached
530	530	530
billion	billion	billion
last	last	last
year	year	year
,	,	,
making	make	making
it	it	it
a	a	a
larger	larger	larger
economy	economi	economy
than	than	than
Iran	iran	Iran
or	or	or
Argentina	argentina	Argentina
,	,	,
the	the	the
data	data	data
from	from	from
the	the	the
World	world	World
Bank	bank	Bank
showed	show	showed
.	.	.

This	this	This
worldwide	worldwid	worldwide
figure	figur	figure
has	has	ha
tripled	tripl	tripled
in	in	in
the	the	the
last	last	last
ten	ten	ten
years	year	year
and	and	and
is	is	is
now	now	now
three	three	three
times	time	time
bigger	bigger	bigger
than	than	than
the	the	the
total	total	total
aid	aid	aid
budgets	budget	budget
given	given	given
by	by	by
countries	countri	country
around	around	around
the	the	the
world	world	world
.	.	.

It	it	It
has	has	ha
sparked	spark	sparked
debate	debat	debate
whether	whether	whether
this	this	this
so	so	so
-called	-call	-called
remittance	remitt	remittance
money	money	money
could	could	could
be	be	be
a	a	a
viable	viabl	viable
alternative	altern	alternative
to	to	to
relying	reli	relying
on	on	on
help	help	help
from	from	from
other	other	other
governments	govern	government
.	.	.

In	in	In
the	the	the
United	unit	United
States	state	States
last	last	last
year	year	year
,	,	,
more	more	more
than	than	than
120	120	120
billion	billion	billion
was	was	wa
sent	sent	sent
by	by	by
workers	worker	worker
to	to	to
families	famili	family
abroad	abroad	abroad
making	make	making
it	it	it
the	the	the
largest	largest	largest
sender	sender	sender
of	of	of
remittances	remitt	remittance
in	in	in
the	the	the
world	world	world
.	.	.

More	more	More
than	than	than
23	23	23
billion	billion	billion
went	went	went
to	to	to
Mexico	mexico	Mexico
,	,	,
13	13	13
.	.	.
45	45	45
billion	billion	billion
to	to	to
China	china	China
,	,	,
10	10	10
.	.	.
84	84	84
billion	billion	billion
to	to	to
India	india	India
and	and	and
10	10	10
billion	billion	billion
to	to	to
the	the	the
Philippines	philippin	Philippines
,	,	,
among	among	among
other	other	other
recipients	recipi	recipient
.	.	.
In	in	In
2011	2011	2011
,	,	,
the	the	the
World	world	World
Bank	bank	Bank
estimated	estim	estimated
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
remittances	remitt	remittance
alone	alon	alone
reached	reach	reached
110	110	110
.	.	.
8	8	8
billion	billion	billion
,	,	,
which	which	which
was	was	wa
more	more	more
than	than	than
80	80	80
per	per	per
cent	cent	cent
of	of	of
the	the	the
size	size	size
of	of	of
the	the	the
total	total	total
amount	amount	amount
of	of	of
cash	cash	cash
flow	flow	flow
132	132	132
billion	billion	billion
.	.	.

It	it	It
is	is	is
little	littl	little
surprise	surpris	surprise
as	as	a
the	the	the
US	us	US
is	is	is
home	home	home
to	to	to
the	the	the
largest	largest	largest
number	number	number
of	of	of
migrants	migrant	migrant
from	from	from
developing	develop	developing
countries	countri	country
;	;	;
there	there	there
are	are	are
42	42	42
.	.	.
8	8	8
million	million	million
immigrants	immigr	immigrant
in	in	in
the	the	the
country	countri	country
,	,	,
making	make	making
up	up	up
around	around	around
14	14	14
per	per	per
cent	cent	cent
of	of	of
the	the	the
population	popul	population
.	.	.
By	by	By
contrast	contrast	contrast
,	,	,
2	2	2
.	.	.
4	4	4
million	million	million
Americans	american	Americans
live	live	live
oversees	overse	oversees
,	,	,
with	with	with
largest	largest	largest
populations	popul	population
in	in	in
Mexico	mexico	Mexico
,	,	,
Canada	canada	Canada
and	and	and
