What	what	What
Catholic	cathol	Catholic
college	colleg	college
campus	campus	campus
would	would	would
be	be	be
complete	complet	complete
without	without	without
students	student	student
who	who	who
bastardize	bastard	bastardize
the	the	the
lyrics	lyric	lyric
to	to	to
songs	song	song
about	about	about
the	the	the
birth	birth	birth
of	of	of
Jesus	jesus	Jesus
Christ	christ	Christ
Tis	tis	Tis
the	the	the
season	season	season
to	to	to
protest	protest	protest
,	,	,
apparently	appar	apparently
.	.	.
A	a	A
group	group	group
of	of	of
Boston	boston	Boston
College	colleg	College
student	student	student
activists	activist	activist
that	that	that
go	go	go
by	by	by
Eradicate	erad	Eradicate
Boston	boston	Boston
College	colleg	College
Racism	racism	Racism
recently	recent	recently
perverted	pervert	perverted
the	the	the
Christmas	christma	Christmas
carol	carol	carol
Walking	walk	Walking
in	in	in
a	a	a
Winter	winter	Winter
Wonderland	wonderland	Wonderland
to	to	to
fit	fit	fit
its	it	it
Twelve	twelv	Twelve
Days	day	Days
of	of	of
BC	bc	BC
Racism	racism	Racism
campaign	campaign	campaign
,	,	,
Boston	boston	Boston
.	.	.
com	com	com
reports	report	report
.	.	.
The	the	The
students	student	student
distributed	distribut	distributed
lyrics	lyric	lyric
to	to	to
their	their	their
re	re	re
-worked	-work	-worked
carol	carol	carol
and	and	and
attempted	attempt	attempted
to	to	to
deliver	deliv	deliver
their	their	their
rendition	rendit	rendition
to	to	to
the	the	the
college	colleg	college
s	s	s
board	board	board
of	of	of
trustees	truste	trustee
during	dure	during
a	a	a
luncheon	luncheon	luncheon
Friday	friday	Friday
,	,	,
Dec	dec	Dec
.	.	.
5	5	5
.	.	.
Rejected	reject	Rejected
,	,	,
they	they	they
resorted	resort	resorted
to	to	to
singing	sing	singing
in	in	in
the	the	the
atrium	atrium	atrium
in	in	in
front	front	front
of	of	of
the	the	the
building	build	building
.	.	.
And	and	And
now	now	now
we	we	we
carol	carol	carol
for	for	for
accountability	account	accountability
!	!	!
the	the	the
group	group	group
posted	post	posted
to	to	to
Twitter	twitter	Twitter
Dec	dec	Dec
.	.	.
4	4	4
,	,	,
along	along	along
with	with	with
a	a	a
video	video	video
of	of	of
their	their	their
stunt	stunt	stunt
.	.	.
And	and	And
now	now	now
we	we	we
carol	carol	carol
for	for	for
accountability	account	accountability
!	!	!
#12Days	#12day	#12Days
#BostonCollegeRacism	#bostoncollegerac	#BostonCollegeRacism
#CJBC	#cjbc	#CJBC
@bostoncollege	@bostoncolleg	@bostoncollege
pic.twitter.com/7DKuoONzhX	pic.twitter.com/7dkuoonzhx	pic.twitter.com/7DKuoONzhX
Eradicate	erad	Eradicate
BC	bc	BC
Racism	racism	Racism
@BCRacism	@bcracism	@BCRacism
December	decemb	December
4	4	4
,	,	,
2015Here	2015here	2015Here
are	are	are
the	the	the
lyrics	lyric	lyric
to	to	to
the	the	the
song	song	song
that	that	that
is	is	is
being	be	being
sung	sung	sung
by	by	by
a	a	a
mostly	most	mostly
white	white	white
chorus	chorus	chorus
Dear	dear	Dear
Trustees	truste	Trustees
Are	are	Are
you	you	you
listenin	listenin	listenin
?	?	?
A	a	A
real	real	real
plan	plan	plan
You	you	You
are	are	are
missin	missin	missin
.	.	.
Until	until	Until
you	you	you
agree	agre	agree
,	,	,
And	and	And
change	chang	change
we	we	we
do	do	do
see	see	see
,	,	,
We	we	We
re	re	re
walking	walk	walking
through	through	through
a	a	a
white	white	white
man	man	man
s	s	s
wonderland	wonderland	wonderland
.	.	.
Gone	gone	Gone
away	away	away
,	,	,
is	is	is
our	our	our
patience	patienc	patience
.	.	.
Here	here	Here
to	to	to
stay	stay	stay
demonstration	demonstr	demonstration
.	.	.
Deas	dea	Deas
tell	tell	tell
us	us	u
to	to	to
trust	trust	trust
But	but	But
we	we	we
know	know	know
we	we	we
must	must	must
Keep	keep	Keep
walkin	walkin	walkin
through	through	through
a	a	a
white	white	white
man	man	man
s	s	s
wonderland	wonderland	wonderland
.	.	.
In	in	In
your	your	your
meeting	meet	meeting
you	you	you
can	can	can
do	do	do
some	some	some
planning	plan	planning
,	,	,
Decide	decid	Decide
how	how	how
you	you	you
ll	ll	ll
get	get	get
us	us	u
to	to	to
settle	settl	settle
down	down	down
.	.	.
If	if	If
you	you	you
say	say	say
,	,	,
There	there	There
s	s	s
no	no	no
problem	problem	problem
.	.	.
We	we	We
ll	ll	ll
say	say	say
,	,	,
No	no	No
,	,	,
Man	man	Man
?	?	?
Try	tri	Try
living	live	living
on	on	on
this	this	this
campus	campus	campus
If	if	If
you	you	you
re	re	re
brown	brown	brown
.	.	.
More	more	More
bad	bad	bad
press	press	press
You	you	You
ll	ll	ll
inspire	inspir	inspire
If	if	If
reforms	reform	reform
,	,	,
you	you	you
do	do	do
mire	mire	mire
In	in	In
mounds	mound	mound
of	of	of
red	red	red
tape	tape	tape
.	.	.
You	you	You
ll	ll	ll
never	never	never
escape	escap	escape
.	.	.
You	you	You
re	re	re
walkin	walkin	walkin
through	through	through
a	a	a
white	white	white
man	man	man
s	s	s
wonderland	wonderland	wonderland
.	.	.
At	at	At
the	the	the
end	end	end
of	of	of
the	the	the
demonstration	demonstr	demonstration
,	,	,
the	the	the
members	member	member
read	read	read
a	a	a
wish	wish	wish
list	list	list
for	for	for
