After	after	After
former	former	former
FBI	fbi	FBI
Director	director	Director
,	,	,
James	jame	James
Comey	comey	Comey
was	was	wa
fired	fire	fired
from	from	from
his	his	his
position	posit	position
as	as	a
the	the	the
leader	leader	leader
of	of	of
the	the	the
FBI	fbi	FBI
by	by	by
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
thing	thing	thing
that	that	that
is	is	is
on	on	on
everyone	everyon	everyone
s	s	s
mind	mind	mind
now	now	now
is	is	is
what	what	what
will	will	will
Comey	comey	Comey
do	do	do
next	next	next
for	for	for
work	work	work
?	?	?

Will	will	Will
he	he	he
go	go	go
back	back	back
to	to	to
practicing	practic	practicing
law	law	law
?	?	?
According	accord	According
to	to	to
this	this	this
article	articl	article
,	,	,
Comey	comey	Comey
testified	testifi	testified
under	under	under
oath	oath	oath
in	in	in
front	front	front
of	of	of
the	the	the
Senate	senat	Senate
Select	select	Select
Committee	committe	Committee
on	on	on
Intelligence	intellig	Intelligence
last	last	last
Thursday	thursday	Thursday
.	.	.

He	he	He
accused	accus	accused
the	the	the
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
who	who	who
fired	fire	fired
him	him	him
from	from	from
the	the	the
FBI	fbi	FBI
,	,	,
of	of	of
lying	lie	lying
,	,	,
challenged	challeng	challenged
the	the	the
president	presid	president
,	,	,
and	and	and
even	even	even
says	say	say
he	he	he
has	has	ha
proof	proof	proof
of	of	of
material	materi	material
he	he	he
supplied	suppli	supplied
that	that	that
could	could	could
build	build	build
a	a	a
case	case	case
against	against	against
the	the	the
president	presid	president
.	.	.
However	howev	However
,	,	,
aside	asid	aside
from	from	from
that	that	that
,	,	,
what	what	what
is	is	is
next	next	next
for	for	for
the	the	the
former	former	former
FBI	fbi	FBI
Director	director	Director
?	?	?

What	what	What
are	are	are
his	his	his
career	career	career
opportunities	opportun	opportunity
?	?	?

Maybe	mayb	Maybe
he	he	he
will	will	will
go	go	go
back	back	back
to	to	to
law	law	law
where	where	where
he	he	he
lived	live	lived
comfortably	comfort	comfortably
in	in	in
Connecticut	connecticut	Connecticut
as	as	a
a	a	a
lawyer	lawyer	lawyer
.	.	.
According	accord	According
to	to	to
Comey	comey	Comey
,	,	,
he	he	he
stated	state	stated
to	to	to
the	the	the
Senate	senat	Senate
Select	select	Select
Committee	committe	Committee
on	on	on
Intelligence	intellig	Intelligence
when	when	when
he	he	he
testified	testifi	testified
last	last	last
Thursday	thursday	Thursday
that	that	that
he	he	he
is	is	is
currently	current	currently
between	between	between
opportunities	opportun	opportunity
.	.	.

Everyone	everyon	Everyone
knows	know	know
James	jame	James
Comey	comey	Comey
now	now	now
and	and	and
what	what	what
he	he	he
stands	stand	stand
for	for	for
,	,	,
whether	whether	whether
they	they	they
are	are	are
for	for	for
or	or	or
against	against	against
him	him	him
.	.	.

Now	now	Now
that	that	that
everyone	everyon	everyone
knows	know	know
Comey	comey	Comey
and	and	and
who	who	who
he	he	he
is	is	is
,	,	,
will	will	will
this	this	this
hurt	hurt	hurt
his	his	his
chances	chanc	chance
of	of	of
getting	get	getting
a	a	a
career	career	career
soon	soon	soon
?	?	?
He	he	He
was	was	wa
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
email	email	email
investigation	investig	investigation
of	of	of
Hilary	hilari	Hilary
Clinton	clinton	Clinton
but	but	but
now	now	now
is	is	is
seen	seen	seen
as	as	a
a	a	a
critical	critic	critical
cog	cog	cog
in	in	in
the	the	the
Trump	trump	Trump
and	and	and
Russian	russian	Russian
investigation	investig	investigation
.	.	.

Because	becaus	Because
of	of	of
this	this	this
,	,	,
he	he	he
may	may	may
be	be	be
called	call	called
upon	upon	upon
to	to	to
answer	answer	answer
some	some	some
questions	question	question
about	about	about
that	that	that
.	.	.

He	he	He
may	may	may
be	be	be
called	call	called
on	on	on
to	to	to
provide	provid	provide
more	more	more
information	inform	information
about	about	about
Trump	trump	Trump
since	sinc	since
he	he	he
documented	document	documented
his	his	his
and	and	and
Trump	trump	Trump
s	s	s
conversations	convers	conversation
in	in	in
memos	memo	memo
.	.	.

However	howev	However
,	,	,
will	will	will
he	he	he
provide	provid	provide
that	that	that
information	inform	information
that	that	that
may	may	may
be	be	be
critical	critic	critical
in	in	in
finding	find	finding
out	out	out
who	who	who
is	is	is
telling	tell	telling
the	the	the
truth	truth	truth
between	between	between
him	him	him
and	and	and
Trump	trump	Trump
?	?	?

Guess	guess	Guess
we	we	we
will	will	will
have	have	have
to	to	to
stay	stay	stay
tuned	tune	tuned
to	to	to
find	find	find
out	out	out
!	!	!
What	what	What
do	do	do
you	you	you
think	think	think
about	about	about
Comey	comey	Comey
and	and	and
his	his	his
future	futur	future
career	career	career
opportunities	opportun	opportunity
?	?	?
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images

