Donald	donald	Donald
Trump	trump	Trump
is	is	is
crazy	crazi	crazy
.	.	.

I	i	I
don	don	don
t	t	t
say	say	say
this	this	this
flippantly	flippant	flippantly
.	.	.

I	i	I
don	don	don
t	t	t
say	say	say
this	this	this
as	as	a
an	an	an
insult	insult	insult
to	to	to
people	peopl	people
who	who	who
have	have	have
struggled	struggl	struggled
with	with	with
their	their	their
mental	mental	mental
health	health	health
.	.	.

I	i	I
also	also	also
don	don	don
t	t	t
say	say	say
this	this	this
as	as	a
a	a	a
licensed	licens	licensed
mental	mental	mental
health	health	health
professional	profession	professional
.	.	.

But	but	But
as	as	a
someone	someon	someone
who	who	who
has	has	ha
been	been	been
around	around	around
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
with	with	with
serious	serious	serious
mental	mental	mental
illnesses	ill	illness
over	over	over
the	the	the
years	year	year
,	,	,
I	i	I
do	do	do
say	say	say
that	that	that
this	this	this
man	man	man
is	is	is
f	f	f
cking	cking	cking
nuts	nut	nut
.	.	.

And	and	And
apparently	appar	apparently
,	,	,
I	i	I
m	m	m
not	not	not
the	the	the
only	onli	only
one	one	one
who	who	who
thinks	think	think
this	this	this
.	.	.

One	one	One
Democratic	democrat	Democratic
lawmaker	lawmak	lawmaker
is	is	is
taking	take	taking
action	action	action
to	to	to
get	get	get
Trump	trump	Trump
some	some	some
psychiatric	psychiatr	psychiatric
care	care	care
.	.	.
Rep	rep	Rep
.	.	.

Ted	ted	Ted
Lieu	lieu	Lieu
D	d	D
-Calif	-calif	-Calif
.	.	.
is	is	is
planning	plan	planning
to	to	to
introduce	introduc	introduce
a	a	a
bill	bill	bill
as	as	a
early	earli	early
as	as	a
next	next	next
week	week	week
that	that	that
would	would	would
require	requir	require
an	an	an
in	in	in
-house	-hous	-house
White	white	White
House	hous	House
psychiatrist	psychiatrist	psychiatrist
.	.	.

His	his	His
reasoning	reason	reasoning
is	is	is
clear	clear	clear
,	,	,
the	the	the
man	man	man
running	run	running
our	our	our
country	countri	country
is	is	is
in	in	in
desperate	desper	desperate
need	need	need
of	of	of
psychiatric	psychiatr	psychiatric
help	help	help
.	.	.

I	i	I
m	m	m
looking	look	looking
at	at	at
it	it	it
from	from	from
the	the	the
perspective	perspect	perspective
of	of	of
,	,	,
if	if	if
there	there	there
are	are	are
questions	question	question
about	about	about
the	the	the
mental	mental	mental
health	health	health
of	of	of
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
what	what	what
may	may	may
be	be	be
the	the	the
best	best	best
way	way	way
to	to	to
get	get	get
the	the	the
president	presid	president
treatment	treatment	treatment
?	?	?

Lieu	lieu	Lieu
explained	explain	explained
.	.	.
This	this	This
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
Lieu	lieu	Lieu
has	has	ha
let	let	let
it	it	it
be	be	be
known	known	known
that	that	that
he	he	he
is	is	is
worried	worri	worried
about	about	about
Trump	trump	Trump
s	s	s
mental	mental	mental
health	health	health
.	.	.

Over	over	Over
the	the	the
weekend	weekend	weekend
he	he	he
sent	sent	sent
out	out	out
a	a	a
tweet	tweet	tweet
suggesting	suggest	suggesting
that	that	that
Trump	trump	Trump
needs	need	need
to	to	to
undergo	undergo	undergo
a	a	a
psychiatric	psychiatr	psychiatric
evaluation	evalu	evaluation
.	.	.
Last	last	Last
24	24	24
hrs	hrs	hr
on	on	on
Twitter	twitter	Twitter
,	,	,
