When	when	When
Donald	donald	Donald
Trump	trump	Trump
talks	talk	talk
about	about	about
America	america	America
,	,	,
he	he	he
often	often	often
talks	talk	talk
about	about	about
how	how	how
we	we	we
don	don	don
t	t	t
win	win	win
anymore	anymor	anymore
.	.	.
We	we	We
don	don	don
t	t	t
win	win	win
on	on	on
manufacturing	manufactur	manufacturing
.	.	.
We	we	We
don	don	don
t	t	t
win	win	win
on	on	on
trade	trade	trade
.	.	.
We	we	We
don	don	don
t	t	t
win	win	win
on	on	on
economics	econom	economics
.	.	.
We	we	We
don	don	don
t	t	t
win	win	win
against	against	against
ISIS	isi	ISIS
.	.	.
It	it	It
s	s	s
that	that	that
last	last	last
point	point	point
I	i	I
wish	wish	wish
to	to	to
address	address	address
,	,	,
because	becaus	because
Trump	trump	Trump
said	said	said
at	at	at
a	a	a
recent	recent	recent
rally	ralli	rally
Our	our	Our
military	militari	military
can	can	can
t	t	t
beat	beat	beat
ISIS	isi	ISIS
.	.	.
Can	can	Can
you	you	you
imagine	imagin	imagine
the	the	the
great	great	great
General	general	General
Douglas	dougla	Douglas
MacArthur	macarthur	MacArthur
or	or	or
the	the	the
great	great	great
General	general	General
George	georg	George
Patton	patton	Patton
saying	say	saying
we	we	we
can	can	can
t	t	t
beat	beat	beat
ISIS	isi	ISIS
.	.	.
Patton	patton	Patton
would	would	would
rip	rip	rip
your	your	your
heart	heart	heart
out	out	out
if	if	if
you	you	you
ever	ever	ever
said	said	said
that	that	that
.	.	.
We	we	We
can	can	can
t	t	t
beat	beat	beat
right	right	right
?	?	?
Can	can	Can
you	you	you
imagine	imagin	imagine
that	that	that
though	though	though
?	?	?
Can	can	Can
you	you	you
imagine	imagin	imagine
what	what	what
they	they	they
re	re	re
spinning	spin	spinning
right	right	right
now	now	now
.	.	.
They	they	They
re	re	re
watching	watch	watching
.	.	.
They	they	They
re	re	re
spinning	spin	spinning
in	in	in
their	their	their
grave	grave	grave
.	.	.
You	you	You
,	,	,
Donnie	donni	Donnie
Trump	trump	Trump
,	,	,
go	go	go
on	on	on
,	,	,
and	and	and
speak	speak	speak
like	like	like
MacArthur	macarthur	MacArthur
and	and	and
Patton	patton	Patton
talk	talk	talk
to	to	to
you	you	you
.	.	.
You	you	You
sound	sound	sound
like	like	like
you	you	you
ve	ve	ve
assured	assur	assured
them	them	them
you	you	you
can	can	can
win	win	win
here	here	here
,	,	,
and	and	and
you	you	you
ll	ll	ll
do	do	do
them	them	them
proud	proud	proud
.	.	.
Is	is	Is
that	that	that
how	how	how
you	you	you
see	see	see
it	it	it
,	,	,
Donnie	donni	Donnie
?	?	?
You	you	You
re	re	re
ignoring	ignor	ignoring
an	an	an
awful	aw	awful
lot	lot	lot
there	there	there
,	,	,
Donnie	donni	Donnie
.	.	.
Neither	neither	Neither
MacArthur	macarthur	MacArthur
nor	nor	nor
Patton	patton	Patton
behaved	behav	behaved
the	the	the
way	way	way
you	you	you
do	do	do
.	.	.
They	they	They
were	were	were
tacticians	tactician	tactician
,	,	,
not	not	not
juggernauts	juggernaut	juggernaut
who	who	who
rolled	roll	rolled
to	to	to
victory	victori	victory
in	in	in
every	everi	every
single	singl	single
engagement	engag	engagement
.	.	.
They	they	They
knew	knew	knew
when	when	when
to	to	to
steamroll	steamrol	steamroll
,	,	,
and	and	and
when	when	when
to	to	to
pull	pull	pull
back	back	back
and	and	and
regroup	regroup	regroup
.	.	.
In	in	In
your	your	your
crusade	crusad	crusade
against	against	against
anything	anyth	anything
that	that	that
even	even	even
remotely	remot	remotely
looks	look	look
like	like	like
weakness	weak	weakness
,	,	,
you	you	you
ve	ve	ve
taught	taught	taught
your	your	your
dense	dens	dense
and	and	and
idiotic	idiot	idiotic
followers	follow	follower
that	that	that
winning	win	winning
against	against	against
ISIS	isi	ISIS
is	is	is
as	as	a
simple	simpl	simple
as	as	a
a	a	a
football	footbal	football
game	game	game
.	.	.
Simply	simpli	Simply
act	act	act
like	like	like
we	we	we
can	can	can
win	win	win
,	,	,
and	and	and
we	we	we
ll	ll	ll
win	win	win
.	.	.
I	i	I
m	m	m
sure	sure	sure
that	that	that
our	our	our
dear	dear	dear
Mr	mr	Mr
.	.	.
Trump	trump	Trump
does	doe	doe
not	not	not
see	see	see
anything	anyth	anything
wrong	wrong	wrong
with	with	with
talking	talk	talking
this	this	this
way	way	way
.	.	.
After	after	After
all	all	all
,	,	,
nothing	noth	nothing
he	he	he
ever	ever	ever
does	doe	doe
is	is	is
wrong	wrong	wrong
.	.	.
Period	period	Period
.	.	.
End	end	End
of	of	of
.	.	.
However	howev	However
,	,	,
the	the	the
problem	problem	problem
is	is	is
not	not	not
how	how	how
he	he	he
sees	see	see
it	it	it
.	.	.
The	the	The
problem	problem	problem
is	is	is
the	the	the
message	messag	message
he	he	he
s	s	s
putting	put	putting
forth	forth	forth
.	.	.
He	he	He
s	s	s
treating	treat	treating
war	war	war
,	,	,
and	and	and
terrorism	terror	terrorism
,	,	,
like	like	like
they	they	they
re	re	re
football	footbal	football
games	game	game
.	.	.
If	if	If
we	we	we
just	just	just
think	think	think
positively	posit	positively
,	,	,
