Kevin	kevin	Kevin
Matthews	matthew	Matthews
,	,	,
a	a	a
35	35	35
-year-old	-year-old	-year-old
Black	black	Black
man	man	man
from	from	from
Detroit	detroit	Detroit
,	,	,
Michigan	michigan	Michigan
,	,	,
suffered	suffer	suffered
from	from	from
paranoid	paranoid	paranoid
schizophrenia	schizophrenia	schizophrenia
.	.	.

Even	even	Even
so	so	so
,	,	,
Matthews	matthew	Matthews
had	had	had
never	never	never
committed	commit	committed
a	a	a
felony	feloni	felony
offense	offens	offense
in	in	in
his	his	his
life	life	life
.	.	.
On	on	On
December	decemb	December
23	23	23
,	,	,
a	a	a
Dearborn	dearborn	Dearborn
police	polic	police
officer	offic	officer
shot	shot	shot
Matthews	matthew	Matthews
multiple	multipl	multiple
times	time	time
,	,	,
ending	end	ending
his	his	his
life	life	life
.	.	.

Two	two	Two
days	day	day
later	later	later
,	,	,
the	the	the
coroner	coron	coroner
ruled	rule	ruled
his	his	his
death	death	death
a	a	a
homicide	homicid	homicide
.	.	.
Since	sinc	Since
the	the	the
shooting	shoot	shooting
,	,	,
police	polic	police
have	have	have
made	made	made
every	everi	every
attempt	attempt	attempt
to	to	to
make	make	make
it	it	it
appear	appear	appear
that	that	that
Matthews	matthew	Matthews
was	was	wa
a	a	a
hardened	harden	hardened
criminal	crimin	criminal
.	.	.

During	dure	During
an	an	an
interview	interview	interview
with	with	with
the	the	the
press	press	press
,	,	,
Detroit	detroit	Detroit
Police	polic	Police
Chief	chief	Chief
James	jame	James
Craig	craig	Craig
claimed	claim	claimed
that	that	that
Matthews	matthew	Matthews
had	had	had
a	a	a
crime	crime	crime
problem	problem	problem
.	.	.

During	dure	During
an	an	an
interview	interview	interview
with	with	with
WXYZ	wxyz	WXYZ
,	,	,
Police	polic	Police
Chief	chief	Chief
Craig	craig	Craig
also	also	also
called	call	called
him	him	him
a	a	a
chronic	chronic	chronic
problem	problem	problem
in	in	in
this	this	this
area	area	area
.	.	.

In	in	In
case	case	case
we	we	we
need	need	need
more	more	more
proof	proof	proof
that	that	that
cops	cop	cop
believe	believ	believe
they	they	they
have	have	have
a	a	a
right	right	right
to	to	to
act	act	act
as	as	a
judge	judg	judge
,	,	,
jury	juri	jury
and	and	and
executioner	execution	executioner
,	,	,
police	polic	police
have	have	have
repeatedly	repeat	repeatedly
stated	state	stated
that	that	that
Matthews	matthew	Matthews
committed	commit	committed
larceny	larceni	larceny
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
.	.	.

Note	note	Note
that	that	that
the	the	the
words	word	word
accused	accus	accused
of	of	of
larceny	larceni	larceny
or	or	or
suspected	suspect	suspected
of	of	of
larceny	larceni	larceny
aren	aren	aren
t	t	t
used	use	used
in	in	in
association	associ	association
with	with	with
this	this	this
officer	offic	officer
-involved	-involv	-involved
shooting	shoot	shooting
.	.	.

Instead	instead	Instead
,	,	,
with	with	with
their	their	their
words	word	word
,	,	,
Detroit	detroit	Detroit
and	and	and
Dearborn	dearborn	Dearborn
police	polic	police
make	make	make
it	it	it
clear	clear	clear
that	that	that
they	they	they
ve	ve	ve
assumed	assum	assumed
the	the	the
role	role	role
of	of	of
the	the	the
courts	court	court
;	;	;
trying	tri	trying
,	,	,
convicting	convict	convicting
and	and	and
sentencing	sentenc	sentencing
Matthews	matthew	Matthews
all	all	all
on	on	on
their	their	their
own	own	own
,	,	,
without	without	without
the	the	the
aid	aid	aid
of	of	of
a	a	a
bothersome	bothersom	bothersome
justice	justic	justice
system	system	system
.	.	.
Police	polic	Police
have	have	have
not	not	not
provided	provid	provided
any	ani	any
evidence	evid	evidence
that	that	that
a	a	a
larceny	larceni	larceny
took	took	took
place	place	place
,	,	,
or	or	or
that	that	that
Matthews	matthew	Matthews
was	was	wa
implicated	implic	implicated
as	as	a
the	the	the
suspect	suspect	suspect
.	.	.
Police	polic	Police
state	state	state
that	that	that
Matthews	matthew	Matthews
was	was	wa
wanted	want	wanted
on	on	on
a	a	a
misdemeanor	misdemeanor	misdemeanor
probation	probat	probation
violation	violat	violation
,	,	,
and	and	and
that	that	that
the	the	the
officer	offic	officer
recognized	recogn	recognized
him	him	him
from	from	from
the	the	the
earlier	earlier	earlier
larceny	larceni	larceny
.	.	.
Voice	voic	Voice
of	of	of
Detroit	detroit	Detroit
did	did	did
a	a	a
thorough	thorough	thorough
records	record	record
search	search	search
and	and	and
found	found	found
that	that	that
no	no	no
such	such	such
warrant	warrant	warrant
exists	exist	exists
.	.	.
The	the	The
search	search	search
showed	show	showed
that	that	that
the	the	the
35	35	35
-year-old	-year-old	-year-old
man	man	man
had	had	had
one	one	one
misdemeanor	misdemeanor	misdemeanor
conviction	convict	conviction
in	in	in
2013	2013	2013
,	,	,
and	and	and
no	no	no
other	other	other
convictions	convict	conviction
.	.	.
Dearborn	dearborn	Dearborn
police	polic	police
chief	chief	chief
Ronald	ronald	Ronald
Haddad	haddad	Haddad
wants	want	want
the	the	the
public	public	public
to	to	to
know	know	know
that	that	that
he	he	he
stands	stand	stand
by	by	by
the	the	the
officer	offic	officer
who	who	who
shot	shot	shot
Matthews	matthew	Matthews
.	.	.

And	and	And
in	in	in
the	the	the
very	veri	very
same	same	same
sentence	sentenc	sentence
he	he	he
said	said	said
there	there	there
will	will	will
be	be	be
a	a	a
full	full	full
investigation	investig	investigation
into	into	into
the	the	the
shooting	shoot	shooting
.	.	.

I	i	I
stand	stand	stand
behind	behind	behind
the	the	the
officer	offic	officer
,	,	,
and	and	and
we	we	we
re	re	re
going	go	going
to	to	to
have	have	have
a	a	a
full	full	full
investigation	investig	investigation
