On	on	On
Tuesday	tuesday	Tuesday
night	night	night
,	,	,
the	the	the
FBI	fbi	FBI
finally	final	finally
stopped	stop	stopped
treating	treat	treating
the	the	the
Oregon	oregon	Oregon
militants	milit	militant
with	with	with
kid	kid	kid
gloves	glove	glove
and	and	and
arrested	arrest	arrested
several	sever	several
of	of	of
them	them	them
as	as	a
they	they	they
were	were	were
on	on	on
their	their	their
way	way	way
to	to	to
terrorize	terror	terrorize
another	anoth	another
local	local	local
town	town	town
meeting	meet	meeting
.	.	.

One	one	One
of	of	of
the	the	the
militants	milit	militant
,	,	,
the	the	the
ridiculous	ridicul	ridiculous
LaVoy	lavoy	LaVoy
Finicum	finicum	Finicum
aka	aka	aka
Tarp	tarp	Tarp
Man	man	Man
,	,	,
charged	charg	charged
at	at	at
the	the	the
authorities	author	authority
after	after	after
crashing	crash	crashing
his	his	his
truck	truck	truck
and	and	and
was	was	wa
killed	kill	killed
.	.	.

This	this	This
was	was	wa
confirmed	confirm	confirmed
explicitly	explicit	explicitly
by	by	by
two	two	two
of	of	of
the	the	the
militants	milit	militant
who	who	who
were	were	were
at	at	at
the	the	the
scene	scene	scene
.	.	.

This	this	This
will	will	will
,	,	,
in	in	in
no	no	no
way	way	way
,	,	,
stop	stop	stop
right	right	right
wing	wing	wing
extremists	extremist	extremist
from	from	from
lying	lie	lying
about	about	about
it	it	it
.	.	.

They	they	They
finally	final	finally
have	have	have
their	their	their
martyr	martyr	martyr
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
