All	all	All
the	the	the
political	polit	political
buzz	buzz	buzz
right	right	right
now	now	now
is	is	is
whether	whether	whether
or	or	or
not	not	not
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
will	will	will
be	be	be
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
vice	vice	vice
presidential	presidenti	presidential
nominee	nomine	nominee
.	.	.
The	the	The
once	onc	once
neutral	neutral	neutral
Massachusetts	massachusett	Massachusetts
Senator	senat	Senator
has	has	ha
now	now	now
passionately	passion	passionately
endorsed	endors	endorsed
Clinton	clinton	Clinton
to	to	to
be	be	be
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
s	s	s
nominee	nomine	nominee
for	for	for
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
women	women	woman
s	s	s
groups	group	group
are	are	are
ecstatic	ecstat	ecstatic
at	at	at
the	the	the
thought	thought	thought
of	of	of
a	a	a
two	two	two
women	women	woman
ticket	ticket	ticket
.	.	.
But	but	But
what	what	what
s	s	s
more	more	more
significant	signific	significant
isn	isn	isn
t	t	t
that	that	that
a	a	a
Clinton	clinton	Clinton
-Warren	-warren	-Warren
ticket	ticket	ticket
would	would	would
be	be	be
comprised	compris	comprised
of	of	of
two	two	two
women	women	woman
,	,	,
it	it	it
s	s	s
that	that	that
it	it	it
would	would	would
be	be	be
comprised	compris	comprised
of	of	of
two	two	two
former	former	former
Republicans	republican	Republicans
coming	come	coming
together	togeth	together
to	to	to
usher	usher	usher
in	in	in
one	one	one
of	of	of
the	the	the
most	most	most
progressive	progress	progressive
party	parti	party
platforms	platform	platform
this	this	this
country	countri	country
has	has	ha
ever	ever	ever
seen	seen	seen
.	.	.
Clinton	clinton	Clinton
,	,	,
who	who	who
was	was	wa
a	a	a
Goldwater	goldwat	Goldwater
girl	girl	girl
and	and	and
a	a	a
Republican	republican	Republican
until	until	until
1968	1968	1968
,	,	,
and	and	and
Warren	warren	Warren
,	,	,
a	a	a
Republican	republican	Republican
until	until	until
1996	1996	1996
,	,	,
both	both	both
had	had	had
their	their	their
reasons	reason	reason
for	for	for
leaving	leav	leaving
the	the	the
GOP	gop	GOP
and	and	and
joining	join	joining
the	the	the
progressive	progress	progressive
movement	movement	movement
.	.	.
Clinton	clinton	Clinton
let	let	let
over	over	over
her	her	her
opposition	opposit	opposition
to	to	to
the	the	the
