Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
decided	decid	decided
to	to	to
reach	reach	reach
out	out	out
to	to	to
black	black	black
voters	voter	voter
by	by	by
traveling	travel	traveling
to	to	to
an	an	an
almost	almost	almost
all	all	all
-white	-white	-white
town	town	town
to	to	to
tell	tell	tell
African	african	African
-Americans	-american	-Americans
that	that	that
they	they	they
are	are	are
uneducated	uneduc	uneducated
,	,	,
jobless	jobless	jobless
and	and	and
poor	poor	poor
.	.	.

Donald	donald	Donald
used	use	used
inaccurate	inaccur	inaccurate
statistics	statist	statistic
,	,	,
too	too	too
.	.	.

That	that	That
was	was	wa
his	his	his
minority	minor	minority
outreach	outreach	outreach
effort	effort	effort
to	to	to
black	black	black
voters	voter	voter
.	.	.
On	on	On
Sunday	sunday	Sunday
morning	morn	morning
,	,	,
Trump	trump	Trump
campaign	campaign	campaign
manager	manag	manager
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
attempted	attempt	attempted
to	to	to
defend	defend	defend
The	the	The
Donald	donald	Donald
s	s	s
remarks	remark	remark
.	.	.
Mediaite	mediait	Mediaite
reports	report	report
that	that	that
host	host	host
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
of	of	of
ABC	abc	ABC
s	s	s
This	this	This
Week	week	Week
told	told	told
Conway	conway	Conway
that	that	that
many	mani	many
people	peopl	people
found	found	found
Trump	trump	Trump
s	s	s
comments	comment	comment
offensive	offens	offensive
.	.	.

But	but	But
many	mani	many
in	in	in
the	the	the
African	african	African
American	american	American
community	communiti	community
saw	saw	saw
that	that	that
as	as	a
insulting	insult	insulting
because	becaus	because
they	they	they
say	say	say
most	most	most
African	african	African
Americans	american	Americans
don	don	don
t	t	t
live	live	live
in	in	in
poverty	poverti	poverty
and	and	and
that	that	that
Mr	mr	Mr
.	.	.
Trump	trump	Trump
was	was	wa
making	make	making
those	those	those
comments	comment	comment
in	in	in
communities	communiti	community
that	that	that
are	are	are
more	more	more
than	than	than
90	90	90
percent	percent	percent
white	white	white
,	,	,
Stephanopoulos	stephanopoulo	Stephanopoulos
remarked	remark	remarked
.	.	.
But	but	But
Conway	conway	Conway
explained	explain	explained
that	that	that
she	she	she
lives	live	life
in	in	in
a	a	a
white	white	white
community	communiti	community
and	and	and
said	said	said
she	she	she
was	was	wa
very	veri	very
moved	move	moved
by	by	by
the	the	the
remarks	remark	remark
.	.	.

Those	those	Those
comments	comment	comment
are	are	are
for	for	for
all	all	all
Americans	american	Americans
.	.	.

And	and	And
I	i	I
live	live	live
in	in	in
a	a	a
white	white	white
community	communiti	community
.	.	.

I	i	I
m	m	m
white	white	white
.	.	.

I	i	I
was	was	wa
very	veri	very
moved	move	moved
by	by	by
his	his	his
comment	comment	comment
,	,	,
she	she	she
said	said	said
.	.	.

In	in	In
other	other	other
words	word	word
,	,	,
he	he	he
is	is	is
trying	tri	trying
to	to	to
tell	tell	tell
Americans	american	Americans
that	that	that
we	we	we
can	can	can
do	do	do
better	better	better
.	.	.

And	and	And
the	the	the
thing	thing	thing
that	that	that
he	he	he
said	said	said
that	that	that
I	i	I
think	think	think
got	got	got
a	a	a
great	great	great
deal	deal	deal
of	of	of
resonance	reson	resonance
is	is	is
that	that	that
maybe	mayb	maybe
Hillary	hillari	Hillary
Clinton	clinton	Clinton
looks	look	look
at	at	at
you	you	you
as	as	a
voters	voter	voter
as	as	a
your	your	your
takes	take	take
you	you	you
for	for	for
granted	grant	granted
.	.	.

I	i	I
look	look	look
at	at	at
you	you	you
as	as	a
people	peopl	people
.	.	.

Once	onc	Once
again	again	again
,	,	,
we	we	we
see	see	see
that	that	that
others	other	others
within	within	within
the	the	the
Trump	trump	Trump
camp	camp	camp
have	have	have
to	to	to
clarify	clarifi	clarify
their	their	their
candidate	candid	candidate
s	s	s
controversial	controversi	controversial
remarks	remark	remark
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
need	need	need
a	a	a
Donald	donald	Donald
Translator	translat	Translator
if	if	if
this	this	this
babbling	babbl	babbling
man	man	man
-baby	-babi	-baby
gets	get	get
the	the	the
keys	key	key
to	to	to
the	the	the
White	white	White
House	hous	House
.	.	.

And	and	And
you	you	you
again	again	again
,	,	,
George	georg	George
,	,	,
if	if	if
you	you	you
think	think	think
58	58	58
percent	percent	percent
of	of	of
unemployment	unemploy	unemployment
in	in	in
the	the	the
African	african	African
American	american	American
youth	youth	youth
community	communiti	community
is	is	is
a	a	a
good	good	good
idea	idea	idea
,	,	,
she	she	she
continued	continu	continued
,	,	,
