Reality	realiti	Reality
show	show	show
star	star	star
turned	turn	turned
president	presid	president
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
earned	earn	earned
himself	himself	himself
Lie	lie	Lie
of	of	of
the	the	the
Year	year	Year
by	by	by
PolitiFact	politifact	PolitiFact
and	and	and
he	he	he
s	s	s
broken	broken	broken
almost	almost	almost
every	everi	every
campaign	campaign	campaign
promise	promis	promise
before	befor	before
being	be	being
sworn	sworn	sworn
in	in	in
.	.	.

The	the	The
swamp	swamp	swamp
is	is	is
being	be	being
filled	fill	filled
with	with	with
terrifying	terrifi	terrifying
creatures	creatur	creature
,	,	,
Mexico	mexico	Mexico
is	is	is
not	not	not
paying	pay	paying
for	for	for
the	the	the
wall	wall	wall
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
won	won	won
t	t	t
be	be	be
locked	lock	locked
up	up	up
and	and	and
Obamacare	obamacar	Obamacare
won	won	won
t	t	t
be	be	be
fully	fulli	fully
repealed	repeal	repealed
.	.	.

And	and	And
that	that	that
s	s	s
just	just	just
the	the	the
short	short	short
list	list	list
.	.	.

Still	still	Still
yet	yet	yet
,	,	,
incoming	incom	incoming
White	white	White
House	hous	House
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Reince	reinc	Reince
Priebus	priebus	Priebus
claims	claim	claim
that	that	that
every	everi	every
single	singl	single
thing	thing	thing
Trump	trump	Trump
has	has	ha
done	done	done
has	has	ha
been	been	been
factual	factual	factual
and	and	and
he	he	he
further	further	further
said	said	said
he	he	he
is	is	is
supported	support	supported
by	by	by
80	80	80
percent	percent	percent
of	of	of
Americans	american	Americans
.	.	.

By	by	By
the	the	the
way	way	way
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
2	2	2
.	.	.
86	86	86
million	million	million
.	.	.
Trump	trump	Trump
responded	respond	responded
on	on	on
Twitter	twitter	Twitter
Saturday	saturday	Saturday
to	to	to
China	china	China
s	s	s
seizure	seizur	seizure
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
naval	naval	naval
drone	drone	drone
by	by	by
tweeting	tweet	tweeting
,	,	,
W	w	W
e	e	e
don	don	don
t	t	t
want	want	want
the	the	the
drone	drone	drone
they	they	they
stole	stole	stole
back	back	back
.	.	.
-	-	-
let	let	let
them	them	them
keep	keep	keep
it	it	it
!	!	!

Fox	fox	Fox
News	news	News
host	host	host
Chris	chris	Chris
Wallace	wallac	Wallace
called	call	called
Priebus	priebus	Priebus
out	out	out
over	over	over
Trump	trump	Trump
s	s	s
tweet	tweet	tweet
.	.	.

To	to	To
defend	defend	defend
Trump	trump	Trump
,	,	,
Priebus	priebus	Priebus
said	said	said
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
all	all	all
that	that	that
provocative	provoc	provocative
.	.	.

You	you	You
mean	mean	mean
the	the	the
One	one	One
China	china	China
policy	polici	policy
is	is	is
up	up	up
for	for	for
grabs	grab	grab
?	?	?

Wallace	wallac	Wallace
asked	ask	asked
.	.	.

We	we	We
re	re	re
not	not	not
suggesting	suggest	suggesting
we	we	we
re	re	re
revisiting	revisit	revisiting
One	one	One
China	china	China
policy	polici	policy
right	right	right
now	now	now
,	,	,
Priebus	priebus	Priebus
said	said	said
with	with	with
a	a	a
straight	straight	straight
face	face	face
.	.	.

And	and	And
he	he	he
s	s	s
not	not	not
president	presid	president
right	right	right
now	now	now
and	and	and
he	he	he
s	s	s
respectful	respect	respectful
to	to	to
the	the	the
current	current	current
president	presid	president
.	.	.

The	the	The
Chinese	chines	Chinese
ripped	rip	ripped
a	a	a
drone	drone	drone
out	out	out
of	of	of
the	the	the
water	water	water
,	,	,
Priebus	priebus	Priebus
continued	continu	continued
.	.	.

President	presid	President
-elect	-elect	-elect
said	said	said
this	this	this
is	is	is
an	an	an
unprecedented	unpreced	unprecedented
act	act	act
,	,	,
totally	total	totally
inappropriate	inappropri	inappropriate
.	.	.

He	he	He
didn	didn	didn
t	t	t
quite	quit	quite
use	use	use
those	those	those
words	word	word
,	,	,
but	but	but
that	that	that
s	s	s
essentially	essenti	essentially
what	what	what
he	he	he
said	said	said
in	in	in
a	a	a
tweet	tweet	tweet
.	.	.

Actually	actual	Actually
,	,	,
Trump	trump	Trump
said	said	said
it	it	it
was	was	wa
unpresidented	unpresid	unpresidented
and	and	and
he	he	he
was	was	wa
mocked	mock	mocked
for	for	for
that	that	that
.	.	.
Priebus	priebus	Priebus
said	said	said
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
should	should	should
not	not	not
want	want	want
that	that	that
drone	drone	drone
back	back	back
after	after	after
it	it	it
was	was	wa
handled	handl	handled
by	by	by
the	the	the
Chinese	chines	Chinese
government	govern	government
.	.	.

I	i	I
think	think	think
every	everi	every
single	singl	single
thing	thing	thing
he	he	he
s	s	s
done	done	done
has	has	ha
been	been	been
factual	factual	factual
and	and	and
has	has	ha
been	been	been
in	in	in
line	line	line
with	with	with
where	where	where
80	80	80
percent	percent	percent
of	of	of
the	the	the
American	american	American
people	peopl	people
are	are	are
,	,	,
Priebus	priebus	Priebus
said	said	said
.	.	.
Watch	watch	Watch
Reince	reinc	Reince
,	,	,
lookie	looki	lookie
here	here	here
With	with	With
Trump	trump	Trump
,	,	,
consistency	consist	consistency
is	is	is
king	king	king
.	.	.

pic.twitter.com/4RC6nSrA3L	pic.twitter.com/4rc6nsra3l	pic.twitter.com/4RC6nSrA3L
Kaivan	kaivan	Kaivan
Shroff	shroff	Shroff
