Before	befor	Before
we	we	we
get	get	get
too	too	too
far	far	far
into	into	into
this	this	this
story	stori	story
,	,	,
it	it	it
needs	need	need
to	to	to
be	be	be
pointed	point	pointed
out	out	out
that	that	that
the	the	the
18	18	18
year	year	year
old	old	old
teen	teen	teen
who	who	who
was	was	wa
just	just	just
sentenced	sentenc	sentenced
by	by	by
a	a	a
judge	judg	judge
for	for	for
having	have	having
a	a	a
homemade	homemad	homemade
Nazi	nazi	Nazi
tattoo	tattoo	tattoo
,	,	,
was	was	wa
only	onli	only
15	15	15
years	year	year
old	old	old
at	at	at
the	the	the
time	time	time
,	,	,
and	and	and
has	has	ha
since	sinc	since
admitted	admit	admitted
he	he	he
made	made	made
a	a	a
mistake	mistak	mistake
.	.	.

The	the	The
Afghan	afghan	Afghan
rapefugee	rapefuge	rapefugee
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
was	was	wa
17	17	17
years	year	year
old	old	old
when	when	when
he	he	he
brutally	brutal	brutally
raped	rape	raped
a	a	a
72	72	72
year	year	year
old	old	old
woman	woman	woman
.	.	.

So	so	So
basically	basic	basically
,	,	,
we	we	we
re	re	re
comparing	compar	comparing
a	a	a
15	15	15
year	year	year
old	old	old
who	who	who
was	was	wa
utilizing	util	utilizing
his	his	his
freedom	freedom	freedom
of	of	of
expression	express	expression
whether	whether	whether
we	we	we
agree	agre	agree
with	with	with
him	him	him
or	or	or
not	not	not
is	is	is
irrelevant	irrelev	irrelevant
with	with	with
a	a	a
violent	violent	violent
17	17	17
year	year	year
old	old	old
rapist	rapist	rapist
.	.	.
An	an	An
18	18	18
-year-old	-year-old	-year-old
Afghan	afghan	Afghan
refugee	refuge	refugee
was	was	wa
sentenced	sentenc	sentenced
to	to	to
20	20	20
months	month	month
in	in	in
prison	prison	prison
for	for	for
the	the	the
anal	anal	anal
rape	rape	rape
of	of	of
a	a	a
72	72	72
-year-old	-year-old	-year-old
woman	woman	woman
.	.	.

Now	now	Now
the	the	the
Austrian	austrian	Austrian
justice	justic	justice
system	system	system
has	has	ha
once	onc	once
again	again	again
shown	shown	shown
us	us	u
its	it	it
quality	qualiti	quality
.	.	.

A	a	A
20	20	20
-year-old	-year-old	-year-old
,	,	,
who	who	who
was	was	wa
15	15	15
at	at	at
the	the	the
time	time	time
,	,	,
the	the	the
offence	offenc	offence
was	was	wa
committed	commit	committed
,	,	,
has	has	ha
just	just	just
been	been	been
sentenced	sentenc	sentenced
to	to	to
19	19	19
months	month	month
in	in	in
prison	prison	prison
for	for	for
giving	give	giving
a	a	a
home	home	home
-made	-made	-made
swastika	swastika	swastika
tattoo	tattoo	tattoo
.	.	.
Three	three	Three
young	young	young
people	peopl	people
have	have	have
been	been	been
found	found	found
guilty	guilti	guilty
of	of	of
engaging	engag	engaging
in	in	in
Nazi	nazi	Nazi
activities	activ	activity
after	after	after
they	they	they
drew	drew	drew
Nazi	nazi	Nazi
tattoos	tattoo	tattoo
and	and	and
posted	post	posted
photos	photo	photo
of	of	of
them	them	them
online	onlin	online
.	.	.
A	a	A
20	20	20
-year-old	-year-old	-year-old
,	,	,
who	who	who
was	was	wa
found	found	found
to	to	to
have	have	have
a	a	a
German	german	German
war	war	war
flag	flag	flag
used	use	used
by	by	by
the	the	the
Nazis	nazi	Nazis
and	and	and
portraits	portrait	portrait
of	of	of
Nazi	nazi	Nazi
Socialists	socialist	Socialists
in	in	in
his	his	his
room	room	room
,	,	,
was	was	wa
sentenced	sentenc	sentenced
by	by	by
a	a	a
youth	youth	youth
court	court	court
in	in	in
Salzburg	salzburg	Salzburg
to	to	to
19	19	19
months	month	month
in	in	in
prison	prison	prison
,	,	,
three	three	three
months	month	month
unconditional	uncondit	unconditional
.	.	.
He	he	He
and	and	and
a	a	a
19	19	19
-year-old	-year-old	-year-old
accomplice	accomplic	accomplice
were	were	were
found	found	found
guilty	guilti	guilty
of	of	of
using	use	using
a	a	a
pin	pin	pin
and	and	and
eyeliner	eyelin	eyeliner
to	to	to
tattoo	tattoo	tattoo
a	a	a
hand	hand	hand
-sized	-size	-sized
swastika	swastika	swastika
onto	onto	onto
someone	someon	someone
s	s	s
chest	chest	chest
and	and	and
then	then	then
posting	post	posting
the	the	the
photos	photo	photo
online	onlin	online
.	.	.
In	in	In
addition	addit	addition
to	to	to
the	the	the
tattooing	tattoo	tattooing
,	,	,
the	the	the
20	20	20
-year-old	-year-old	-year-old
was	was	wa
also	also	also
accused	accus	accused
of	of	of
shouting	shout	shouting
Nazi	nazi	Nazi
slogans	slogan	slogan
out	out	out
of	of	of
his	his	his
window	window	window
and	and	and
singing	sing	singing
the	the	the
song	song	song
Polaken	polaken	Polaken
-Tango	-tango	-Tango
by	by	by
the	the	the
banned	ban	banned
neo	neo	neo
-Nazi	-nazi	-Nazi
rock	rock	rock
group	group	group
Landser	landser	Landser
in	in	in
front	front	front
of	of	of
his	his	his
brother	brother	brother
and	and	and
his	his	his
brother	brother	brother
s	s	s
girlfriend	girlfriend	girlfriend
.	.	.
He	he	He
was	was	wa
arrested	arrest	arrested
after	after	after
his	his	his
brother	brother	brother
called	call	called
the	the	the
police	polic	police
,	,	,
who	who	who
found	found	found
him	him	him
in	in	in
his	his	his
room	room	room
wrapped	wrap	wrapped
in	in	in
the	the	the
war	war	war
flag	flag	flag
and	and	and
surrounded	surround	surrounded
by	by	by
photos	photo	photo
of	of	of
prominent	promin	prominent
Nazis	nazi	Nazis
.	.	.
He	he	He
told	told	told
the	the	the
court	court	court
that	that	that
he	he	he
regretted	regret	regretted
his	his	his
actions	action	action
,	,	,
which	which	which
took	took	took
place	place	place
in	in	in
August	august	August
2011	2011	2011
when	when	when
he	he	he
was	was	wa
15	15	15
-years-old	-years-old	-years-old
,	,	,
and	and	and
that	that	that
he	he	he
had	had	had
now	now	now
changed	chang	changed
.	.	.
Pleading	plead	Pleading
guilty	guilti	guilty
,	,	,
he	he	he
said	said	said
I	i	I
now	now	now
know	know	know
that	that	that
this	this	this
is	is	is
nonsense	nonsens	nonsense
.	.	.

He	he	He
was	was	wa
charged	charg	charged
separately	separ	separately
for	for	for
his	his	his
Facebook	facebook	Facebook
account	account	account
,	,	,
where	where	where
he	he	he
also	also	also
posted	post	posted
pictures	pictur	picture
of	of	of
himself	himself	himself
making	make	making
Nazi	nazi	Nazi
salutes	salut	salute
,	,	,
which	which	which
he	he	he
told	told	told
judge	judg	judge
Bettina	bettina	Bettina
Maxones	maxon	Maxones
-Kurkowski	-kurkowski	-Kurkowski
he	he	he
had	had	had
done	done	done
to	to	to
show	show	show
others	other	others
that	that	that
he	he	he
belongs	belong	belongs
here	here	here
.	.	.

Via	via	Via
The	the	The
LocalOn	localon	LocalOn
Wednesday	wednesday	Wednesday
at	at	at
the	the	the
State	state	State
Court	court	Court
in	in	in
Vienna	vienna	Vienna
s	s	s
Neustadt	neustadt	Neustadt
an	an	an
18	18	18
-year-old	-year-old	-year-old
Afghan	afghan	Afghan
was	was	wa
sentenced	sentenc	sentenced
to	to	to
20	20	20
months	month	month
in	in	in
prison	prison	prison
without	without	without
parole	parol	parole
for	for	for
rape	rape	rape
.	.	.

He	he	He
also	also	also
has	has	ha
to	to	to
pay	pay	pay
5000	5000	5000
euros	euro	euro
compensation	compens	compensation
to	to	to
the	the	the
72	72	72
-year-old	-year-old	-year-old
woman	woman	woman
,	,	,
who	who	who
has	has	ha
been	been	been
very	veri	very
marked	mark	marked
by	by	by
the	the	the
attack	attack	attack
.	.	.
The	the	The
incident	incid	incident
on	on	on
1	1	1
September	septemb	September
last	last	last
year	year	year
created	creat	created
a	a	a
sensation	sensat	sensation
the	the	the
penioner	penion	penioner
was	was	wa
walking	walk	walking
her	her	her
old	old	old
dog	dog	dog
in	in	in
the	the	the
Schwechat	schwechat	Schwechat
meadow	meadow	meadow
near	near	near
Traiskirchen	traiskirchen	Traiskirchen
in	in	in
Lower	lower	Lower
Austria	austria	Austria
,	,	,
when	when	when
she	she	she
encountered	encount	encountered
two	two	two
young	young	young
asylum	asylum	asylum
seekers	seeker	seeker
swimming	swim	swimming
in	in	in
the	the	the
river	river	river
.	.	.

According	accord	According
to	to	to
an	an	an
acquaintance	acquaint	acquaintance
of	of	of
the	the	the
victim	victim	victim
in	in	in
the	the	the
witness	wit	witness
stand	stand	stand
,	,	,
the	the	the
boys	boy	boy
were	were	were
also	also	also
very	veri	very
nice	nice	nice
at	at	at
first	first	first
,	,	,
they	they	they
even	even	even
helped	help	helped
the	the	the
woman	woman	woman
over	over	over
an	an	an
embankment	embank	embankment
.	.	.

But	but	But
then	then	then
one	one	one
them	them	them
fell	fell	fell
upon	upon	upon
her	her	her
from	from	from
behind	behind	behind
.	.	.

However	howev	However
,	,	,
DNA	dna	DNA
traces	trace	trace
confirmed	confirm	confirmed
that	that	that
the	the	the
pensioner	pension	pensioner
was	was	wa
anally	anal	anally
raped	rape	raped
.	.	.

The	the	The
then	then	then
17	17	17
-year-old	-year-old	-year-old
Afghan	afghan	Afghan
was	was	wa
quickly	quick	quickly
caught	caught	caught
.	.	.

He	he	He
does	doe	doe
not	not	not
dispute	disput	dispute
the	the	the
crime	crime	crime
,	,	,
but	but	but
says	say	say
he	he	he
was	was	wa
drunk	drunk	drunk
.	.	.

His	his	His
friend	friend	friend
says	say	say
he	he	he
wasn	wasn	wasn
t	t	t
aware	awar	aware
of	of	of
the	the	the
rape	rape	rape
.	.	.
Her	her	Her
daughter	daughter	daughter
Sylvia	sylvia	Sylvia
a	a	a
committed	commit	committed
refugee	refuge	refugee
helper	helper	helper
believes	believ	belief
and	and	and
hopes	hope	hope
that	that	that
her	her	her
mother	mother	mother
was	was	wa
unconscious	unconsci	unconscious
during	dure	during
the	the	the
crime	crime	crime
.	.	.

What	what	What
does	doe	doe
Christine	christin	Christine
F	f	F
.	.	.

feel	feel	feel
for	for	for
her	her	her
tormentor	tormentor	tormentor
?	?	?

Despite	despit	Despite
all	all	all
of	of	of
the	the	the
torment	torment	torment
,	,	,
she	she	she
even	even	even
feels	feel	feel
some	some	some
sympathy	sympathi	sympathy
.	.	.

