Token	Stem	Lemma
Clinton	clinton	Clinton
just	just	just
left	left	left
Apple	appl	Apple
Seeds	seed	Seeds
kids	kid	kid
center	center	center
in	in	in
Flatiron	flatiron	Flatiron
Feeling	feel	Feeling
good	good	good
about	about	about
debate	debat	debate
Getting	get	Getting
ready	readi	ready
getting	get	getting
ready	readi	ready
Clinton	clinton	Clinton
just	just	just
left	left	left
Apple	appl	Apple
Seeds	seed	Seeds
kids	kid	kid
center	center	center
in	in	in
Flatiron	flatiron	Flatiron
Feeling	feel	Feeling
good	good	good
about	about	about
debate	debat	debate
Getting	get	Getting
ready	readi	ready
getting	get	getting
ready	readi	ready
pic.twitter.com/mXxBbMiVcu	pic.twitter.com/mxxbbmivcu	pic.twitter.com/mXxBbMiVcu
Liz	liz	Liz
Kreutz	kreutz	Kreutz
@ABCLiz	@abcliz	@ABCLiz
September	septemb	September
25	25	25
2016	2016	2016
