Donald	donald	Donald
Trump	trump	Trump
s	s	s
financials	financi	financials
and	and	and
business	busi	business
ventures	ventur	venture
are	are	are
astronomically	astronom	astronomically
sketchier	sketchier	sketchier
than	than	than
Mitt	mitt	Mitt
Romney	romney	Romney
s	s	s
.	.	.

He	he	He
refuses	refus	refuse
to	to	to
release	releas	release
his	his	his
tax	tax	tax
returns	return	return
,	,	,
his	his	his
name	name	name
appears	appear	appears
in	in	in
the	the	the
Panama	panama	Panama
Papers	paper	Papers
thousands	thousand	thousand
of	of	of
times	time	time
,	,	,
and	and	and
now	now	now
an	an	an
exclusive	exclus	exclusive
report	report	report
from	from	from
USA	usa	USA
Today	today	Today
shows	show	show
Trump	trump	Trump
and	and	and
his	his	his
companies	compani	company
are	are	are
linked	link	linked
to	to	to
over	over	over
100	100	100
lawsuits	lawsuit	lawsuit
,	,	,
tax	tax	tax
disputes	disput	dispute
and	and	and
other	other	other
legal	legal	legal
limbos	limbo	limbo
.	.	.
An	an	An
analyst	analyst	analyst
from	from	from
pored	pore	pored
over	over	over
thousands	thousand	thousand
of	of	of
documents	document	document
and	and	and
concluded	conclud	concluded
,	,	,
in	in	in
summary	summari	summary
USA	usa	USA
TODAY	today	TODAY
s	s	s
examination	examin	examination
of	of	of
Trump	trump	Trump
s	s	s
track	track	track
record	record	record
as	as	a
a	a	a
business	busi	business
taxpayer	taxpay	taxpayer
found	found	found
not	not	not
just	just	just
court	court	court
actions	action	action
,	,	,
but	but	but
dozens	dozen	dozen
of	of	of
additional	addit	additional
tax	tax	tax
disputes	disput	dispute
with	with	with
local	local	local
authorities	author	authority
that	that	that
didn	didn	didn
t	t	t
reach	reach	reach
the	the	the
courthouse	courthous	courthouse
in	in	in
states	state	state
including	includ	including
New	new	New
York	york	York
,	,	,
Nevada	nevada	Nevada
,	,	,
Florida	florida	Florida
and	and	and
New	new	New
Jersey	jersey	Jersey
.	.	.

In	in	In
some	some	some
cases	case	case
,	,	,
Trump	trump	Trump
s	s	s
businesses	busi	business
have	have	have
