Though	though	Though
he	he	he
is	is	is
facing	face	facing
down	down	down
six	six	six
intelligence	intellig	intelligence
agencies	agenc	agency
investigations	investig	investigation
into	into	into
alleged	alleg	alleged
illegal	illeg	illegal
payments	payment	payment
Trump	trump	Trump
received	receiv	received
from	from	from
the	the	the
Kremlin	kremlin	Kremlin
to	to	to
fund	fund	fund
The	the	The
Donald	donald	Donald
s	s	s
efforts	effort	effort
to	to	to
become	becom	become
President	presid	President
by	by	by
any	ani	any
means	mean	mean
necessary	necessari	necessary
,	,	,
Friday	friday	Friday
marks	mark	mark
the	the	the
day	day	day
that	that	that
he	he	he
becomes	becom	becomes
President	presid	President
and	and	and
if	if	if
you	you	you
thought	thought	thought
assuming	assum	assuming
the	the	the
most	most	most
powerful	power	powerful
office	offic	office
in	in	in
the	the	the
world	world	world
would	would	would
stop	stop	stop
Trump	trump	Trump
from	from	from
tweeting	tweet	tweeting
like	like	like
an	an	an
angst	angst	angst
-plagued	-plagu	-plagued
middle	middl	middle
schooler	schooler	schooler
,	,	,
you	you	you
were	were	were
sorely	sore	sorely
mistaken	mistaken	mistaken
.	.	.
On	on	On
Thursday	thursday	Thursday
,	,	,
Trump	trump	Trump
hopped	hop	hopped
on	on	on
Twitter	twitter	Twitter
to	to	to
announce	announc	announce
that	that	that
he	he	he
s	s	s
headed	head	headed
to	to	to
Washington	washington	Washington
D	d	D
.	.	.
C	c	C
.	.	.
and	and	and
,	,	,
of	of	of
course	cours	course
,	,	,
to	to	to
quote	quot	quote
right	right	right
-wing	-wing	-wing
icon	icon	icon
Franklin	franklin	Franklin
Graham	graham	Graham
s	s	s
idiotic	idiot	idiotic
claim	claim	claim
that	that	that
someone	someon	someone
who	who	who
isn	isn	isn
t	t	t
Trump	trump	Trump
hint	hint	hint
Obama	obama	Obama
being	be	being
the	the	the
guy	guy	guy
who	who	who
divided	divid	divided
the	the	the
country	countri	country
rather	rather	rather
than	than	than
the	the	the
dude	dude	dude
who	who	who
called	call	called
Mexicans	mexican	Mexicans
rapists	rapist	rapist
,	,	,
wants	want	want
to	to	to
ban	ban	ban
Muslims	muslim	Muslims
from	from	from
entering	enter	entering
the	the	the
country	countri	country
,	,	,
and	and	and
who	who	who
offered	offer	offered
to	to	to
pay	pay	pay
legal	legal	legal
fees	fee	fee
if	if	if
his	his	his
supporters	support	supporter
beat	beat	beat
up	up	up
black	black	black
people	peopl	people
at	at	at
his	his	his
rallies	ralli	rally
.	.	.

It	it	It
wasn	wasn	wasn
t	t	t
Donald	donald	Donald
Trump	trump	Trump
that	that	that
divided	divid	divided
this	this	this
country	countri	country
,	,	,
this	this	this
country	countri	country
has	has	ha
been	been	been
divided	divid	divided
for	for	for
a	a	a
long	long	long
time	time	time
!	!	!
,	,	,
Stated	state	Stated
today	today	today
by	by	by
Reverend	reverend	Reverend
Franklin	franklin	Franklin
Graham	graham	Graham
,	,	,
Trump	trump	Trump
tweeted	tweet	tweeted
as	as	a
part	part	part
of	of	of
his	his	his
daily	daili	daily
ritual	ritual	ritual
.	.	.

Getting	get	Getting
ready	readi	ready
to	to	to
leave	leav	leave
for	for	for
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
The	the	The
journey	journey	journey
begins	begin	begin
and	and	and
I	i	I
will	will	will
be	be	be
working	work	working
and	and	and
fighting	fight	fighting
very	veri	very
hard	hard	hard
to	to	to
make	make	make
it	it	it
a	a	a
great	great	great
journey	journey	journey
for	for	for
the	the	the
American	american	American
people	peopl	people
.	.	.

I	i	I
have	have	have
no	no	no
doubt	doubt	doubt
that	that	that
we	we	we
will	will	will
,	,	,
together	togeth	together
,	,	,
MAKE	make	MAKE
AMERICA	america	AMERICA
GREAT	great	GREAT
AGAIN	again	AGAIN
!	!	!

It	it	It
wasn't	wasn't	wasn't
Donald	donald	Donald
Trump	trump	Trump
that	that	that
divided	divid	divided
this	this	this
country	countri	country
,	,	,
this	this	this
country	countri	country
has	has	ha
been	been	been
divided	divid	divided
for	for	for
a	a	a
long	long	long
time	time	time
!	!	!
Stated	state	Stated
today	today	today
by	by	by
Reverend	reverend	Reverend
Franklin	franklin	Franklin
Graham	graham	Graham
.	.	.

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
19	19	19
,	,	,
2017Getting	2017get	2017Getting
ready	readi	ready
to	to	to
leave	leav	leave
for	for	for
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
The	the	The
journey	journey	journey
begins	begin	begin
and	and	and
I	i	I
will	will	will
be	be	be
working	work	working
and	and	and
fighting	fight	fighting
very	veri	very
hard	hard	hard
to	to	to
make	make	make
it	it	it
a	a	a
great	great	great
journey	journey	journey
for	for	for
.	.	.
.	.	.

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
19	19	19
,	,	,
2017the	2017the	2017the
American	american	American
people	peopl	people
.	.	.

I	i	I
have	have	have
no	no	no
doubt	doubt	doubt
that	that	that
we	we	we
will	will	will
,	,	,
together	togeth	together
,	,	,
MAKE	make	MAKE
AMERICA	america	AMERICA
GREAT	great	GREAT
AGAIN	again	AGAIN
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
19	19	19
,	,	,
2017Naturally	2017natur	2017Naturally
,	,	,
the	the	the
internet	internet	internet
swooped	swoop	swooped
in	in	in
to	to	to
remind	remind	remind
him	him	him
how	how	how
very	veri	very
wrong	wrong	wrong
Mr	mr	Mr
.	.	.
Graham	graham	Graham
is	is	is
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Going	go	Going
from	from	from
Barack	barack	Barack
Obama	obama	Obama
to	to	to
Donald	donald	Donald
Trump	trump	Trump
is	is	is
like	like	like
replacing	replac	replacing
Ramsay	ramsay	Ramsay
s	s	s
fettuccine	fettuccin	fettuccine
bolognese	bolognes	bolognese
with	with	with
a	a	a
dented	dent	dented
can	can	can
of	of	of
SpaghettiOs	spaghettio	SpaghettiOs
.	.	.
Tommy	tommi	Tommy
Campbell	campbel	Campbell
@MrTommyCampbell	@mrtommycampbel	@MrTommyCampbell
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
yeah	yeah	yeah
,	,	,
you	you	you
didn't	didn't	didn't
divide	divid	divide
the	the	the
country	countri	country
by	by	by
demanding	demand	demanding
anyone's	anyon	anyone's
birth	birth	birth
certificate	certif	certificate
years	year	year
ago	ago	ago
?	?	?

Roland	roland	Roland
Scahill	scahil	Scahill
@rolandscahill	@rolandscahil	@rolandscahill
January	januari	January
19	19	19
