When	when	When
running	run	running
for	for	for
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
it	it	it
s	s	s
important	import	important
to	to	to
remember	rememb	remember
that	that	that
you	you	you
can	can	can
t	t	t
get	get	get
anything	anyth	anything
you	you	you
want	want	want
to	to	to
get	get	get
done	done	done
accomplished	accomplish	accomplished
alone	alon	alone
.	.	.
Having	have	Having
great	great	great
ideas	idea	idea
means	mean	mean
nothing	noth	nothing
if	if	if
you	you	you
don	don	don
t	t	t
have	have	have
a	a	a
Congress	congress	Congress
to	to	to
back	back	back
you	you	you
up	up	up
.	.	.
That	that	That
s	s	s
why	whi	why
it	it	it
s	s	s
so	so	so
incredibly	incred	incredibly
important	import	important
to	to	to
make	make	make
sure	sure	sure
that	that	that
we	we	we
not	not	not
only	onli	only
get	get	get
a	a	a
Democrat	democrat	Democrat
in	in	in
the	the	the
White	white	White
House	hous	House
,	,	,
but	but	but
also	also	also
turn	turn	turn
the	the	the
Senate	senat	Senate
and	and	and
House	hous	House
of	of	of
Representatives	repres	Representatives
blue	blue	blue
.	.	.
With	with	With
that	that	that
in	in	in
mind	mind	mind
,	,	,
there	there	there
is	is	is
really	realli	really
only	onli	only
one	one	one
candidate	candid	candidate
running	run	running
for	for	for
president	presid	president
on	on	on
the	the	the
Democratic	democrat	Democratic
ticket	ticket	ticket
that	that	that
is	is	is
taking	take	taking
this	this	this
into	into	into
account	account	account
,	,	,
and	and	and
that	that	that
person	person	person
is	is	is
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
While	while	While
Sanders	sander	Sanders
is	is	is
clearly	clear	clearly
out	out	out
-raising	-rais	-raising
Clinton	clinton	Clinton
in	in	in
small	small	small
donations	donat	donation
,	,	,
which	which	which
is	is	is
amazing	amaz	amazing
in	in	in
and	and	and
of	of	of
itself	itself	itself
,	,	,
in	in	in
the	the	the
first	first	first
quarter	quarter	quarter
alone	alon	alone
of	of	of
2016	2016	2016
,	,	,
Hillary	hillari	Hillary
has	has	ha
brought	brought	brought
in	in	in
15	15	15
million	million	million
for	for	for
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
and	and	and
state	state	state
Democratic	democrat	Democratic
parties	parti	party
to	to	to
make	make	make
sure	sure	sure
Democrats	democrat	Democrats
win	win	win
across	across	across
the	the	the
board	board	board
.	.	.
Knowing	know	Knowing
how	how	how
important	import	important
it	it	it
is	is	is
to	to	to
have	have	have
a	a	a
Democratic	democrat	Democratic
Congress	congress	Congress
to	to	to
get	get	get
anything	anyth	anything
done	done	done
is	is	is
actor	actor	actor
activist	activist	activist
philanthropist	philanthropist	philanthropist
George	georg	George
Clooney	clooney	Clooney
.	.	.
He	he	He
fully	fulli	fully
recognizes	recogn	recognizes
that	that	that
Bernie	berni	Bernie
Sanders	sander	Sanders
has	has	ha
it	it	it
right	right	right
that	that	that
we	we	we
need	need	need
to	to	to
get	get	get
big	big	big
money	money	money
out	out	out
of	of	of
politics	polit	politics
,	,	,
but	but	but
that	that	that
he	he	he
has	has	ha
it	it	it
wrong	wrong	wrong
when	when	when
it	it	it
comes	come	come
to	to	to
doing	do	doing
little	littl	little
to	to	to
support	support	support
down	down	down
-ticket	-ticket	-ticket
candidates	candid	candidate
.	.	.
Only	onli	Only
recently	recent	recently
has	has	ha
Sanders	sander	Sanders
begun	begun	begun
raising	rais	raising
money	money	money
for	for	for
congressional	congression	congressional
candidates	candid	candidate
,	,	,
and	and	and
only	onli	only
