A	a	A
newly	newli	newly
released	releas	released
video	video	video
raises	rais	raise
serious	serious	serious
questions	question	question
about	about	about
the	the	the
July	juli	July
4	4	4
shooting	shoot	shooting
death	death	death
of	of	of
Delrawn	delrawn	Delrawn
Small	small	Small
.	.	.
Small	small	Small
was	was	wa
killed	kill	killed
by	by	by
Wayne	wayn	Wayne
Isaacs	isaac	Isaacs
,	,	,
an	an	an
off	off	off
-duty	-duti	-duty
New	new	New
York	york	York
police	polic	police
officer	offic	officer
,	,	,
following	follow	following
what	what	what
police	polic	police
are	are	are
describing	describ	describing
as	as	a
a	a	a
road	road	road
rage	rage	rage
incident	incid	incident
.	.	.

Following	follow	Following
the	the	the
death	death	death
of	of	of
the	the	the
unarmed	unarm	unarmed
37	37	37
-year-old	-year-old	-year-old
father	father	father
,	,	,
multiple	multipl	multiple
media	media	medium
outlets	outlet	outlet
reported	report	reported
that	that	that
Small	small	Small
had	had	had
assaulted	assault	assaulted
the	the	the
off	off	off
-duty	-duti	-duty
officer	offic	officer
,	,	,
punching	punch	punching
him	him	him
repeatedly	repeat	repeatedly
through	through	through
the	the	the
window	window	window
of	of	of
his	his	his
vehicle	vehicl	vehicle
.	.	.
Contrary	contrari	Contrary
to	to	to
that	that	that
narrative	narrat	narrative
,	,	,
the	the	the
video	video	video
shows	show	show
that	that	that
Isaacs	isaac	Isaacs
fired	fire	fired
his	his	his
weapon	weapon	weapon
within	within	within
one	one	one
second	second	second
of	of	of
Small	small	Small
approaching	approach	approaching
his	his	his
car	car	car
.	.	.
Isaacs	isaac	Isaacs
shot	shot	shot
the	the	the
unarmed	unarm	unarmed
man	man	man
twice	twice	twice
,	,	,
once	onc	once
in	in	in
the	the	the
head	head	head
and	and	and
once	onc	once
in	in	in
the	the	the
chest	chest	chest
.	.	.

He	he	He
died	die	died
as	as	a
a	a	a
result	result	result
of	of	of
the	the	the
injuries	injuri	injury
.	.	.
According	accord	According
to	to	to
Small	small	Small
s	s	s
girlfriend	girlfriend	girlfriend
,	,	,
who	who	who
was	was	wa
in	in	in
the	the	the
car	car	car
along	along	along
with	with	with
him	him	him
and	and	and
his	his	his
two	two	two
children	children	child
on	on	on
the	the	the
night	night	night
of	of	of
the	the	the
shooting	shoot	shooting
,	,	,
Isaacs	isaac	Isaacs
cut	cut	cut
off	off	off
the	the	the
vehicle	vehicl	vehicle
the	the	the
family	famili	family
was	was	wa
driving	drive	driving
in	in	in
.	.	.
An	an	An
angry	angri	angry
Small	small	Small
decided	decid	decided
to	to	to
follow	follow	follow
Isaacs	isaac	Isaacs
car	car	car
,	,	,
in	in	in
spite	spite	spite
of	of	of
pleas	plea	plea
from	from	from
his	his	his
girlfriend	girlfriend	girlfriend
to	to	to
let	let	let
it	it	it
go	go	go
.	.	.

Small	small	Small
had	had	had
no	no	no
idea	idea	idea
that	that	that
Isaacs	isaac	Isaacs
was	was	wa
an	an	an
off	off	off
-duty	-duti	-duty
cop	cop	cop
.	.	.
When	when	When
Isaacs	isaac	Isaacs
vehicle	vehicl	vehicle
came	came	came
to	to	to
a	a	a
stop	stop	stop
at	at	at
a	a	a
red	red	red
light	light	light
,	,	,
Small	small	Small
got	got	got
out	out	out
of	of	of
his	his	his
own	own	own
car	car	car
to	to	to
confront	confront	confront
him	him	him
.	.	.
The	the	The
video	video	video
shows	show	show
Small	small	Small
walking	walk	walking
toward	toward	toward
Isaacs	isaac	Isaacs
vehicle	vehicl	vehicle
.	.	.

One	one	One
second	second	second
after	after	after
approaching	approach	approaching
the	the	the
car	car	car
,	,	,
Small	small	Small
is	is	is
hit	hit	hit
by	by	by
the	the	the
first	first	first
bullet	bullet	bullet
.	.	.
While	while	While
at	at	at
least	least	least
one	one	one
witness	wit	witness
recounted	recount	recounted
seeing	see	seeing
Small	small	Small
repeatedly	repeat	repeatedly
punch	punch	punch
Isaacs	isaac	Isaacs
,	,	,
the	the	the
video	video	video
shows	show	show
that	that	that
did	did	did
not	not	not
happen	happen	happen
.	.	.
As	as	As
DNA	dna	DNA
Info	info	Info
reports	report	report
here	here	here
,	,	,
Isaacs	isaac	Isaacs
claims	claim	claim
that	that	that
he	he	he
did	did	did
not	not	not
realize	realiz	realize
he	he	he
was	was	wa
involved	involv	involved
in	in	in
a	a	a
road	road	road
incident	incid	incident
.	.	.

He	he	He
says	say	say
he	he	he
was	was	wa
not	not	not
aware	awar	aware
that	that	that
Small	small	Small
was	was	wa
following	follow	following
him	him	him
.	.	.

Isaacs	isaac	Isaacs
reportedly	report	reportedly
told	told	told
friends	friend	friend
that	that	that
he	he	he
was	was	wa
assaulted	assault	assaulted
through	through	through
the	the	the
window	window	window
of	of	of
the	the	the
car	car	car
and	and	and
said	said	said
that	that	that
he	he	he
thought	thought	thought
he	he	he
was	was	wa
being	be	being
carjacked	carjack	carjacked
.	.	.
According	accord	According
to	to	to
Isaacs	isaac	Isaacs
version	version	version
of	of	of
the	the	the
story	stori	story
,	,	,
after	after	after
he	he	he
was	was	wa
accosted	accost	accosted
by	by	by
Small	small	Small
he	he	he
somehow	somehow	somehow
managed	manag	managed
to	to	to
find	find	find
his	his	his
police	polic	police
-issued	-issu	-issued
gun	gun	gun
and	and	and
shoot	shoot	shoot
the	the	the
man	man	man
twice	twice	twice
.	.	.
The	the	The
video	video	video
shows	show	show
Isaacs	isaac	Isaacs
gunning	gun	gunning
the	the	the
man	man	man
down	down	down
almost	almost	almost
instantly	instant	instantly
,	,	,
meaning	mean	meaning
the	the	the
off	off	off
-duty	-duti	-duty
officer	offic	officer
s	s	s
gun	gun	gun
had	had	had
to	to	to
have	have	have
been	been	been
drawn	drawn	drawn
before	befor	before
Small	small	Small
ever	ever	ever
got	got	got
near	near	near
his	his	his
vehicle	vehicl	vehicle
.	.	.
Small	small	Small
s	s	s
girlfriend	girlfriend	girlfriend
,	,	,
five	five	five
month	month	month
baby	babi	baby
and	and	and
teenage	teenag	teenage
child	child	child
were	were	were
among	among	among
those	those	those
who	who	who
witnessed	wit	witnessed
the	the	the
shooting	shoot	shooting
.	.	.
Watch	watch	Watch
the	the	the
video	video	video
below	below	below
,	,	,
courtesy	courtesi	courtesy
of	of	of
the	the	the
New	new	New
York	york	York
Post	post	Post
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Zaquanna	zaquanna	Zaquanna
Albert	albert	Albert
via	via	via
Facebook	facebook	Facebook

