This	this	This
HUGE	huge	HUGE
arrest	arrest	arrest
by	by	by
the	the	the
FBI	fbi	FBI
is	is	is
proof	proof	proof
that	that	that
we	we	we
need	need	need
to	to	to
end	end	end
the	the	the
food	food	food
stamp	stamp	stamp
program	program	program
as	as	a
it	it	it
is	is	is
now	now	now
.	.	.

The	the	The
fraud	fraud	fraud
is	is	is
so	so	so
rampant	rampant	rampant
that	that	that
even	even	even
illegals	illeg	illegals
are	are	are
making	make	making
millions	million	million
off	off	off
of	of	of
the	the	the
program	program	program
and	and	and
off	off	off
of	of	of
the	the	the
backs	back	back
of	of	of
the	the	the
American	american	American
taxpayer	taxpay	taxpayer
.	.	.

We	we	We
ve	ve	ve
reported	report	reported
on	on	on
way	way	way
too	too	too
many	mani	many
immigrants	immigr	immigrant
who	who	who
have	have	have
robbed	rob	robbed
the	the	the
American	american	American
people	peopl	people
by	by	by
doing	do	doing
the	the	the
same	same	same
thing	thing	thing
these	these	these
22	22	22
latinos	latino	latino
did	did	did
.	.	.

One	one	One
particular	particular	particular
case	case	case
is	is	is
of	of	of
a	a	a
woman	woman	woman
who	who	who
robbed	rob	robbed
us	us	u
all	all	all
blind	blind	blind
of	of	of
3	3	3
.	.	.
6	6	6
million	million	million
with	with	with
her	her	her
food	food	food
stamp	stamp	stamp
fraud	fraud	fraud
IMMIGRANT	immigr	IMMIGRANT
Ghanaian	ghanaian	Ghanaian
Woman	woman	Woman
Pleads	plead	Pleads
Guilty	guilti	Guilty
To	to	To
3	3	3
.	.	.
6	6	6
Million	million	Million
in	in	in
Food	food	Food
Stamp	stamp	Stamp
Fraud	fraud	Fraud
Media	media	Media
Ignores	ignor	Ignores
Her	her	Her
Immigrant	immigr	Immigrant
StatusYET	statusyet	StatusYET
ANOTHER	anoth	ANOTHER
CASE	case	CASE
ALABAMA	alabama	ALABAMA
FRAUD	fraud	FRAUD
FOOD	food	FOOD
STAMPS	stamp	STAMPS
TO	to	TO
CASH	cash	CASH
SENT	sent	SENT
TO	to	TO
YEMENHopefully	yemenhop	YEMENHopefully
,	,	,
you	you	you
get	get	get
the	the	the
picture	pictur	picture
legal	legal	legal
AND	and	AND
illegal	illeg	illegal
immigrants	immigr	immigrant
are	are	are
coming	come	coming
to	to	to
America	america	America
to	to	to
rob	rob	rob
you	you	you
blind	blind	blind
!	!	!

The	the	The
bust	bust	bust
from	from	from
Operation	oper	Operation
Stampede	stamped	Stampede
Cash	cash	Cash
Hungry	hungri	Hungry
in	in	in
Florida	florida	Florida
involved	involv	involved
more	more	more
than	than	than
13	13	13
million	million	million
in	in	in
fraudulent	fraudul	fraudulent
food	food	food
-stamp	-stamp	-stamp
transactions	transact	transaction
and	and	and
could	could	could
be	be	be
the	the	the
largest	largest	largest
food	food	food
stamp	stamp	stamp
bust	bust	bust
in	in	in
the	the	the
nation	nation	nation
s	s	s
history	histori	history
.	.	.

The	the	The
Palm	palm	Palm
Beach	beach	Beach
County	counti	County
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
,	,	,
state	state	state
and	and	and
federal	feder	federal
law	law	law
enforcement	enforc	enforcement
conducted	conduct	conducted
a	a	a
joint	joint	joint
identity	ident	identity
theft	theft	theft
investigation	investig	investigation
involving	involv	involving
obtaining	obtain	obtaining
SNAP	snap	SNAP
EBT	ebt	EBT
cards	card	card
with	with	with
the	the	the
stolen	stolen	stolen
identities	ident	identity
.	.	.

According	accord	According
to	to	to
the	the	the
sheriff	sheriff	sheriff
s	s	s
office	offic	office
,	,	,
the	the	the
fraudulently	fraudul	fraudulently
obtained	obtain	obtained
EBT	ebt	EBT
cards	card	card
were	were	were
taken	taken	taken
to	to	to
the	the	the
Opa	opa	Opa
Locka	locka	Locka
Flea	flea	Flea
Market	market	Market
where	where	where
the	the	the
SNAP	snap	SNAP
food	food	food
stamp	stamp	stamp
or	or	or
EBT	ebt	EBT
benefits	benefit	benefit
allocated	alloc	allocated
to	to	to
them	them	them
were	were	were
exchanged	exchang	exchanged
for	for	for
cash	cash	cash
.	.	.

Twenty	twenti	Twenty
two	two	two
people	peopl	people
have	have	have
been	been	been
charged	charg	charged
with	with	with
crimes	crime	crime
.	.	.
Opa	opa	Opa
-locka	-locka	-locka
Fruit	fruit	Fruit
and	and	and
Produce	produc	Produce
Market	market	Market
didn	didn	didn
t	t	t
just	just	just
sell	sell	sell
fruits	fruit	fruit
and	and	and
vegetables	veget	vegetable
.	.	.
Instead	instead	Instead
,	,	,
owners	owner	owner
Karla	karla	Karla
Rodriguez	rodriguez	Rodriguez
Diaz	diaz	Diaz
and	and	and
Luis	lui	Luis
Marzo	marzo	Marzo
Machado	machado	Machado
allegedly	alleg	allegedly
used	use	used
their	their	their
produce	produc	produce
market	market	market
inside	insid	inside
the	the	the
Opa	opa	Opa
-locka	-locka	-locka
Hialeah	hialeah	Hialeah
Flea	flea	Flea
Market	market	Market
to	to	to
bilk	bilk	bilk
the	the	the
government	govern	government
out	out	out
of	of	of
2	2	2
.	.	.
4	4	4
million	million	million
,	,	,
Wifredo	wifredo	Wifredo
A	a	A
.	.	.

Ferrer	ferrer	Ferrer
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
attorney	attorney	attorney
for	for	for
the	the	the
Southern	southern	Southern
District	district	District
of	of	of
Florida	florida	Florida
,	,	,
said	said	said
Wednesday	wednesday	Wednesday
.	.	.
Diaz	diaz	Diaz
and	and	and
Machado	machado	Machado
were	were	were
two	two	two
of	of	of
22	22	22
people	peopl	people
charged	charg	charged
in	in	in
15	15	15
cases	case	case
Wednesday	wednesday	Wednesday
in	in	in
Operation	oper	Operation
Stampede	stamped	Stampede
,	,	,
organized	organ	organized
to	to	to
bust	bust	bust
business	busi	business
