Just	just	Just
another	anoth	another
day	day	day
in	in	in
the	the	the
holy	holi	holy
month	month	month
of	of	of
Ramadan	ramadan	Ramadan
London	london	London
is	is	is
the	the	the
scene	scene	scene
of	of	of
carnage	carnag	carnage
again	again	again
with	with	with
another	anoth	another
terror	terror	terror
attack	attack	attack
.	.	.

A	a	A
van	van	van
plowed	plow	plowed
into	into	into
pedestrians	pedestrian	pedestrian
on	on	on
London	london	London
Bridge	bridg	Bridge
with	with	with
reports	report	report
of	of	of
men	men	men
jumping	jump	jumping
out	out	out
of	of	of
the	the	the
van	van	van
to	to	to
stab	stab	stab
random	random	random
people	peopl	people
.	.	.

We	we	We
re	re	re
posting	post	posting
details	detail	detail
as	as	a
they	they	they
come	come	come
in	in	in
from	from	from
the	the	the
UK	uk	UK
.	.	.

The	the	The
Muslim	muslim	Muslim
Mayor	mayor	Mayor
of	of	of
London	london	London
is	is	is
too	too	too
busy	busi	busy
criticizing	critic	criticizing
President	presid	President
Trump	trump	Trump
for	for	for
taking	take	taking
measures	measur	measure
to	to	to
ensure	ensur	ensure
the	the	the
United	unit	United
States	state	States
is	is	is
not	not	not
subjected	subject	subjected
to	to	to
never	never	never
-ending	-end	-ending
acts	act	act
of	of	of
terrorism	terror	terrorism
to	to	to
actually	actual	actually
identify	identifi	identify
and	and	and
work	work	work
to	to	to
solve	solv	solve
the	the	the
radical	radic	radical
Muslim	muslim	Muslim
issue	issu	issue
that	that	that
is	is	is
exploding	explod	exploding
in	in	in
the	the	the
UK	uk	UK
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
President	presid	President
Trump	trump	Trump
has	has	ha
offered	offer	offered
the	the	the
help	help	help
of	of	of
the	the	the
United	unit	United
States	state	States
to	to	to
the	the	the
citizens	citizen	citizen
of	of	of
London	london	London
and	and	and
of	of	of
the	the	the
UK	uk	UK
Whatever	whatev	Whatever
the	the	the
United	unit	United
States	state	States
can	can	can
do	do	do
to	to	to
help	help	help
out	out	out
in	in	in
London	london	London
and	and	and
the	the	the
U	u	U
.	.	.

K	k	K
.	.	.
,	,	,
we	we	we
will	will	will
be	be	be
there	there	there
WE	we	WE
ARE	are	ARE
WITH	with	WITH
YOU	you	YOU
.	.	.

GOD	god	GOD
BLESS	bless	BLESS
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
3	3	3
,	,	,
2017Popular	2017popular	2017Popular
conservative	conserv	conservative
talk	talk	talk
show	show	show
host	host	host
Katie	kati	Katie
Hopkins	hopkin	Hopkins
thanks	thank	thanks
President	presid	President
Trump	trump	Trump
for	for	for
taking	take	taking
the	the	the
issue	issu	issue
of	of	of
Islamic	islam	Islamic
terrorism	terror	terrorism
seriously	serious	seriously
while	while	while
hammering	hammer	hammering
the	the	the
Muslim	muslim	Muslim
Mayor	mayor	Mayor
of	of	of
London	london	London
Thank	thank	Thank
you	you	you
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
.	.	.

Please	pleas	Please
excuse	excus	excuse
Mr	mr	Mr
Khan't	khan't	Khan't
.	.	.

The	the	The
man	man	man
who	who	who
calls	call	call
himself	himself	himself
Mayor	mayor	Mayor
.	.	.

pic.twitter.com/RwvbPVY92m	pic.twitter.com/rwvbpvy92m	pic.twitter.com/RwvbPVY92m
Katie	kati	Katie
Hopkins	hopkin	Hopkins
@KTHopkins	@kthopkin	@KTHopkins
June	june	June
3	3	3
,	,	,
2017UPDATE	2017updat	2017UPDATE
MORE	more	MORE
UNCONFIRMED	unconfirm	UNCONFIRMED
reports	report	report
say	say	say
at	at	at
least	least	least
5	5	5
terrorists	terrorist	terrorist
with	with	with
weapons	weapon	weapon
on	on	on
the	the	the
run	run	run
in	in	in
London	london	London
,	,	,
several	sever	several
killed	kill	killed
,	,	,
several	sever	several
injured	injur	injured
.	.	.

BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
2017UPDATE	2017updat	2017UPDATE
Eyewitness	eyewit	Eyewitness
on	on	on
London	london	London
Bridge	bridg	Bridge
tells	tell	tell
the	the	the
BBC	bbc	BBC
The	the	The
3	3	3
men	men	men
exited	exit	exited
the	the	the
van	van	van
with	with	with
knives	knive	knife
shouted	shout	shouted
This	this	This
is	is	is
for	for	for
Allah	allah	Allah
before	befor	before
stabbing	stab	stabbing
people	peopl	people
BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
2017BREAKING	2017break	2017BREAKING
NEWS	news	NEWS
Many	mani	Many
injured	injur	injured
as	as	a
car	car	car
ploughs	plough	plough
into	into	into
people	peopl	people
at	at	at
London	london	London
bridge	bridg	bridge
.	.	.
DEVELOPING	develop	DEVELOPING
pic.twitter.com/1fuoC5y652	pic.twitter.com/1fuoc5y652	pic.twitter.com/1fuoC5y652
BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
2017Traffic	2017traffic	2017Traffic
cameras	camera	camera
captures	captur	capture
huge	huge	huge
police	polic	police
activity	activ	activity
near	near	near
London	london	London
bridge	bridg	bridge
as	as	a
police	polic	police
say	say	say
it	it	it
is	is	is
still	still	still
not	not	not
under	under	under
control	control	control
.	.	.

pic.twitter.com/0URXD0yvR2	pic.twitter.com/0urxd0yvr2	pic.twitter.com/0URXD0yvR2
BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
2017UPDATE	2017updat	2017UPDATE
Witness	wit	Witness
say	say	say
he	he	he
saw	saw	saw
a	a	a
van	van	van
drive	drive	drive
into	into	into
pedestrians	pedestrian	pedestrian
at	at	at
London	london	London
Bridge	bridg	Bridge
and	and	and
3	3	3
men	men	men
carrying	carri	carrying
knives	knive	knife
jump	jump	jump
out	out	out
and	and	and
then	then	then
attack	attack	attack
people	peopl	people
BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
2017BREAKING	2017break	2017BREAKING
Multiple	multipl	Multiple
people	peopl	people
have	have	have
been	been	been
killed	kill	killed
in	in	in
the	the	the
incidents	incid	incident
in	in	in
London	london	London
,	,	,
police	polic	police
say	say	say
BBC	bbc	BBC
BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
20173	20173	20173
ARMED	arm	ARMED
terrorists	terrorist	terrorist
are	are	are
reportedly	report	reportedly
on	on	on
the	the	the
run	run	run
in	in	in
gun	gun	gun
-free	-free	-free
London	london	London
MORE	more	MORE
At	at	At
least	least	least
three	three	three
armed	arm	armed
terrorists	terrorist	terrorist
on	on	on
the	the	the
run	run	run
in	in	in
London	london	London
.	.	.

BNL	bnl	BNL
@BreakingNLive	@breakingnl	@BreakingNLive
June	june	June
3	3	3
,	,	,
2017Talk	2017talk	2017Talk
show	show	show
host	host	host
Katie	kati	Katie
Hopkins	hopkin	Hopkins
tells	tell	tell
British	british	British
citizens	citizen	citizen
stop	stop	stop
being	be	being
complacent	complac	complacent
,	,	,
DEMAND	demand	DEMAND
ACTION	action	ACTION
!	!	!

Do	do	Do
not	not	not
let	let	let
them	them	them
tell	tell	tell
you	you	you
we	we	we
stand	stand	stand
united	unit	united
.	.	.

Do	do	Do
not	not	not
let	let	let
them	them	them
tell	tell	tell
you	you	you
we	we	we
carry	carri	carry
on	on	on
as	as	a
normal	normal	normal
.	.	.

Refuse	refus	Refuse
to	to	to
be	be	be
lied	lie	lied
to	to	to
.	.	.

DEMAND	demand	DEMAND
ACTION	action	ACTION
#LondonBridge	#londonbridg	#LondonBridge
Katie	kati	Katie
Hopkins	hopkin	Hopkins
@KTHopkins	@kthopkin	@KTHopkins
June	june	June
3	3	3
,	,	,
2017Hopkins	2017hopkin	2017Hopkins
goes	goe	go
on	on	on
to	to	to
slam	slam	slam
Muslim	muslim	Muslim
Mayor	mayor	Mayor
Sadiq	sadiq	Sadiq
Khan	khan	Khan
who	who	who
has	has	ha
been	been	been
very	veri	very
vocal	vocal	vocal
in	in	in
his	his	his
criticism	critic	criticism
of	of	of
President	presid	President
Trump	trump	Trump
for	for	for
wanted	want	wanted
to	to	to
do	do	do
a	a	a
better	better	better
job	job	job
of	of	of
vetting	vet	vetting
refugees	refuge	refugee
coming	come	coming
to	to	to
America	america	America
from	from	from
terror	terror	terror
hotbed	hotb	hotbed
nations	nation	nation
No	no	No
,	,	,
@SadiqKhan	@sadiqkhan	@SadiqKhan
.	.	.

We	we	We
do	do	do
not	not	not
want	want	want
to	to	to
hear	hear	hear
a	a	a
single	singl	single
word	word	word
from	from	from
you	you	you
.	.	.

Not	not	Not
one	one	one
word	word	word
.	.	.

London	london	London
Bridge	bridg	Bridge
has	has	ha
fallen	fallen	fallen
down	down	down
on	on	on
your	your	your
watch	watch	watch
,	,	,
son	son	son
#LondonBridge	#londonbridg	#LondonBridge
Katie	kati	Katie
Hopkins	hopkin	Hopkins
@KTHopkins	@kthopkin	@KTHopkins
June	june	June
3	3	3
,	,	,
2017Katie	2017kati	2017Katie
Hopkins	hopkin	Hopkins
is	is	is
furious	furious	furious
.	.	.
demands	demand	demand
Britain	britain	Britain
gets	get	get
a	a	a
handle	handl	handle
their	their	their
radical	radic	radical
Muslim	muslim	Muslim
issue	issu	issue
Britain	britain	Britain
does	doe	doe
not	not	not
stand	stand	stand
united	unit	united
.	.	.

Close	close	Close
the	the	the
borders	border	border
.	.	.

Round	round	Round
up	up	up
the	the	the
watch	watch	watch
list	list	list
.	.	.

Incarcerate	incarcer	Incarcerate
the	the	the
lot	lot	lot
.	.	.

ENOUGH	enough	ENOUGH
