Apparently	appar	Apparently
Hillary	hillari	Hillary
s	s	s
secret	secret	secret
emails	email	email
may	may	may
contain	contain	contain
information	inform	information
about	about	about
a	a	a
special	special	special
relationship	relationship	relationship
between	between	between
Huma	huma	Huma
and	and	and
Hillary	hillari	Hillary
.	.	.

Clinton	clinton	Clinton
insiders	insid	insider
continue	continu	continue
to	to	to
come	come	come
forward	forward	forward
with	with	with
allegations	alleg	allegation
of	of	of
Hillary	hillari	Hillary
s	s	s
affairs	affair	affair
with	with	with
women	women	woman
during	dure	during
her	her	her
marriage	marriag	marriage
to	to	to
Bill	bill	Bill
.	.	.

Why	whi	Why
is	is	is
it	it	it
be	be	be
a	a	a
big	big	big
deal	deal	deal
for	for	for
any	ani	any
of	of	of
the	the	the
men	men	men
running	run	running
for	for	for
President	presid	President
to	to	to
have	have	have
an	an	an
affair	affair	affair
,	,	,
but	but	but
a	a	a
non	non	non
-issue	-issu	-issue
when	when	when
it	it	it
comes	come	come
to	to	to
Hillary	hillari	Hillary
?	?	?

Why	whi	Why
does	doe	doe
Hillary	hillari	Hillary
get	get	get
a	a	a
pass	pass	pas
on	on	on
her	her	her
alleged	alleg	alleged
affair	affair	affair
s	s	s
?	?	?

The	the	The
top	top	top
aide	aid	aide
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
says	say	say
meeting	meet	meeting
Clinton	clinton	Clinton
was	was	wa
amazing	amaz	amazing
,	,	,
and	and	and
that	that	that
she	she	she
remembers	rememb	remembers
thinking	think	thinking
about	about	about
the	the	the
now	now	now
-Democrat	-democrat	-Democrat
presidential	presidenti	presidential
candidate	candid	candidate
,	,	,
Oh	oh	Oh
my	my	my
God	god	God
,	,	,
she	she	she
s	s	s
so	so	so
beautiful	beauti	beautiful
and	and	and
she	she	she
s	s	s
so	so	so
little	littl	little
!	!	!

You	you	You
know	know	know
these	these	these
things	thing	thing
that	that	that
happen	happen	happen
in	in	in
your	your	your
life	life	life
that	that	that
just	just	just
stick	stick	stick
?	?	?

Huma	huma	Huma
Abedin	abedin	Abedin
said	said	said
in	in	in
a	a	a
Call	call	Call
Your	your	Your
Girlfriend	girlfriend	Girlfriend
podcast	podcast	podcast
interview	interview	interview
.	.	.

She	she	She
walked	walk	walked
by	by	by
and	and	and
she	she	she
shook	shook	shook
my	my	my
hand	hand	hand
and	and	and
our	our	our
eyes	eye	eye
connected	connect	connected
and	and	and
I	i	I
just	just	just
remember	rememb	remember
having	have	having
this	this	this
moment	moment	moment
where	where	where
I	i	I
thought	thought	thought
,	,	,
Wow	wow	Wow
.	.	.

Call	call	Call
Your	your	Your
Girlfriend	girlfriend	Girlfriend
describes	describ	describes
itself	itself	itself
as	as	a
a	a	a
podcast	podcast	podcast
for	for	for
long	long	long
-distance	-distanc	-distance
besties	besti	besties
everywhere	everywher	everywhere
.	.	.

The	the	The
podcast	podcast	podcast
is	is	is
hosted	host	hosted
by	by	by
Ann	ann	Ann
Friedman	friedman	Friedman
,	,	,
a	a	a
