Jared	jare	Jared
Fogle	fogl	Fogle
,	,	,
the	the	the
ex	ex	ex
-Subway	-subway	-Subway
pitchman	pitchman	pitchman
convicted	convict	convicted
of	of	of
having	have	having
sex	sex	sex
with	with	with
underage	underag	underage
girls	girl	girl
,	,	,
is	is	is
suing	su	suing
the	the	the
parents	parent	parent
of	of	of
one	one	one
his	his	his
victims	victim	victim
,	,	,
claiming	claim	claiming
the	the	the
girl	girl	girl
s	s	s
problems	problem	problem
following	follow	following
the	the	the
sexual	sexual	sexual
abuse	abus	abuse
are	are	are
their	their	their
fault	fault	fault
,	,	,
not	not	not
his	his	his
.	.	.
According	accord	According
to	to	to
court	court	court
documents	document	document
that	that	that
were	were	were
filed	file	filed
on	on	on
Thursday	thursday	Thursday
,	,	,
Fogle	fogl	Fogle
is	is	is
placing	place	placing
the	the	the
blame	blame	blame
for	for	for
his	his	his
victim	victim	victim
s	s	s
personal	person	personal
injuries	injuri	injury
and	and	and
emotional	emot	emotional
distress	distress	distress
squarely	squar	squarely
on	on	on
the	the	the
shoulders	shoulder	shoulder
of	of	of
her	her	her
own	own	own
parents	parent	parent
rather	rather	rather
than	than	than
his	his	his
own	own	own
.	.	.
The	the	The
girl	girl	girl
,	,	,
who	who	who
is	is	is
listed	list	listed
as	as	a
Jane	jane	Jane
Doe	doe	Doe
in	in	in
court	court	court
records	record	record
,	,	,
was	was	wa
secretly	secret	secretly
recorded	record	recorded
undressing	undress	undressing
and	and	and
bathing	bath	bathing
while	while	while
she	she	she
was	was	wa
in	in	in
the	the	the
home	home	home
of	of	of
Russell	russel	Russell
Taylor	taylor	Taylor
,	,	,
who	who	who
was	was	wa
a	a	a
close	close	close
friend	friend	friend
of	of	of
Fogle	fogl	Fogle
.	.	.
Last	last	Last
year	year	year
,	,	,
Fogle	fogl	Fogle
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
viewing	view	viewing
those	those	those
tapes	tape	tape
.	.	.
He	he	He
was	was	wa
eventually	eventu	eventually
sentenced	sentenc	sentenced
to	to	to
almost	almost	almost
16	16	16
years	year	year
behind	behind	behind
bars	bar	bar
for	for	for
having	have	having
sex	sex	sex
with	with	with
minors	minor	minor
,	,	,
as	as	a
well	well	well
as	as	a
receiving	receiv	receiving
and	and	and
distributing	distribut	distributing
child	child	child
pornography	pornographi	pornography
.	.	.
He	he	He
was	was	wa
also	also	also
ordered	order	ordered
to	to	to
pay	pay	pay
100	100	100
,	,	,
000	000	000
to	to	to
each	each	each
of	of	of
the	the	the
girls	girl	girl
he	he	he
had	had	had
abused	abus	abused
,	,	,
including	includ	including
Jane	jane	Jane
Doe	doe	Doe
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
there	there	there
is	is	is
no	no	no
doubt	doubt	doubt
of	of	of
this	this	this
pervert	pervert	pervert
s	s	s
guilt	guilt	guilt
at	at	at
this	this	this
point	point	point
.	.	.
Earlier	earlier	Earlier
this	this	this
year	year	year
,	,	,
Jane	jane	Jane
Doe	doe	Doe
sued	su	sued
Fogle	fogl	Fogle
for	for	for
an	an	an
additional	addit	additional
150	150	150
,	,	,
000	000	000
in	in	in
damages	damag	damage
related	relat	related
to	to	to
his	his	his
crimes	crime	crime
against	against	against
her	her	her
.	.	.
Fogle	fogl	Fogle
says	say	say
her	her	her
emotional	emot	emotional
distress	distress	distress
isn	isn	isn
t	t	t
his	his	his
fault	fault	fault
at	at	at
all	all	all
.	.	.
Nope	nope	Nope
.	.	.
So	so	So
who	who	who
s	s	s
fault	fault	fault
is	is	is
it	it	it
?	?	?
Her	her	Her
parents	parent	parent
.	.	.
In	in	In
the	the	the
lawsuit	lawsuit	lawsuit
filed	file	filed
by	by	by
Fogle	fogl	Fogle
,	,	,
he	he	he
alleges	alleg	alleges
that	that	that
the	the	the
girl	girl	girl
was	was	wa
depressed	depress	depressed
,	,	,
had	had	had
a	a	a
history	histori	history
of	of	of
drug	drug	drug
and	and	and
alcohol	alcohol	alcohol
abuse	abus	abuse
,	,	,
and	and	and
was	was	wa
promiscuous	promiscu	promiscuous
long	long	long
before	befor	before
he	he	he
and	and	and
his	his	his
buddy	buddi	buddy
decided	decid	decided
to	to	to
use	use	use
her	her	her
in	in	in
their	their	their
kiddie	kiddi	kiddie
porn	porn	porn
.	.	.
He	he	He
claims	claim	claim
that	that	that
Jane	jane	Jane
Doe	doe	Doe
s	s	s
parents	parent	parent
,	,	,
named	name	named
in	in	in
court	court	court
documents	document	document
as	as	a
J	j	J
.	.	.
T	t	T
.	.	.
and	and	and
B	b	B
.	.	.
T	t	T
.	.	.
didn	didn	didn
t	t	t
supervise	supervis	supervise
her	her	her
properly	proper	properly
.	.	.
He	he	He
added	ad	added
that	that	that
mom	mom	mom
and	and	and
dad	dad	dad
screwed	screw	screwed
her	her	her
up	up	up
with	with	with
their	their	their
own	own	own
messy	messi	messy
divorce	divorc	divorce
and	and	and
abusive	abus	abusive
relationship	relationship	relationship
.	.	.
The	the	The
outrageous	outrag	outrageous
and	and	and
reckless	reckless	reckless
conduct	conduct	conduct
of	of	of
J	j	J
.	.	.
T	t	T
.	.	.
and	and	and
B	b	B
.	.	.
T	t	T
.	.	.
committed	commit	committed
over	over	over
a	a	a
period	period	period
of	of	of
several	sever	several
years	year	year
inflicted	inflict	inflicted
personal	person	personal
injuries	injuri	injury
,	,	,
emotional	emot	emotional
distress	distress	distress
and	and	and
psychological	psycholog	psychological
injury	injuri	injury
on	on	on
Jane	jane	Jane
Doe	doe	Doe
from	from	from
which	which	which
she	she	she
will	will	will
continue	continu	continue
to	to	to
suffer	suffer	suffer
,	,	,
the	the	the
document	document	document
states	state	state
.	.	.
B	b	B
.	.	.
T	t	T
.	.	.
and	and	and
J	j	J
.	.	.
T	t	T
.	.	.
,	,	,
by	by	by
their	their	their
actions	action	action
,	,	,
caused	caus	caused
Jane	jane	Jane
Doe	doe	Doe
to	to	to
suffer	suffer	suffer
from	from	from
emotional	emot	emotional
distress	distress	distress
and	and	and
depression	depress	depression
which	which	which
then	then	then
resulted	result	resulted
in	in	in
Jane	jane	Jane
Doe	doe	Doe
engaging	engag	engaging
in	in	in
destructive	destruct	destructive
behaviors	behavior	behavior
,	,	,
including	includ	including
,	,	,
but	but	but
not	not	not
limited	limit	limited
to	to	to
alcohol	alcohol	alcohol
abuse	abus	abuse
,	,	,
substance	substanc	substance
abuse	abus	abuse
,	,	,
self	self	self
-mutilation	-mutil	-mutilation
,	,	,
and	and	and
suicidal	suicid	suicidal
ideation	ideat	ideation
with	with	with
regard	regard	regard
to	to	to
which	which	which
B	b	B
.	.	.
T	t	T
.	.	.
and	and	and
J	j	J
.	.	.
T	t	T
.	.	.
are	are	are
liable	liabl	liable
.	.	.
Because	becaus	Because
of	of	of
this	this	this
,	,	,
Fogle	fogl	Fogle
is	is	is
asking	ask	asking
the	the	the
court	court	court
to	to	to
hold	hold	hold
Jane	jane	Jane
Doe	doe	Doe
s	s	s
parents	parent	parent
liable	liabl	liable
for	for	for
their	their	their
daughter	daughter	daughter
s	s	s
emotional	emot	emotional
distress	distress	distress
and	and	and
all	all	all
other	other	other
relief	relief	relief
the	the	the
court	court	court
deems	deem	deems
proper	proper	proper
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Jason	jason	Jason
Merritt	merritt	Merritt
Getty	getti	Getty
Images	imag	Images
