While	while	While
Trump	trump	Trump
and	and	and
his	his	his
loyal	loyal	loyal
subjects	subject	subject
keep	keep	keep
bleating	bleat	bleating
about	about	about
the	the	the
mess	mess	mess
Obama	obama	Obama
left	left	left
for	for	for
them	them	them
to	to	to
clean	clean	clean
up	up	up
,	,	,
and	and	and
insist	insist	insist
that	that	that
the	the	the
world	world	world
laughed	laugh	laughed
at	at	at
us	us	u
for	for	for
the	the	the
entire	entir	entire
eight	eight	eight
years	year	year
of	of	of
his	his	his
administration	administr	administration
,	,	,
a	a	a
growing	grow	growing
movement	movement	movement
in	in	in
France	franc	France
is	is	is
proving	prove	proving
them	them	them
to	to	to
be	be	be
completely	complet	completely
out	out	out
of	of	of
their	their	their
gourds	gourd	gourd
.	.	.
France	franc	France
s	s	s
presidential	presidenti	presidential
election	elect	election
is	is	is
coming	come	coming
up	up	up
in	in	in
April	april	April
,	,	,
and	and	and
these	these	these
people	peopl	people
,	,	,
fed	fed	fed
up	up	up
with	with	with
Marine	marin	Marine
Le	le	Le
Pen	pen	Pen
and	and	and
her	her	her
Trump	trump	Trump
-like	-like	-like
attitudes	attitud	attitude
and	and	and
policies	polici	policy
,	,	,
want	want	want
Obama	obama	Obama
to	to	to
come	come	come
be	be	be
France	franc	France
s	s	s
president	presid	president
.	.	.
Seriously	serious	Seriously
.	.	.
They	they	They
ve	ve	ve
got	got	got
a	a	a
petition	petit	petition
going	go	going
that	that	that
s	s	s
asking	ask	asking
Obama	obama	Obama
to	to	to
run	run	run
,	,	,
and	and	and
they	they	they
re	re	re
hoping	hope	hoping
they	they	they
can	can	can
get	get	get
at	at	at
least	least	least
one	one	one
million	million	million
signatures	signatur	signature
on	on	on
it	it	it
.	.	.
They	they	They
ve	ve	ve
also	also	also
put	put	put
up	up	up
500	500	500
posters	poster	poster
around	around	around
Paris	pari	Paris
and	and	and
have	have	have
an	an	an
actual	actual	actual
campaign	campaign	campaign
organization	organ	organization
going	go	going
Oui	oui	Oui
on	on	on
peut	peut	peut
?	?	?
#obama2017	#obama2017	#obama2017
#streetsofparis	#streetsofpari	#streetsofparis
pic.twitter.com/v6ptl9DSJB	pic.twitter.com/v6ptl9dsjb	pic.twitter.com/v6ptl9DSJB
Romuald	romuald	Romuald
COUSTRE	coustr	COUSTRE
@rcoustre	@rcoustr	@rcoustre
February	februari	February
21	21	21
,	,	,
2017Does	2017doe	2017Does
Obama	obama	Obama
want	want	want
to	to	to
be	be	be
president	presid	president
of	of	of
France	franc	France
?	?	?
Probably	probabl	Probably
not	not	not
,	,	,
and	and	and
the	the	the
truth	truth	truth
is	is	is
that	that	that
this	this	this
is	is	is
a	a	a
bit	bit	bit
of	of	of
a	a	a
joke	joke	joke
.	.	.
But	but	But
it	it	it
s	s	s
not	not	not
a	a	a
joke	joke	joke
on	on	on
Obama	obama	Obama
or	or	or
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
It	it	It
s	s	s
a	a	a
joke	joke	joke
in	in	in
that	that	that
this	this	this
group	group	group
knows	know	know
he	he	he
s	s	s
not	not	not
going	go	going
to	to	to
come	come	come
run	run	run
for	for	for
president	presid	president
there	there	there
,	,	,
and	and	and
they	they	they
re	re	re
using	use	using
this	this	this
campaign	campaign	campaign
to	to	to
send	send	send
a	a	a
very	veri	very
serious	serious	serious
message	messag	message
We	we	We
are	are	are
so	so	so
fed	fed	fed
up	up	up
with	with	with
what	what	what
Marine	marin	Marine
Le	le	Le
Pen	pen	Pen
is	is	is
doing	do	doing
,	,	,
and	and	and
with	with	with
the	the	the
fact	fact	fact
that	that	that
we	we	we
weren	weren	weren
t	t	t
able	abl	able
to	to	to
find	find	find
a	a	a
candidate	candid	candidate
to	to	to
vote	vote	vote
for	for	for
,	,	,
only	onli	only
one	one	one
to	to	to
vote	vote	vote
against	against	against
.	.	.
We	we	We
started	start	started
talking	talk	talking
about	about	about
that	that	that
and	and	and
it	it	it
came	came	came
up	up	up
that	that	that
Obama	obama	Obama
is	is	is
free	free	free
so	so	so
why	whi	why
not	not	not
hire	hire	hire
him	him	him
?	?	?
In	in	In
other	other	other
words	word	word
,	,	,
they	they	they
see	see	see
Obama	obama	Obama
as	as	a
someone	someon	someone
who	who	who
still	still	still
represents	repres	represents
hope	hope	hope
and	and	and
something	someth	something
to	to	to
fight	fight	fight
for	for	for
in	in	in
a	a	a
world	world	world
where	where	where
we	we	we
increasingly	increas	increasingly
just	just	just
vote	vote	vote
and	and	and
fight	fight	fight
against	against	against
things	thing	thing
.	.	.
People	peopl	People
have	have	have
actually	actual	actually
been	been	been
getting	get	getting
in	in	in
touch	touch	touch
with	with	with
the	the	the
campaign	campaign	campaign
to	to	to
offer	offer	offer
ideas	idea	idea
for	for	for
how	how	how
to	to	to
get	get	get
around	around	around
the	the	the
fact	fact	fact
that	that	that
Obama	obama	Obama
isn	isn	isn
t	t	t
French	french	French
.	.	.
Even	even	Even
some	some	some
lawyers	lawyer	lawyer
have	have	have
contacted	contact	contacted
them	them	them
with	with	with
advice	advic	advice
on	on	on
how	how	how
to	to	to
make	make	make
it	it	it
possible	possibl	possible
,	,	,
like	like	like
making	make	making
him	him	him
a	a	a
naturalized	natur	naturalized
citizen	citizen	citizen
of	of	of
France	franc	France
.	.	.
But	but	But
nobody	nobodi	nobody
knows	know	know
if	if	if
Obama	obama	Obama
is	is	is
even	even	even
aware	awar	aware
of	of	of
this	this	this
yet	yet	yet
.	.	.
If	if	If
he	he	he
is	is	is
,	,	,
and	and	and
he	he	he
answers	answer	answer
,	,	,
then	then	then
the	the	the
campaign	campaign	campaign
believes	believ	belief
there	there	there
will	will	will
be	be	be
a	a	a
huge	huge	huge
reaction	reaction	reaction
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Scott	scott	Scott
Olson	olson	Olson
via	via	via
Getty	getti	Getty
Images	imag	Images
