If	if	If
Donald	donald	Donald
Trump	trump	Trump
had	had	had
been	been	been
at	at	at
Madison	madison	Madison
Square	squar	Square
Garden	garden	Garden
during	dure	during
this	this	this
Marc	marc	Marc
Anthony	anthoni	Anthony
concert	concert	concert
,	,	,
he	he	he
would	would	would
have	have	have
been	been	been
booed	boo	booed
out	out	out
of	of	of
the	the	the
building	build	building
.	.	.
During	dure	During
the	the	the
concert	concert	concert
,	,	,
the	the	the
popular	popular	popular
Latino	latino	Latino
singer	singer	singer
took	took	took
aim	aim	aim
at	at	at
the	the	the
Republican	republican	Republican
billionaire	billionair	billionaire
by	by	by
shouting	shout	shouting
at	at	at
the	the	the
top	top	top
of	of	of
his	his	his
lungs	lung	lung
about	about	about
his	his	his
pride	pride	pride
at	at	at
being	be	being
a	a	a
Latino	latino	Latino
before	befor	before
telling	tell	telling
Trump	trump	Trump
to	to	to
go	go	go
f	f	f
ck	ck	ck
himself	himself	himself
,	,	,
which	which	which
drew	drew	drew
a	a	a
loud	loud	loud
cheer	cheer	cheer
from	from	from
the	the	the
thousands	thousand	thousand
in	in	in
attendance	attend	attendance
.	.	.
I	i	I
m	m	m
proud	proud	proud
to	to	to
be	be	be
a	a	a
Latino	latino	Latino
,	,	,
Anthony	anthoni	Anthony
told	told	told
his	his	his
fans	fan	fan
.	.	.
I	i	I
just	just	just
want	want	want
to	to	to
say	say	say
,	,	,
we	we	we
re	re	re
proud	proud	proud
of	of	of
our	our	our
country	countri	country
.	.	.
We	we	We
speak	speak	speak
a	a	a
little	littl	little
differently	differ	differently
.	.	.
We	we	We
have	have	have
our	our	our
own	own	own
food	food	food
,	,	,
we	we	we
have	have	have
our	our	our
own	own	own
way	way	way
of	of	of
being	be	being
.	.	.
But	but	But
here	here	here
,	,	,
no	no	no
matter	matter	matter
where	where	where
you	you	you
come	come	come
from	from	from
,	,	,
we	we	we
re	re	re
Latinos	latino	Latinos
.	.	.
And	and	And
we	we	we
have	have	have
to	to	to
take	take	take
care	care	care
of	of	of
each	each	each
other	other	other
,	,	,
no	no	no
matter	matter	matter
where	where	where
we	we	we
come	come	come
from	from	from
.	.	.
There	there	There
s	s	s
only	onli	only
one	one	one
f	f	f
cking	cking	cking
box	box	box
to	to	to
check	check	check
when	when	when
you	you	you
come	come	come
to	to	to
this	this	this
country	countri	country
,	,	,
and	and	and
it	it	it
says	say	say
Latino	latino	Latino
!	!	!
'	'	'
There	there	There
s	s	s
some	some	some
crazy	crazi	crazy
movement	movement	movement
coming	come	coming
from	from	from
some	some	some
Anthony	anthoni	Anthony
began	began	began
to	to	to
say	say	say
while	while	while
motioning	motion	motioning
with	with	with
his	his	his
hands	hand	hand
.	.	.
He	he	He
then	then	then
wanted	want	wanted
to	to	to
say	say	say
two	two	two
things	thing	thing
.	.	.
First	first	First
,	,	,
F	f	F
ck	ck	ck
Donald	donald	Donald
Trump	trump	Trump
!	!	!
Anthony	anthoni	Anthony
then	then	then
told	told	told
the	the	the
crowd	crowd	crowd
that	that	that
he	he	he
wants	want	want
Trump	trump	Trump
to	to	to
hear	hear	hear
it	it	it
from	from	from
his	his	his
house	hous	house
.	.	.
Wake	wake	Wake
that	that	that
motherf	motherf	motherf
cker	cker	cker
up	up	up
.	.	.
And	and	And
then	then	then
the	the	the
concert	concert	concert
resumed	resum	resumed
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
It	it	It
s	s	s
understandable	understand	understandable
why	whi	why
Anthony	anthoni	Anthony
has	has	ha
a	a	a
problem	problem	problem
with	with	with
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Throughout	throughout	Throughout
his	his	his
run	run	run
for	for	for
the	the	the
presidency	presid	presidency
,	,	,
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
launched	launch	launched
unfair	unfair	unfair
attacks	attack	attack
on	on	on
Latinos	latino	Latinos
.	.	.
During	dure	During
his	his	his
official	offici	official
campaign	campaign	campaign
announcement	announc	announcement
Trump	trump	Trump
characterized	character	characterized
all	all	all
Mexicans	mexican	Mexicans
as	as	a
rapists	rapist	rapist
,	,	,
and	and	and
promised	promis	promised
to	to	to
build	build	build
a	a	a
wall	wall	wall
along	along	along
the	the	the
Mexican	mexican	Mexican
border	border	border
to	to	to
keep	keep	keep
Latino	latino	Latino
immigrants	immigr	immigrant
from	from	from
entering	enter	entering
the	the	the
country	countri	country
.	.	.
Ever	ever	Ever
since	sinc	since
,	,	,
he	he	he
has	has	ha
blamed	blame	blamed
Latinos	latino	Latinos
for	for	for
the	the	the
crime	crime	crime
and	and	and
violence	violenc	violence
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
called	call	called
for	for	for
a	a	a
renewal	renew	renewal
of	of	of
Operation	oper	Operation
Wetback	wetback	Wetback
,	,	,
a	a	a
deportation	deport	deportation
initiative	initi	initiative
under	under	under
the	the	the
Eisenhower	eisenhow	Eisenhower
Administration	administr	Administration
,	,	,
a	a	a
consequence	consequ	consequence
of	of	of
which	which	which
resulted	result	resulted
in	in	in
the	the	the
use	use	use
of	of	of
