Speaking	speak	Speaking
up	up	up
against	against	against
hate	hate	hate
where	where	where
it	it	it
stands	stand	stand
,	,	,
yet	yet	yet
again	again	again
,	,	,
is	is	is
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
from	from	from
the	the	the
great	great	great
state	state	state
of	of	of
Massachusetts	massachusett	Massachusetts
.	.	.
As	as	As
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
making	make	making
his	his	his
official	offici	official
announcement	announc	announcement
of	of	of
his	his	his
choice	choic	choice
for	for	for
Indiana	indiana	Indiana
Gov	gov	Gov
.	.	.
Mike	mike	Mike
Pence	penc	Pence
to	to	to
be	be	be
his	his	his
vice	vice	vice
presidential	presidenti	presidential
pick	pick	pick
,	,	,
Warren	warren	Warren
took	took	took
to	to	to
Twitter	twitter	Twitter
,	,	,
as	as	a
only	onli	only
she	she	she
can	can	can
,	,	,
to	to	to
tear	tear	tear
the	the	the
choice	choic	choice
to	to	to
shreds	shred	shred
.	.	.
Warren	warren	Warren
brilliantly	brilliant	brilliantly
stated	state	stated
,	,	,
as	as	a
she	she	she
does	doe	doe
,	,	,
in	in	in
an	an	an
epic	epic	epic
tweetstorm	tweetstorm	tweetstorm
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Mike	mike	Mike
Pence	penc	Pence
are	are	are
a	a	a
perfect	perfect	perfect
match	match	match
Two	two	Two
small	small	small
,	,	,
insecure	insecur	insecure
,	,	,
weak	weak	weak
men	men	men
who	who	who
use	use	use
hate	hate	hate
and	and	and
fear	fear	fear
to	to	to
divide	divid	divide
our	our	our
country	countri	country
and	and	and
our	our	our
people	peopl	people
.	.	.
Of	of	Of
COURSE	cours	COURSE
Donald	donald	Donald
Trump	trump	Trump
a	a	a
guy	guy	guy
who	who	who
calls	call	call
women	women	woman
fat	fat	fat
pigs	pig	pig
bimbos	bimbo	bimbo
picked	pick	picked
a	a	a
VP	vp	VP
who	who	who
is	is	is
famous	famous	famous
for	for	for
trying	tri	trying
to	to	to
control	control	control
women	women	woman
s	s	s
bodies	bodi	body
.	.	.
What	what	What
s	s	s
worse	wors	worse
?	?	?
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Mike	mike	Mike
Pence	penc	Pence
s	s	s
sexism	sexism	sexism
isn	isn	isn
t	t	t
some	some	some
radical	radic	radical
fringe	fring	fringe
of	of	of
the	the	the
GOP	gop	GOP
.	.	.
They	they	They
re	re	re
in	in	in
line	line	line
with	with	with
the	the	the
party	parti	party
platform	platform	platform
.	.	.
The	the	The
GOP	gop	GOP
platform	platform	platform
is	is	is
the	the	the
most	most	most
anti	anti	anti
-choice	-choic	-choice
ever	ever	ever
defund	defund	defund
Planned	plan	Planned
Parenthood	parenthood	Parenthood
and	and	and
denounce	denounc	denounce
all	all	all
abortion	abort	abortion
.	.	.
Even	even	Even
cases	case	case
of	of	of
rape	rape	rape
,	,	,
incest	incest	incest
and	and	and
woman	woman	woman
s	s	s
potential	potenti	potential
death	death	death
.	.	.
And	and	And
OF	of	OF
COURSE	cours	COURSE
Donald	donald	Donald
Trump	trump	Trump
a	a	a
guy	guy	guy
who	who	who
doesn	doesn	doesn
t	t	t
feel	feel	feel
good	good	good
about	about	about
marriage	marriag	marriage
equality	equal	equality
picked	pick	picked
a	a	a
VP	vp	VP
famous	famous	famous
for	for	for
LGBT	lgbt	LGBT
discrimination	discrimin	discrimination
.	.	.
The	the	The
GOP	gop	GOP
platform	platform	platform
says	say	say
overturn	overturn	overturn
marriage	marriag	marriage
equality	equal	equality
it	it	it
supports	support	support
parents	parent	parent
putting	put	putting
their	their	their
LGBT	lgbt	LGBT
children	children	child
through	through	through
conversion	convers	conversion
therapy	therapi	therapy
.	.	.
Disgusting	disgust	Disgusting
.	.	.
The	the	The
GOP	gop	GOP
platform	platform	platform
even	even	even
says	say	say
that	that	that
children	children	child
not	not	not
from	from	from
natural	natur	natural
marriage	marriag	marriage
are	are	are
more	more	more
likely	like	likely
to	to	to
be	be	be
drug	drug	drug
addicts	addict	addict
.	.	.
Hateful	hate	Hateful
AND	and	AND
disgusting	disgust	disgusting
.	.	.
Terrifying	terrifi	Terrifying
to	to	to
thing	thing	thing
of	of	of
Mike	mike	Mike
Pence	penc	Pence
being	be	being
a	a	a
heartbeat	heartbeat	heartbeat
from	from	from
presidency	presid	presidency
but	but	but
the	the	the
direction	direct	direction
the	the	the
GOP	gop	GOP
wants	want	want
to	to	to
take	take	take
our	our	our
country	countri	country
is	is	is
MORE	more	MORE
terrifying	terrifi	terrifying
.	.	.
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@mike_pence	@mike_p	@mike_pence
are	are	are
a	a	a
perfect	perfect	perfect
match	match	match
Two	two	Two
small	small	small
,	,	,
insecure	insecur	insecure
,	,	,
weak	weak	weak
men	men	men
who	who	who
use	use	use
hate	hate	hate
fear	fear	fear
to	to	to
divide	divid	divide
our	our	our
country	countri	country
our	our	our
people	peopl	people
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016Of	2016of	2016Of
COURSE	cours	COURSE
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
a	a	a
guy	guy	guy
who	who	who
calls	call	call
women	women	woman
fat	fat	fat
pigs	pig	pig
bimbos	bimbo	bimbo
picked	pick	picked
a	a	a
VP	vp	VP
who	who	who
is	is	is
famous	famous	famous
for	for	for
trying	tri	trying
to	to	to
control	control	control
women	women	woman
s	s	s
bodies	bodi	body
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016What's	2016what	2016What's
worse	wors	worse
?	?	?
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@mike_pence	@mike_p	@mike_pence
s	s	s
sexism	sexism	sexism
isn	isn	isn
t	t	t
