Token	Stem	Lemma
And	and	And
what	what	what
about	about	about
the	the	the
female	femal	female
sailor	sailor	sailor
in	in	in
the	the	the
headscarf	headscarf	headscarf
What	what	What
was	was	wa
that	that	that
all	all	all
about	about	about
Do	do	Do
all	all	all
the	the	the
female	femal	female
hostages	hostag	hostage
of	of	of
Iranian	iranian	Iranian
Revolutionary	revolutionari	Revolutionary
Guard	guard	Guard
have	have	have
to	to	to
wear	wear	wear
headscarfs	headscarf	headscarf
so	so	so
as	as	a
not	not	not
to	to	to
offend	offend	offend
them	them	them
This	this	This
whole	whole	whole
capture	captur	capture
of	of	of
the	the	the
Navy	navi	Navy
boats	boat	boat
and	and	and
the	the	the
hostage	hostag	hostage
taking	take	taking
of	of	of
our	our	our
U	u	U
S	s	S
Sailors	sailor	Sailors
just	just	just
wreaks	wreak	wreaks
of	of	of
something	someth	something
that	that	that
s	s	s
been	been	been
in	in	in
the	the	the
workings	work	working
and	and	and
was	was	wa
not	not	not
as	as	a
spontaneous	spontan	spontaneous
as	as	a
Obama	obama	Obama
s	s	s
spokes	spoke	spoke
liar	liar	liar
would	would	would
have	have	have
us	us	u
believe	believ	believe
Iranian	iranian	Iranian
state	state	state
-controlled	-control	-controlled
news	news	news
outlet	outlet	outlet
Tasnim	tasnim	Tasnim
released	releas	released
video	video	video
Wednesday	wednesday	Wednesday
afternoon	afternoon	afternoon
that	that	that
shows	show	show
a	a	a
U	u	U
S	s	S
sailor	sailor	sailor
apologizing	apolog	apologizing
for	for	for
purportedly	purport	purportedly
infringing	infring	infringing
upon	upon	upon
Tehran	tehran	Tehran
s	s	s
sovereignty	sovereignti	sovereignty
Pictures	pictur	Pictures
published	publish	published
by	by	by
#Iran	#iran	#Iran
state	state	state
TV	tv	TV
from	from	from
the	the	the
moment	moment	moment
#US	#us	#US
marine	marin	marine
were	were	were
arrested	arrest	arrested
pic.twitter.com/bcEKaJGPb9	pic.twitter.com/bcekajgpb9	pic.twitter.com/bcEKaJGPb9
Abas	aba	Abas
Aslani	aslani	Aslani
@AbasAslani	@abasaslani	@AbasAslani
January	januari	January
13	13	13
2016Pictures	2016pictur	2016Pictures
published	publish	published
by	by	by
#Iran	#iran	#Iran
state	state	state
TV	tv	TV
from	from	from
the	the	the
moment	moment	moment
#US	#us	#US
marine	marin	marine
were	were	were
arrested	arrest	arrested
pic.twitter.com/YQakdKmqi3	pic.twitter.com/yqakdkmqi3	pic.twitter.com/YQakdKmqi3
Abas	aba	Abas
Aslani	aslani	Aslani
@AbasAslani	@abasaslani	@AbasAslani
January	januari	January
13	13	13
2016On	2016on	2016On
Tuesday	tuesday	Tuesday
Iran	iran	Iran
seized	seiz	seized
two	two	two
U	u	U
S	s	S
naval	naval	naval
boats	boat	boat
arguing	argu	arguing
they	they	they
illegally	illeg	illegally
entered	enter	entered
Iran	iran	Iran
s	s	s
territorial	territori	territorial
waters	water	water
The	the	The
Pentagon	pentagon	Pentagon
said	said	said
they	they	they
encountered	encount	encountered
mechanical	mechan	mechanical
troubles	troubl	trouble
forcing	forc	forcing
their	their	their
boats	boat	boat
to	to	to
go	go	go
off	off	off
course	cours	course
First	first	First
footage	footag	footage
from	from	from
the	the	the
moment	moment	moment
when	when	when
#US	#us	#US
sailors	sailor	sailor
were	were	were
captured	captur	captured
by	by	by
#Iran's	#iran	#Iran's
#IRGC.	#irgc.	#IRGC.
#Marines	#marin	#Marines
pic.twitter.com/7BeJLlGfNn	pic.twitter.com/7bejllgfnn	pic.twitter.com/7BeJLlGfNn
Abas	aba	Abas
Aslani	aslani	Aslani
@AbasAslani	@abasaslani	@AbasAslani
January	januari	January
13	13	13
2016Part	2016part	2016Part
2	2	2
First	first	First
footage	footag	footage
from	from	from
the	the	the
moment	moment	moment
when	when	when
#US	#us	#US
sailors	sailor	sailor
were	were	were
captured	captur	captured
by	by	by
#Iran's	#iran	#Iran's
#IRGC.	#irgc.	#IRGC.
#marines	#marin	#marines
pic.twitter.com/vFyto44oGD	pic.twitter.com/vfyto44ogd	pic.twitter.com/vFyto44oGD
Abas	aba	Abas
Aslani	aslani	Aslani
@AbasAslani	@abasaslani	@AbasAslani
January	januari	January
13	13	13
