This	this	This
is	is	is
unbelievable	unbeliev	unbelievable
!	!	!

The	the	The
Russia	russia	Russia
collusion	collus	collusion
scam	scam	scam
has	has	ha
been	been	been
going	go	going
on	on	on
for	for	for
months	month	month
now	now	now
with	with	with
fingers	finger	finger
pointing	point	pointing
everywhere	everywher	everywhere
there	there	there
is	is	is
a	a	a
Trump	trump	Trump
team	team	team
member	member	member
.	.	.

Specifically	specif	Specifically
,	,	,
Jared	jare	Jared
Kushner	kushner	Kushner
and	and	and
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
who	who	who
have	have	have
been	been	been
defending	defend	defending
their	their	their
meeting	meet	meeting
with	with	with
a	a	a
Russian	russian	Russian
lawyer	lawyer	lawyer
and	and	and
others	other	others
for	for	for
so	so	so
long	long	long
!	!	!

Now	now	Now
we	we	we
know	know	know
it	it	it
was	was	wa
nothing	noth	nothing
and	and	and
even	even	even
CNN	cnn	CNN
now	now	now
proves	prove	prof
it	it	it
Yes	yes	Yes
,	,	,
CNN	cnn	CNN
!	!	!

Can	can	Can
you	you	you
believe	believ	believe
it	it	it
?	?	?
Via	via	Via
Newsmax	newsmax	Newsmax
The	the	The
controversial	controversi	controversial
June	june	June
2016	2016	2016
meeting	meet	meeting
at	at	at
Trump	trump	Trump
Tower	tower	Tower
between	between	between
Russians	russian	Russians
,	,	,
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
others	other	others
was	was	wa
indeed	inde	indeed
about	about	about
the	the	the
Magnitsky	magnitski	Magnitsky
Act	act	Act
,	,	,
not	not	not
dishing	dish	dishing
dirt	dirt	dirt
on	on	on
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
CNN	cnn	CNN
reported	report	reported
.	.	.
Documents	document	Documents
provided	provid	provided
to	to	to
CNN	cnn	CNN
back	back	back
Trump	trump	Trump
Jr	jr	Jr
.	.	.
s	s	s
account	account	account
and	and	and
that	that	that
of	of	of
Jared	jare	Jared
Kushner	kushner	Kushner
that	that	that
the	the	the
meeting	meet	meeting
was	was	wa
insignificant	insignific	insignificant
and	and	and
a	a	a
waste	wast	waste
of	of	of
their	their	their
time	time	time
.	.	.
An	an	An
attorney	attorney	attorney
for	for	for
the	the	the
Russian	russian	Russian
billionaire	billionair	billionaire
who	who	who
requested	request	requested
the	the	the
meeting	meet	meeting
provided	provid	provided
the	the	the
documents	document	document
to	to	to
CNN	cnn	CNN
,	,	,
and	and	and
suggested	suggest	suggested
the	the	the
mixup	mixup	mixup
originated	origin	originated
with	with	with
the	the	the
publicist	publicist	publicist
who	who	who
brokered	broker	brokered
the	the	the
meet	meet	meet
and	and	and
greet	greet	greet
with	with	with
Trump	trump	Trump
Jr	jr	Jr
.	.	.
,	,	,
Kushner	kushner	Kushner
and	and	and
other	other	other
members	member	member
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
.	.	.
The	the	The
attorney	attorney	attorney
,	,	,
Scott	scott	Scott
Balber	balber	Balber
,	,	,
told	told	told
CNN	cnn	CNN
that	that	that
the	the	the
publicist	publicist	publicist
,	,	,
Rob	rob	Rob
Goldstone	goldston	Goldstone
,	,	,
probably	probabl	probably
exaggerated	exagger	exaggerated
and	and	and
maybe	mayb	maybe
willfully	will	willfully
contorted	contort	contorted
the	the	the
facts	fact	fact
for	for	for
the	the	the
purpose	purpos	purpose
of	of	of
making	make	making
the	the	the
meeting	meet	meeting
interesting	interest	interesting
to	to	to
the	the	the
Trump	trump	Trump
people	peopl	people
.	.	.

And	and	And
the	the	the
seeds	seed	seed
of	of	of
a	a	a
Russia	russia	Russia
collusion	collus	collusion
story	stori	story
were	were	were
born	born	born
,	,	,
CNN	cnn	CNN
reported	report	reported
.	.	.

The	the	The
documents	document	document
are	are	are
consistent	consist	consistent
with	with	with
my	my	my
client	client	client
s	s	s
understanding	understand	understanding
of	of	of
the	the	the
purpose	purpos	purpose
of	of	of
the	the	the
meeting	meet	meeting
which	which	which
was	was	wa
from	from	from
the	the	the
beginning	begin	beginning
and	and	and
at	at	at
all	all	all
times	time	time
thereafter	thereaft	thereafter
about	about	about
her	her	her
efforts	effort	effort
to	to	to
launch	launch	launch
a	a	a
legislative	legisl	legislative
review	review	review
of	of	of
the	the	the
Magnitsky	magnitski	Magnitsky
Act	act	Act
,	,	,
Balber	balber	Balber
told	told	told
CNN	cnn	CNN
.	.	.
Goldstone	goldston	Goldstone
knew	knew	knew
the	the	the
Trumps	trump	Trumps
from	from	from
the	the	the
2013	2013	2013
Miss	miss	Miss
Universe	univers	Universe
pageant	pageant	pageant
in	in	in
Moscow	moscow	Moscow
where	where	where
he	he	he
had	had	had
a	a	a
client	client	client
who	who	who
performed	perform	performed
at	at	at
the	the	the
pageant	pageant	pageant
.	.	.

