Georgia	georgia	Georgia
Congressman	congressman	Congressman
John	john	John
Lewis	lewi	Lewis
is	is	is
one	one	one
of	of	of
America	america	America
s	s	s
most	most	most
cherished	cherish	cherished
civil	civil	civil
rights	right	right
icons	icon	icon
.	.	.
Most	most	Most
people	peopl	people
,	,	,
no	no	no
matter	matter	matter
how	how	how
much	much	much
they	they	they
disagree	disagre	disagree
with	with	with
him	him	him
,	,	,
have	have	have
the	the	the
good	good	good
sense	sens	sense
not	not	not
to	to	to
attack	attack	attack
him	him	him
but	but	but
not	not	not
Donald	donald	Donald
Trump	trump	Trump
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
parts	part	part
of	of	of
an	an	an
interview	interview	interview
that	that	that
Rep	rep	Rep
.	.	.
Lewis	lewi	Lewis
did	did	did
for	for	for
Meet	meet	Meet
the	the	the
Press	press	Press
with	with	with
NBC	nbc	NBC
s	s	s
Chuck	chuck	Chuck
Todd	todd	Todd
were	were	were
released	releas	released
,	,	,
and	and	and
in	in	in
that	that	that
interview	interview	interview
,	,	,
Lewis	lewi	Lewis
questioned	question	questioned
the	the	the
legitimacy	legitimaci	legitimacy
of	of	of
Trump	trump	Trump
s	s	s
presidency	presid	presidency
.	.	.
Of	of	Of
course	cours	course
,	,	,
being	be	being
the	the	the
wannabe	wannab	wannabe
strongman	strongman	strongman
that	that	that
he	he	he
is	is	is
,	,	,
Trump	trump	Trump
cannot	cannot	cannot
STAND	stand	STAND
the	the	the
idea	idea	idea
of	of	of
anyone	anyon	anyone
much	much	much
less	less	le
anyone	anyon	anyone
in	in	in
a	a	a
position	posit	position
of	of	of
power	power	power
daring	dare	daring
to	to	to
question	question	question
him	him	him
or	or	or
his	his	his
right	right	right
to	to	to
enter	enter	enter
the	the	the
Oval	oval	Oval
Office	offic	Office
.	.	.
To	to	To
that	that	that
end	end	end
,	,	,
Trump	trump	Trump
sunk	sunk	sunk
even	even	even
further	further	further
than	than	than
he	he	he
has	has	ha
in	in	in
times	time	time
past	past	past
,	,	,
and	and	and
attack	attack	attack
Rep	rep	Rep
.	.	.
Lewis	lewi	Lewis
via	via	via
Twitter	twitter	Twitter
Congressman	congressman	Congressman
John	john	John
Lewis	lewi	Lewis
should	should	should
spend	spend	spend
more	more	more
time	time	time
on	on	on
fixing	fix	fixing
and	and	and
helping	help	helping
his	his	his
district	district	district
,	,	,
which	which	which
is	is	is
in	in	in
horrible	horribl	horrible
shape	shape	shape
and	and	and
falling	fall	falling
apart	apart	apart
not	not	not
to	to	to
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
14	14	14
,	,	,
2017mention	2017mention	2017mention
crime	crime	crime
infested	infest	infested
rather	rather	rather
than	than	than
falsely	fals	falsely
complaining	complain	complaining
about	about	about
the	the	the
election	elect	election
results	result	result
.	.	.
All	all	All
talk	talk	talk
,	,	,
talk	talk	talk
,	,	,
talk	talk	talk
no	no	no
action	action	action
or	or	or
results	result	result
.	.	.
Sad	sad	Sad
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
14	14	14
,	,	,
2017Donald	2017donald	2017Donald
Trump	trump	Trump
,	,	,
you	you	you
need	need	need
a	a	a
history	histori	history
lesson	lesson	lesson
.	.	.
John	john	John
Lewis	lewi	Lewis
almost	almost	almost
died	die	died
taking	take	taking
action	action	action
with	with	with
regards	regard	regard
to	to	to
civil	civil	civil
rights	right	right
in	in	in
America	america	America
.	.	.
He	he	He
has	has	ha
done	done	done
more	more	more
for	for	for
this	this	this
nation	nation	nation
than	than	than
you	you	you
could	could	could
ever	ever	ever
dream	dream	dream
of	of	of
doing	do	doing
.	.	.
If	if	If
you	you	you
want	want	want
your	your	your
approval	approv	approval
ratings	rate	rating
to	to	to
go	go	go
even	even	even
lower	lower	lower
,	,	,
keep	keep	keep
going	go	going
.	.	.
Rep	rep	Rep
.	.	.
Lewis	lewi	Lewis
is	is	is
not	not	not
afraid	afraid	afraid
of	of	of
the	the	the
likes	like	like
of	of	of
you	you	you
.	.	.
He	he	He
has	has	ha
more	more	more
courage	courag	courage
,	,	,
class	class	class
,	,	,
and	and	and
action	action	action
in	in	in
his	his	his
little	littl	little
finger	finger	finger
than	than	than
you	you	you
do	do	do
in	in	in
your	your	your
whole	whole	whole
pathetic	pathet	pathetic
body	bodi	body
.	.	.
If	if	If
he	he	he
wants	want	want
to	to	to
declare	declar	declare
you	you	you
illegitimate	illegitim	illegitimate
,	,	,
it	it	it
is	is	is
his	his	his
right	right	right
to	to	to
do	do	do
so	so	so
.	.	.
That	that	That
man	man	man
has	has	ha
earned	earn	earned
the	the	the
right	right	right
to	to	to
say	say	say
whatever	whatev	whatever
he	he	he
likes	like	like
,	,	,
about	about	about
whomever	whomev	whomever
he	he	he
likes	like	like
.	.	.
Go	go	Go
ahead	ahead	ahead
,	,	,
keep	keep	keep
it	it	it
up	up	up
with	with	with
the	the	the
attacks	attack	attack
.	.	.
I	i	I
dare	dare	dare
your	your	your
sycophants	sycoph	sycophant
to	to	to
defend	defend	defend
this	this	this
one	one	one
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Jeff	jeff	Jeff
J	j	J
Mitchell	mitchel	Mitchell
Getty	getti	Getty
Images	imag	Images
