Token	Stem	Lemma
Republicans	republican	Republicans
have	have	have
been	been	been
vowing	vow	vowing
to	to	to
honor	honor	honor
the	the	the
memory	memori	memory
of	of	of
recently	recent	recently
-deceased	-deceas	-deceased
racist	racist	racist
hatemonger	hatemong	hatemonger
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Antonin	antonin	Antonin
Scalia	scalia	Scalia
by	by	by
blocking	block	blocking
any	ani	any
and	and	and
all	all	all
nominees	nomine	nominee
Obama	obama	Obama
might	might	might
put	put	put
forward	forward	forward
to	to	to
replace	replac	replace
him	him	him
no	no	no
matter	matter	matter
who	who	who
they	they	they
are	are	are
While	while	While
Scalia	scalia	Scalia
himself	himself	himself
would	would	would
disagree	disagre	disagree
with	with	with
the	the	the
intrusion	intrus	intrusion
of	of	of
politics	polit	politics
into	into	into
the	the	the
judicial	judici	judicial
appointment	appoint	appointment
process	process	process
Ted	ted	Ted
Cruz	cruz	Cruz
promises	promis	promise
to	to	to
filibuster	filibust	filibuster
any	ani	any
nominee	nomine	nominee
and	and	and
Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
says	say	say
he	he	he
will	will	will
use	use	use
every	everi	every
tool	tool	tool
at	at	at
his	his	his
disposal	dispos	disposal
to	to	to
block	block	block
nominations	nomin	nomination
until	until	until
after	after	after
the	the	the
election	elect	election
when	when	when
they	they	they
hope	hope	hope
a	a	a
Republican	republican	Republican
is	is	is
in	in	in
office	offic	office
good	good	good
luck	luck	luck
with	with	with
that	that	that
guys	guy	guy
While	while	While
Republicans	republican	Republicans
often	often	often
invoke	invok	invoke
Ronald	ronald	Ronald
Reagan	reagan	Reagan
as	as	a
they	they	they
struggle	struggl	struggle
to	to	to
excuse	excus	excuse
most	most	most
of	of	of
their	their	their
actions	action	action
they	they	they
are	are	are
similarly	similar	similarly
ignoring	ignor	ignoring
the	the	the
former	former	former
President	presid	President
s	s	s
opinion	opinion	opinion
on	on	on
the	the	the
matter	matter	matter
In	in	In
1988	1988	1988
Saint	saint	Saint
Ronnie	ronni	Ronnie
made	made	made
it	it	it
clear	clear	clear
while	while	while
urging	urg	urging
the	the	the
Senate	senat	Senate
to	to	to
confirm	confirm	confirm
Anthony	anthoni	Anthony
M	m	M
Kennedy	kennedi	Kennedy
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
quite	quit	quite
agree	agre	agree
with	with	with
childishly	childish	childishly
blocking	block	blocking
nominations	nomin	nomination
either	either	either
In	in	In
the	the	the
year	year	year
ahead	ahead	ahead
we	we	we
re	re	re
not	not	not
going	go	going
to	to	to
be	be	be
on	on	on
the	the	the
defensive	defens	defensive
shoring	shore	shoring
up	up	up
problems	problem	problem
and	and	and
answering	answer	answering
our	our	our
critics	critic	critic
We	we	We
are	are	are
moving	move	moving
forward	forward	forward
and	and	and
I	i	I
have	have	have
no	no	no
doubt	doubt	doubt
that	that	that
when	when	when
we	we	we
look	look	look
back	back	back
1988	1988	1988
will	will	will
be	be	be
a	a	a
year	year	year
of	of	of
great	great	great
accomplishment	accomplish	accomplishment
toward	toward	toward
our	our	our
goals	goal	goal
This	this	This
is	is	is
the	the	the
year	year	year
when	when	when
Judge	judg	Judge
Anthony	anthoni	Anthony
Kennedy	kennedi	Kennedy
will	will	will
be	be	be
confirmed	confirm	confirmed
and	and	and
the	the	the
Supreme	suprem	Supreme
Court	court	Court
will	will	will
again	again	again
be	be	be
brought	brought	brought
up	up	up
to	to	to
full	full	full
strength	strength	strength
The	the	The
Federal	feder	Federal
judiciary	judiciari	judiciary
is	is	is
too	too	too
important	import	important
to	to	to
be	be	be
made	made	made
a	a	a
political	polit	political
football	footbal	football
I	i	I
would	would	would
hope	hope	hope
and	and	and
the	the	the
American	american	American
people	peopl	people
should	should	should
expect	expect	expect
not	not	not
only	onli	only
for	for	for
Judge	judg	Judge
Kennedy	kennedi	Kennedy
s	s	s
confirmation	confirm	confirmation
but	but	but
for	for	for
the	the	the
Senate	senat	Senate
to	to	to
get	get	get
to	to	to
work	work	work
and	and	and
act	act	act
on	on	on
27	27	27
other	other	other
judicial	judici	judicial
nominations	nomin	nomination
that	that	that
have	have	have
been	been	been
left	left	left
in	in	in
limbo	limbo	limbo
for	for	for
quite	quit	quite
awhile	awhil	awhile
now	now	now
That	that	That
s	s	s
right	right	right
Republicans	republican	Republicans
are	are	are
so	so	so
desperate	desper	desperate
to	to	to
deny	deni	deny
Obama	obama	Obama
a	a	a
judicial	judici	judicial
nomination	nomin	nomination
that	that	that
they	they	they
are	are	are
willing	will	willing
to	to	to
ignore	ignor	ignore
tradition	tradit	tradition
the	the	the
wishes	wish	wish
of	of	of
the	the	the
person	person	person
they	they	they
are	are	are
supposedly	suppos	supposedly
honoring	honor	honoring
in	in	in
this	this	this
destructive	destruct	destructive
and	and	and
asinine	asinin	asinine
action	action	action
and	and	and
even	even	even
the	the	the
words	word	word
of	of	of
their	their	their
messiah	messiah	messiah
Watch	watch	Watch
the	the	the
remarks	remark	remark
from	from	from
Saint	saint	Saint
Ronnie	ronni	Ronnie
s	s	s
January	januari	January
25	25	25
1985	1985	1985
State	state	State
of	of	of
the	the	the
Union	union	Union
Address	address	Address
below	below	below
Watch	watch	Watch
Ronald	ronald	Ronald
Reagan	reagan	Reagan
urge	urg	urge
the	the	the
Senate	senat	Senate
to	to	to
confirm	confirm	confirm
Justice	justic	Justice
Kennedy	kennedi	Kennedy
during	dure	during
an	an	an
election	elect	election
year	year	year
From	from	From
1	1	1
25	25	25
1988	1988	1988
pic.twitter.com/MSAwaYmGLR	pic.twitter.com/msawaymglr	pic.twitter.com/MSAwaYmGLR
igorvolsky	igorvolski	igorvolsky
@igorvolsky	@igorvolski	@igorvolsky
February	februari	February
15	15	15
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab
