There	there	There
s	s	s
currently	current	currently
a	a	a
woman	woman	woman
who	who	who
wants	want	want
to	to	to
be	be	be
selected	select	selected
to	to	to
serve	serv	serve
on	on	on
the	the	the
Texas	texa	Texas
State	state	State
Board	board	Board
of	of	of
Education	educ	Education
SBOE	sboe	SBOE
.	.	.
Her	her	Her
name	name	name
is	is	is
Mary	mari	Mary
Lou	lou	Lou
Bruner	bruner	Bruner
,	,	,
and	and	and
she	she	she
s	s	s
about	about	about
as	as	a
far	far	far
-right	-right	-right
in	in	in
ideology	ideolog	ideology
as	as	a
one	one	one
could	could	could
ever	ever	ever
seem	seem	seem
to	to	to
imagine	imagin	imagine
.	.	.
She	she	She
s	s	s
an	an	an
ultra	ultra	ultra
-right-wing	-right-w	-right-wing
Christian	christian	Christian
conservative	conserv	conservative
who	who	who
believes	believ	belief
heavily	heavili	heavily
in	in	in
conspiracy	conspiraci	conspiracy
theories	theori	theory
,	,	,
and	and	and
her	her	her
latest	latest	latest
theory	theori	theory
is	is	is
just	just	just
a	a	a
bonkers	bonker	bonkers
as	as	a
all	all	all
her	her	her
others	other	others
.	.	.
According	accord	According
to	to	to
Evan	evan	Evan
Smith	smith	Smith
of	of	of
the	the	the
Texas	texa	Texas
Tribune	tribun	Tribune
,	,	,
Bruner	bruner	Bruner
is	is	is
now	now	now
putting	put	putting
out	out	out
the	the	the
theory	theori	theory
that	that	that
preschool	preschool	preschool
programs	program	program
are	are	are
a	a	a
plot	plot	plot
to	to	to
make	make	make
children	children	child
gay	gay	gay
.	.	.
Not	not	Not
only	onli	only
that	that	that
,	,	,
but	but	but
to	to	to
also	also	also
turn	turn	turn
kids	kid	kid
against	against	against
their	their	their
parents	parent	parent
who	who	who
do	do	do
not	not	not
accept	accept	accept
Islam	islam	Islam
and	and	and
gay	gay	gay
marriage	marriag	marriage
.	.	.
Smith	smith	Smith
,	,	,
who	who	who
seems	seem	seems
to	to	to
have	have	have
access	access	access
to	to	to
the	the	the
SBOE	sboe	SBOE
hopeful	hope	hopeful
s	s	s
private	privat	private
account	account	account
,	,	,
tweeted	tweet	tweeted
out	out	out
a	a	a
screen	screen	screen
-capture	-captur	-capture
of	of	of
Bruner	bruner	Bruner
s	s	s
Facebook	facebook	Facebook
post	post	post
declaring	declar	declaring
this	this	this
absurd	absurd	absurd
theory	theori	theory
.	.	.
In	in	In
the	the	the
post	post	post
,	,	,
Bruner	bruner	Bruner
said	said	said
The	the	The
GLBTQ	glbtq	GLBTQ
agenda	agenda	agenda
is	is	is
one	one	one
of	of	of
the	the	the
big	big	big
reasons	reason	reason
the	the	the
liberals	liber	liberal
want	want	want
3	3	3
-year-old	-year-old	-year-old
and	and	and
4	4	4
-year-old	-year-old	-year-old
children	children	child
to	to	to
attend	attend	attend
public	public	public
school	school	school
Pre	pre	Pre
-K	-k	-K
programs	program	program
.	.	.
The	the	The
federal	feder	federal
government	govern	government
wants	want	want
to	to	to
indoctrinate	indoctrin	indoctrinate
the	the	the
little	littl	little
children	children	child
,	,	,
teaching	teach	teaching
them	them	them
a	a	a
homosexual	homosexu	homosexual
marriage	marriag	marriage
is	is	is
just	just	just
as	as	a
good	good	good
as	as	a
a	a	a
marriage	marriag	marriage
with	with	with
a	a	a
father	father	father
and	and	and
a	a	a
mother	mother	mother
.	.	.
The	the	The
federal	feder	federal
government	govern	government
wants	want	want
to	to	to
push	push	push
its	it	it
socialistic	socialist	socialistic
and	and	and
multicultural	multicultur	multicultural
agenda	agenda	agenda
onto	onto	onto
these	these	these
impressionable	impression	impressionable
litter	litter	litter
children	children	child
who	who	who
believe	believ	believe
anything	anyth	anything
they	they	they
are	are	are
told	told	told
.	.	.
Children	children	Children
who	who	who
get	get	get
government	govern	government
indoctrination	indoctrin	indoctrination
in	in	in
Pre	pre	Pre
-K	-k	-K
are	are	are
going	go	going
to	to	to
become	becom	become
confused	confus	confused
about	about	about
their	their	their
sexuality	sexual	sexuality
,	,	,
and	and	and
they	they	they
are	are	are
going	go	going
to	to	to
become	becom	become
rebellious	rebelli	rebellious
because	becaus	because
the	the	the
government	govern	government
curriculum	curriculum	curriculum
plans	plan	plan
to	to	to
tell	tell	tell
the	the	the
children	children	child
not	not	not
