Self	self	Self
-proclaimed	-proclaim	-proclaimed
fiscal	fiscal	fiscal
-conservative	-conserv	-conservative
Tim	tim	Tim
Allen	allen	Allen
cracked	crack	cracked
a	a	a
joke	joke	joke
about	about	about
President	presid	President
Obama	obama	Obama
at	at	at
the	the	the
conclusion	conclus	conclusion
of	of	of
the	the	the
show	show	show
Last	last	Last
Man	man	Man
Standing	stand	Standing
on	on	on
Friday	friday	Friday
,	,	,
and	and	and
let	let	let
s	s	s
just	just	just
say	say	say
,	,	,
not	not	not
only	onli	only
was	was	wa
it	it	it
not	not	not
funny	funni	funny
,	,	,
but	but	but
it	it	it
wasn	wasn	wasn
t	t	t
exactly	exact	exactly
substantiated	substanti	substantiated
in	in	in
fact	fact	fact
either	either	either
.	.	.
Here	here	Here
s	s	s
what	what	what
he	he	he
had	had	had
to	to	to
say	say	say
So	so	So
,	,	,
if	if	if
you	you	you
re	re	re
a	a	a
young	young	young
person	person	person
not	not	not
exactly	exact	exactly
sure	sure	sure
where	where	where
life	life	life
is	is	is
taking	take	taking
you	you	you
,	,	,
that	that	that
s	s	s
okay	okay	okay
.	.	.

We	we	We
can	can	can
t	t	t
all	all	all
be	be	be
Barack	barack	Barack
Obama	obama	Obama
and	and	and
have	have	have
our	our	our
first	first	first
job	job	job
be	be	be
president	presid	president
.	.	.

In	in	In
case	case	case
Tim	tim	Tim
Allen	allen	Allen
wasn	wasn	wasn
t	t	t
aware	awar	aware
,	,	,
here	here	here
s	s	s
a	a	a
full	full	full
list	list	list
of	of	of
every	everi	every
single	singl	single
job	job	job
President	presid	President
Obama	obama	Obama
has	has	ha
had	had	had
before	befor	before
being	be	being
elected	elect	elected
.	.	.

We	we	We
can	can	can
assure	assur	assure
you	you	you
,	,	,
being	be	being
president	presid	president
wasn	wasn	wasn
t	t	t
his	his	his
first	first	first
,	,	,
not	not	not
by	by	by
a	a	a
long	long	long
shot	shot	shot
.	.	.
Tim	tim	Tim
Allen	allen	Allen
may	may	may
think	think	think
he	he	he
s	s	s
funny	funni	funny
,	,	,
but	but	but
unfortunately	unfortun	unfortunately
for	for	for
him	him	him
,	,	,
his	his	his
joke	joke	joke
isn	isn	isn
t	t	t
even	even	even
close	close	close
to	to	to
being	be	being
even	even	even
halfway	halfway	halfway
true	true	true
.	.	.

But	but	But
,	,	,
while	while	while
we	we	we
re	re	re
on	on	on
the	the	the
subject	subject	subject
perhaps	perhap	perhaps
we	we	we
should	should	should
discuss	discuss	discus
one	one	one
of	of	of
Tim	tim	Tim
Allen	allen	Allen
s	s	s
first	first	first
jobs	job	job
.	.	.

Typically	typic	Typically
,	,	,
we	we	we
wouldn	wouldn	wouldn
t	t	t
bring	bring	bring
up	up	up
somebody	somebodi	somebody
s	s	s
past	past	past
in	in	in
such	such	such
a	a	a
light	light	light
,	,	,
but	but	but
Allen	allen	Allen
brought	brought	brought
it	it	it
up	up	up
first	first	first
.	.	.

In	in	In
1978	1978	1978
,	,	,
Allen	allen	Allen
was	was	wa
arrested	arrest	arrested
for	for	for
cocaine	cocain	cocaine
possession	possess	possession
and	and	and
almost	almost	almost
spent	spent	spent
life	life	life
in	in	in
prison	prison	prison
.	.	.

And	and	And
,	,	,
it	it	it
was	was	wa
no	no	no
small	small	small
amount	amount	amount
he	he	he
had	had	had
over	over	over
650	650	650
grams	gram	gram
on	on	on
him	him	him
.	.	.

That	that	That
s	s	s
a	a	a
lot	lot	lot
of	of	of
Columbian	columbian	Columbian
snow	snow	snow
.	.	.

