While	while	While
many	mani	many
racist	racist	racist
Donald	donald	Donald
Trump	trump	Trump
supporters	support	supporter
are	are	are
praising	prais	praising
the	the	the
way	way	way
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
doubled	doubl	doubled
down	down	down
on	on	on
his	his	his
disastrous	disastr	disastrous
immigration	immigr	immigration
policies	polici	policy
yesterday	yesterday	yesterday
in	in	in
his	his	his
speech	speech	speech
,	,	,
it	it	it
has	has	ha
caused	caus	caused
several	sever	several
conservative	conserv	conservative
Hispanic	hispan	Hispanic
supporters	support	supporter
to	to	to
rethink	rethink	rethink
their	their	their
decision	decis	decision
to	to	to
back	back	back
the	the	the
business	busi	business
mogul	mogul	mogul
.	.	.
Earlier	earlier	Earlier
today	today	today
,	,	,
Alfonso	alfonso	Alfonso
Aguilar	aguilar	Aguilar
,	,	,
the	the	the
president	presid	president
of	of	of
Latino	latino	Latino
Partnership	partnership	Partnership
for	for	for
Conservative	conserv	Conservative
Principles	principl	Principles
,	,	,
made	made	made
a	a	a
public	public	public
show	show	show
of	of	of
withdrawing	withdraw	withdrawing
his	his	his
support	support	support
for	for	for
Trump	trump	Trump
on	on	on
CNN	cnn	CNN
,	,	,
and	and	and
elaborated	elabor	elaborated
on	on	on
a	a	a
tweet	tweet	tweet
that	that	that
said	said	said
he	he	he
d	d	d
felt	felt	felt
disappointed	disappoint	disappointed
and	and	and
misled	misl	misled
by	by	by
Trump	trump	Trump
s	s	s
immigration	immigr	immigration
speech	speech	speech
TwitterOn	twitteron	TwitterOn
CNN	cnn	CNN
,	,	,
Aguilar	aguilar	Aguilar
told	told	told
host	host	host
Carol	carol	Carol
Costello	costello	Costello
that	that	that
this	this	this
major	major	major
immigration	immigr	immigration
speech	speech	speech
had	had	had
cost	cost	cost
Trump	trump	Trump
Aguilar	aguilar	Aguilar
s	s	s
vote	vote	vote
,	,	,
as	as	a
well	well	well
as	as	a
many	mani	many
other	other	other
Latino	latino	Latino
supporters	support	supporter
.	.	.

When	when	When
he	he	he
became	becam	became
the	the	the
nominee	nomine	nominee
,	,	,
I	i	I
thought	thought	thought
it	it	it
was	was	wa
important	import	important
to	to	to
give	give	give
him	him	him
a	a	a
second	second	second
chance	chanc	chance
.	.	.

I	i	I
m	m	m
terrified	terrifi	terrified
about	about	about
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.

And	and	And
so	so	so
I	i	I
decided	decid	decided
to	to	to
support	support	support
him	him	him
and	and	and
I	i	I
thought	thought	thought
that	that	that
we	we	we
could	could	could
work	work	work
with	with	with
him	him	him
and	and	and
the	the	the
campaign	campaign	campaign
to	to	to
move	move	move
him	him	him
to	to	to
the	the	the
center	center	center
on	on	on
immigration	immigr	immigration
.	.	.

And	and	And
the	the	the
initial	initi	initial
response	respons	response
was	was	wa
very	veri	very
good	good	good
.	.	.

Aguilar	aguilar	Aguilar
pointed	point	pointed
out	out	out
the	the	the
inconsistencies	inconsist	inconsistency
in	in	in
Trump	trump	Trump
s	s	s
message	messag	message
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
harsh	harsh	harsh
policy	polici	policy
Trump	trump	Trump
was	was	wa
pushing	push	pushing
now	now	now
He	he	He
said	said	said
he	he	he
was	was	wa
going	go	going
to	to	to
treat	treat	treat
undocumented	undocu	undocumented
immigrants	immigr	immigrant
without	without	without
criminal	crimin	criminal
records	record	record
in	in	in
a	a	a
humane	human	humane
and	and	and
compassionate	compassion	compassionate
way	way	way
,	,	,
he	he	he
said	said	said
he	he	he
was	was	wa
going	go	going
to	to	to
soften	soften	soften
his	his	his
position	posit	position
.	.	.

And	and	And
then	then	then
we	we	we
heard	heard	heard
yesterday	yesterday	yesterday
and	and	and
I	i	I
was	was	wa
totally	total	totally
disappointed	disappoint	disappointed
,	,	,
not	not	not
surprised	surpris	surprised
,	,	,
but	but	but
disappointed	disappoint	disappointed
and	and	and
likely	like	likely
misled	misl	misled
.	.	.

Because	becaus	Because
he	he	he
gave	gave	gave
the	the	the
impression	impress	impression
,	,	,
the	the	the
campaign	campaign	campaign
gave	gave	gave
the	the	the
impression	impress	impression
until	until	until
yesterday	yesterday	yesterday
morning	morn	morning
that	that	that
he	he	he
was	was	wa
going	go	going
to	to	to
deal	deal	deal
with	with	with
the	the	the
undocumented	undocu	undocumented
in	in	in
a	a	a
compassionate	compassion	compassionate
way	way	way
.	.	.

And	and	And
in	in	in
that	that	that
speech	speech	speech
,	,	,
he	he	he
s	s	s
basically	basic	basically
saying	say	saying
,	,	,
we	we	we
deport	deport	deport
you	you	you
or	or	or
we	we	we
self	self	self
-deport	-deport	-deport
you	you	you
.	.	.

It	it	It
s	s	s
even	even	even
worse	wors	worse
than	than	than
what	what	what
he	he	he
initially	initi	initially
proposed	propos	proposed
.	.	.

Trump	trump	Trump
s	s	s
speech	speech	speech
was	was	wa
so	so	so
offensive	offens	offensive
,	,	,
that	that	that
Aguilar	aguilar	Aguilar
is	is	is
taking	take	taking
back	back	back
his	his	his
endorsement	endors	endorsement
of	of	of
Trump	trump	Trump
So	so	So
today	today	today
I	i	I
m	m	m
saying	say	saying
,	,	,
not	not	not
only	onli	only
am	am	am
I	i	I
considering	consid	considering
withdrawing	withdraw	withdrawing
my	my	my
support	support	support
,	,	,
I	i	I
m	m	m
telling	tell	telling
you	you	you
today	today	today
,	,	,
I	i	I
m	m	m
withdrawing	withdraw	withdrawing
my	my	my
support	support	support
from	from	from
Donald	donald	Donald
Trump	trump	Trump
.	.	.

And	and	And
it	it	it
s	s	s
not	not	not
only	onli	only
me	me	me
.	.	.

Many	mani	Many
like	like	like
me	me	me
think	think	think
the	the	the
same	same	same
way	way	way
.	.	.

I	i	I
m	m	m
so	so	so
sorry	sorri	sorry
,	,	,
I	i	I
just	just	just
can	can	can
t	t	t
be	be	be
part	part	part
of	of	of
that	that	that
.	.	.

Trump	trump	Trump
has	has	ha
flip	flip	flip
-flopped	-flop	-flopped
on	on	on
immigration	immigr	immigration
several	sever	several
times	time	time
over	over	over
the	the	the
last	last	last
few	few	few
weeks	week	week
,	,	,
but	but	but
it	it	it
seems	seem	seems
that	that	that
for	for	for
many	mani	many
of	of	of
his	his	his
supporters	support	supporter
,	,	,
this	this	this
is	is	is
the	the	the
final	final	final
straw	straw	straw
.	.	.

It	it	It
s	s	s
about	about	about
time	time	time
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshots	screenshot	screenshots

