On	on	On
Monday	monday	Monday
,	,	,
President	presid	President
Obama	obama	Obama
and	and	and
the	the	the
First	first	First
Lady	ladi	Lady
gave	gave	gave
numerous	numer	numerous
children	children	child
the	the	the
day	day	day
of	of	of
a	a	a
lifetime	lifetim	lifetime
at	at	at
their	their	their
final	final	final
installment	instal	installment
of	of	of
the	the	the
annual	annual	annual
White	white	White
House	hous	House
Easter	easter	Easter
Egg	egg	Egg
Roll	roll	Roll
.	.	.

During	dure	During
the	the	the
festivities	festiv	festivity
Barack	barack	Barack
and	and	and
Michelle	michell	Michelle
Obama	obama	Obama
read	read	read
Where	where	Where
the	the	the
Wild	wild	Wild
Things	thing	Things
Are	are	Are
to	to	to
a	a	a
group	group	group
of	of	of
children	children	child
and	and	and
the	the	the
First	first	First
Couple	coupl	Couple
really	realli	really
got	got	got
into	into	into
it	it	it
!	!	!
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Posted	post	Posted
by	by	by
BuzzFeed	buzzfe	BuzzFeed
News	news	News
on	on	on
Monday	monday	Monday
,	,	,
March	march	March
28	28	28
,	,	,
2016	2016	2016
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Posted	post	Posted
by	by	by
BuzzFeed	buzzfe	BuzzFeed
News	news	News
on	on	on
Monday	monday	Monday
,	,	,
March	march	March
28	28	28
,	,	,
2016At	2016at	2016At
one	one	one
point	point	point
they	they	they
were	were	were
interrupted	interrupt	interrupted
by	by	by
bees	bee	bee
,	,	,
which	which	which
finally	final	finally
gave	gave	gave
right	right	right
-wing	-wing	-wing
meme	meme	meme
artists	artist	artist
long	long	long
-coveted	-covet	-coveted
footage	footag	footage
of	of	of
the	the	the
President	presid	President
surrounded	surround	surrounded
by	by	by
screaming	scream	screaming
children	children	child
.	.	.

Fortunately	fortun	Fortunately
,	,	,
no	no	no
one	one	one
was	was	wa
stung	stung	stung
though	though	though
we	we	we
can	can	can
probably	probabl	probably
expect	expect	expect
to	to	to
hear	hear	hear
on	on	on
