If	if	If
you	you	you
need	need	need
more	more	more
proof	proof	proof
that	that	that
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
was	was	wa
a	a	a
pay	pay	pay
to	to	to
play	play	play
operation	oper	operation
here	here	here
it	it	it
is	is	is
!	!	!

Executives	execut	Executives
from	from	from
Estee	este	Estee
Lauder	lauder	Lauder
got	got	got
face	face	face
time	time	time
with	with	with
Clinton	clinton	Clinton
once	onc	once
they	they	they
donated	donat	donated
millions	million	million
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
.	.	.

The	the	The
left	left	left
is	is	is
trying	tri	trying
to	to	to
say	say	say
that	that	that
you	you	you
can	can	can
t	t	t
prove	prove	prove
a	a	a
connection	connect	connection
but	but	but
anyone	anyon	anyone
with	with	with
half	half	half
a	a	a
brain	brain	brain
would	would	would
be	be	be
able	abl	able
to	to	to
put	put	put
two	two	two
and	and	and
two	two	two
together	togeth	together
.	.	.

The	the	The
Prince	princ	Prince
of	of	of
Bahrain	bahrain	Bahrain
tried	tri	tried
repeatedly	repeat	repeatedly
to	to	to
meet	meet	meet
with	with	with
Hillary	hillari	Hillary
Clinton	clinton	Clinton
but	but	but
only	onli	only
after	after	after
donating	donat	donating
32	32	32
million	million	million
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
did	did	did
he	he	he
get	get	get
a	a	a
meeting	meet	meeting
.	.	.
Est	est	Est
e	e	e
Lauder	lauder	Lauder
executive	execut	executive
Nancy	nanci	Nancy
Mahon	mahon	Mahon
was	was	wa
appointed	appoint	appointed
to	to	to
a	a	a
government	govern	government
council	council	council
and	and	and
received	receiv	received
special	special	special
government	govern	government
employee	employe	employee
status	status	status
after	after	after
donating	donat	donating
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
while	while	while
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.
Executives	execut	Executives
at	at	at
Est	est	Est
e	e	e
Lauder	lauder	Lauder
were	were	were
among	among	among
those	those	those
who	who	who
got	got	got
face	face	face
time	time	time
with	with	with
Secretary	secretari	Secretary
Clinton	clinton	Clinton
after	after	after
they	they	they
donated	donat	donated
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
,	,	,
according	accord	according
to	to	to
an	an	an
AP	ap	AP
report	report	report
.	.	.

However	howev	However
,	,	,
Nancy	nanci	Nancy
Mahon	mahon	Mahon
not	not	not
only	onli	only
met	met	met
with	with	with
Clinton	clinton	Clinton
,	,	,
she	she	she
also	also	also
was	was	wa
appointed	appoint	appointed
to	to	to
a	a	a
government	govern	government
position	posit	position
after	after	after
a	a	a
fund	fund	fund
she	she	she
helped	help	helped
run	run	run
