While	while	While
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
,	,	,
reality	realiti	reality
show	show	show
star	star	star
Donald	donald	Donald
Trump	trump	Trump
vowed	vow	vowed
that	that	that
he	he	he
would	would	would
build	build	build
a	a	a
wall	wall	wall
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
southern	southern	southern
border	border	border
,	,	,
and	and	and
that	that	that
Mexico	mexico	Mexico
would	would	would
pay	pay	pay
for	for	for
it	it	it
.	.	.

Chants	chant	Chants
rang	rang	rang
out	out	out
from	from	from
his	his	his
supporters	support	supporter
at	at	at
each	each	each
rally	ralli	rally
to	to	to
Build	build	Build
that	that	that
wall	wall	wall
!	!	!

but	but	but
his	his	his
promise	promis	promise
is	is	is
now	now	now
crumbling	crumbl	crumbling
before	befor	before
his	his	his
fans	fan	fan
eyes	eye	eye
.	.	.

Firstly	first	Firstly
,	,	,
it	it	it
s	s	s
an	an	an
expensive	expens	expensive
endeavor	endeavor	endeavor
,	,	,
one	one	one
that	that	that
is	is	is
expected	expect	expected
to	to	to
cost	cost	cost
up	up	up
to	to	to
38	38	38
billion	billion	billion
.	.	.

And	and	And
Mexico	mexico	Mexico
will	will	will
not	not	not
pay	pay	pay
for	for	for
it	it	it
.	.	.

We	we	We
will	will	will
.	.	.

Taxpayers	taxpay	Taxpayers
will	will	will
be	be	be
footing	foot	footing
the	the	the
bill	bill	bill
for	for	for
his	his	his
wall	wall	wall
.	.	.

Yet	yet	Yet
,	,	,
the	the	the
president	presid	president
-elect	-elect	-elect
now	now	now
says	say	say
that	that	that
it	it	it
will	will	will
be	be	be
built	built	built
,	,	,
and	and	and
Mexico	mexico	Mexico
will	will	will
pay	pay	pay
for	for	for
it	it	it
later	later	later
.	.	.

And	and	And
now	now	now
,	,	,
even	even	even
Republicans	republican	Republicans
know	know	know
that	that	that
he	he	he
s	s	s
full	full	full
of	of	of
it	it	it
.	.	.
A	a	A
number	number	number
of	of	of
Republicans	republican	Republicans
interviewed	interview	interviewed
by	by	by
CNN	cnn	CNN
suggested	suggest	suggested
that	that	that
Trump	trump	Trump
s	s	s
claim	claim	claim
amounted	amount	amounted
to	to	to
wishful	wish	wishful
thinking	think	thinking
,	,	,
saying	say	saying
they	they	they
believe	believ	believe
the	the	the
alleged	alleg	alleged
billionaire	billionair	billionaire
would	would	would
ultimately	ultim	ultimately
backtrack	backtrack	backtrack
on	on	on
one	one	one
of	of	of
his	his	his
central	central	central
campaign	campaign	campaign
promises	promis	promise
.	.	.

I	i	I
doubt	doubt	doubt
that	that	that
they	they	they
re	re	re
going	go	going
to	to	to
pay	pay	pay
for	for	for
it	it	it
,	,	,
said	said	said
Utah	utah	Utah
Sen	sen	Sen
.	.	.

Orrin	orrin	Orrin
Hatch	hatch	Hatch
.	.	.

There	there	There
s	s	s
a	a	a
lot	lot	lot
he	he	he
could	could	could
do	do	do
if	if	if
he	he	he
wanted	want	wanted
to	to	to
force	forc	force
Mexico	mexico	Mexico
s	s	s
hand	hand	hand
.	.	.

In	in	In
all	all	all
honesty	honesti	honesty
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
that	that	that
s	s	s
going	go	going
to	to	to
happen	happen	happen
.	.	.

Rep	rep	Rep
.	.	.

Mike	mike	Mike
Coffman	coffman	Coffman
,	,	,
a	a	a
Colorado	colorado	Colorado
Republican	republican	Republican
,	,	,
said	said	said
,	,	,
I	i	I
never	never	never
thought	thought	thought
that	that	that
would	would	would
happen	happen	happen
.	.	.

I	i	I
thought	thought	thought
it	it	it
was	was	wa
a	a	a
gimmick	gimmick	gimmick
.	.	.

Trump	trump	Trump
will	will	will
face	face	face
a	a	a
backlash	backlash	backlash
if	if	if
he	he	he
fails	fail	fails
to	to	to
keep	keep	keep
his	his	his
promise	promis	promise
.	.	.

I	i	I
m	m	m
for	for	for
building	build	building
a	a	a
wall	wall	wall
,	,	,
said	said	said
Rep	rep	Rep
.	.	.

Mo	mo	Mo
Brooks	brook	Brooks
.	.	.

And	and	And
