Who	who	Who
knew	knew	knew
that	that	that
Rick	rick	Rick
Perry	perri	Perry
would	would	would
come	come	come
up	up	up
with	with	with
an	an	an
idea	idea	idea
for	for	for
stopping	stop	stopping
sexual	sexual	sexual
assault	assault	assault
?	?	?

He	he	He
no	no	no
doubt	doubt	doubt
thinks	think	think
he	he	he
s	s	s
absolutely	absolut	absolutely
brilliant	brilliant	brilliant
because	becaus	because
his	his	his
idea	idea	idea
is	is	is
fossil	fossil	fossil
fuels	fuel	fuel
.	.	.

Yes	yes	Yes
,	,	,
he	he	he
thinks	think	think
fossil	fossil	fossil
fuels	fuel	fuel
can	can	can
help	help	help
stop	stop	stop
the	the	the
problems	problem	problem
with	with	with
massive	massiv	massive
rape	rape	rape
in	in	in
developing	develop	developing
countries	countri	country
.	.	.

But	but	But
while	while	while
he	he	he
thinks	think	think
he	he	he
s	s	s
shining	shine	shining
a	a	a
light	light	light
on	on	on
an	an	an
amazingly	amaz	amazingly
novel	novel	novel
idea	idea	idea
,	,	,
he	he	he
s	s	s
really	realli	really
being	be	being
insanely	insan	insanely
offensive	offens	offensive
to	to	to
all	all	all
the	the	the
victims	victim	victim
of	of	of
rape	rape	rape
in	in	in
the	the	the
world	world	world
.	.	.

Here	here	Here
s	s	s
how	how	how
he	he	he
managed	manag	managed
to	to	to
combine	combin	combine
fossil	fossil	fossil
fuels	fuel	fuel
with	with	with
sexual	sexual	sexual
assault	assault	assault
But	but	But
also	also	also
from	from	from
the	the	the
standpoint	standpoint	standpoint
of	of	of
sexual	sexual	sexual
assault	assault	assault
,	,	,
when	when	when
the	the	the
lights	light	light
are	are	are
on	on	on
,	,	,
when	when	when
you	you	you
have	have	have
light	light	light
that	that	that
shines	shine	shine
,	,	,
the	the	the
righteousness	righteous	righteousness
,	,	,
if	if	if
you	you	you
will	will	will
,	,	,
on	on	on
those	those	those
types	type	type
of	of	of
acts	act	act
.	.	.

So	so	So
from	from	from
the	the	the
standpoint	standpoint	standpoint
of	of	of
how	how	how
you	you	you
really	realli	really
affect	affect	affect
people	peopl	people
s	s	s
lives	live	life
,	,	,
fossil	fossil	fossil
fuels	fuel	fuel
is	is	is
going	go	going
to	to	to
play	play	play
a	a	a
role	role	role
in	in	in
that	that	that
.	.	.

I	i	I
happen	happen	happen
to	to	to
think	think	think
it	it	it
s	s	s
going	go	going
to	to	to
play	play	play
a	a	a
positive	posit	positive
role	role	role
.	.	.

Well	well	Well
gee	gee	gee
,	,	,
so	so	so
sorry	sorri	sorry
you	you	you
were	were	were
raped	rape	raped
but	but	but
your	your	your
village	villag	village
doesn	doesn	doesn
t	t	t
have	have	have
electricity	electr	electricity
yet	yet	yet
.	.	.

That	that	That
totally	total	totally
would	would	would
have	have	have
stopped	stop	stopped
it	it	it
.	.	.

Does	doe	Does
he	he	he
not	not	not
know	know	know
that	that	that
they	they	they
already	alreadi	already
have	have	have
ways	way	way
to	to	to
light	light	light
their	their	their
dwellings	dwell	dwelling
and	and	and
their	their	their
villages	villag	village
?	?	?

We	we	We
won	won	won
t	t	t
even	even	even
ask	ask	ask
whether	whether	whether
he	he	he
understands	understand	understands
what	what	what
rape	rape	rape
is	is	is
and	and	and
why	whi	why
it	it	it
happens	happen	happens
it	it	it
s	s	s
clear	clear	clear
he	he	he
thinks	think	think
it	it	it
s	s	s
only	onli	only
a	a	a
violent	violent	violent
act	act	act
that	that	that
happens	happen	happens
in	in	in
darkness	dark	darkness
.	.	.
That	that	That
s	s	s
not	not	not
just	just	just
offensive	offens	offensive
to	to	to
rape	rape	rape
victims	victim	victim
in	in	in
the	the	the
developing	develop	developing
world	world	world
,	,	,
it	it	it
s	s	s
offensive	offens	offensive
to	to	to
all	all	all
rape	rape	rape
victims	victim	victim
everywhere	everywher	everywhere
.	.	.

But	but	But
Rick	rick	Rick
Perry	perri	Perry
hails	hail	hail
from	from	from
the	the	the
crowd	crowd	crowd
that	that	that
blames	blame	blame
women	women	woman
for	for	for
sexual	sexual	sexual
assault	assault	assault
and	and	and
harassment	harass	harassment
.	.	.

It	it	It
wouldn	wouldn	wouldn
t	t	t
be	be	be
surprising	surpris	surprising
to	to	to
find	find	find
that	that	that
he	he	he
thinks	think	think
keeping	keep	keeping
lights	light	light
on	on	on
will	will	will
stop	stop	stop
the	the	the
rape	rape	rape
gangs	gang	gang
in	in	in
South	south	South
Africa	africa	Africa
and	and	and
elsewhere	elsewher	elsewhere
.	.	.
There	there	There
s	s	s
also	also	also
the	the	the
fact	fact	fact
that	that	that
Perry	perri	Perry
doesn	doesn	doesn
t	t	t
believe	believ	believe
that	that	that
fossil	fossil	fossil
fuels	fuel	fuel
are	are	are
responsible	respons	responsible
for	for	for
accelerating	acceler	accelerating
climate	climat	climate
change	chang	change
,	,	,
so	so	so
of	of	of
course	cours	course
he	he	he
s	s	s
going	go	going
to	to	to
put	put	put
his	his	his
ignorance	ignor	ignorance
on	on	on
display	display	display
like	like	like
this	this	this
.	.	.

To	to	To
that	that	that
,	,	,
we	we	we
say	say	say
,	,	,
go	go	go
home	home	home
,	,	,
Perry	perri	Perry
.	.	.

You	you	You
are	are	are
disgusting	disgust	disgusting
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Kevin	kevin	Kevin
Dietsch	dietsch	Dietsch
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images

