On	on	On
Wednesday	wednesday	Wednesday
,	,	,
failing	fail	failing
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
attempted	attempt	attempted
to	to	to
distract	distract	distract
from	from	from
his	his	his
ongoing	ongo	ongoing
troubles	troubl	trouble
with	with	with
his	his	his
administration	administr	administration
s	s	s
numerous	numer	numerous
,	,	,
suspicious	suspici	suspicious
,	,	,
and	and	and
likely	like	likely
treasonous	treason	treasonous
ties	tie	tie
to	to	to
Russia	russia	Russia
by	by	by
once	onc	once
again	again	again
attacking	attack	attacking
media	media	medium
he	he	he
considers	consid	considers
adversarial	adversari	adversarial
which	which	which
,	,	,
of	of	of
course	cours	course
,	,	,
is	is	is
anyone	anyon	anyone
but	but	but
Fox	fox	Fox
News	news	News
and	and	and
Breitbart	breitbart	Breitbart
at	at	at
this	this	this
point	point	point
.	.	.

In	in	In
this	this	this
case	case	case
,	,	,
he	he	he
once	onc	once
again	again	again
went	went	went
after	after	after
the	the	the
failing	fail	failing
New	new	New
York	york	York
Times	time	Times
.	.	.

Remember	rememb	Remember
when	when	when
the	the	the
failing	fail	failing
@nytimes	@nytim	@nytimes
apologized	apolog	apologized
to	to	to
its	it	it
subscribers	subscrib	subscriber
,	,	,
right	right	right
after	after	after
the	the	the
election	elect	election
,	,	,
because	becaus	because
their	their	their
coverage	coverag	coverage
was	was	wa
so	so	so
wrong	wrong	wrong
,	,	,
Trump	trump	Trump
tweeted	tweet	tweeted
.	.	.

Now	now	Now
worse	wors	worse
!	!	!

Remember	rememb	Remember
when	when	when
the	the	the
failing	fail	failing
@nytimes	@nytim	@nytimes
apologized	apolog	apologized
to	to	to
its	it	it
subscribers	subscrib	subscriber
,	,	,
right	right	right
after	after	after
the	the	the
election	elect	election
,	,	,
because	becaus	because
their	their	their
coverage	coverag	coverage
was	was	wa
so	so	so
wrong	wrong	wrong
.	.	.

Now	now	Now
worse	wors	worse
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
29	29	29
,	,	,
2017No	2017no	2017No
.	.	.
No	no	No
one	one	one
remembers	rememb	remembers
that	that	that
because	becaus	because
it	it	it
didn	didn	didn
t	t	t
happen	happen	happen
.	.	.

Trump	trump	Trump
,	,	,
of	of	of
course	cours	course
,	,	,
is	is	is
referencing	referenc	referencing
a	a	a
200	200	200
-word	-word	-word
letter	letter	letter
printed	print	printed
by	by	by
the	the	the
Times	time	Times
after	after	after
the	the	the
election	elect	election
thanking	thank	thanking
readers	reader	reader
for	for	for
their	their	their
loyalty	loyalti	loyalty
and	and	and
pledging	pledg	pledging
to	to	to
rededicate	reded	rededicate
itself	itself	itself
to	to	to
the	the	the
same	same	same
high	high	high
journalistic	journalist	journalistic
standards	standard	standard
to	to	to
which	which	which
the	the	the
publication	public	publication
has	has	ha
always	alway	always
held	held	held
itself	itself	itself
.	.	.

At	at	At
no	no	no
point	point	point
did	did	did
the	the	the
Times	time	Times
which	which	which
has	has	ha
broken	broken	broken
numerous	numer	numerous
stories	stori	story
that	that	that
were	were	were
uncomfortable	uncomfort	uncomfortable
for	for	for
The	the	The
Donald	donald	Donald
and	and	and
doubled	doubl	doubled
its	it	it
subscriptions	subscript	subscription
in	in	in
2016	2016	2016
so	so	so
much	much	much
for	for	for
failing	fail	failing
,	,	,
huh	huh	huh
?	?	?
say	say	say
its	it	it
excellent	excel	excellent
coverage	coverag	coverage
was	was	wa
bad	bad	bad
nor	nor	nor
did	did	did
they	they	they
apologize	apolog	apologize
to	to	to
their	their	their
readers	reader	reader
.	.	.

If	if	If
the	the	the
people	peopl	people
of	of	of
our	our	our
great	great	great
country	countri	country
could	could	could
only	onli	only
see	see	see
how	how	how
viciously	vicious	viciously
and	and	and
inaccurately	inaccur	inaccurately
my	my	my
administration	administr	administration
is	is	is
covered	cover	covered
