Meanwhile	meanwhil	Meanwhile
Trump	trump	Trump
is	is	is
about	about	about
to	to	to
make	make	make
history	histori	history
for	for	for
claiming	claim	claiming
the	the	the
most	most	most
votes	vote	vote
ever	ever	ever
in	in	in
the	the	the
history	histori	history
of	of	of
the	the	the
GOP	gop	GOP
primaries	primari	primary
.	.	.
What	what	What
was	was	wa
that	that	that
the	the	the
mainstream	mainstream	mainstream
media	media	medium
keeps	keep	keep
saying	say	saying
about	about	about
Trump	trump	Trump
not	not	not
being	be	being
able	abl	able
to	to	to
beat	beat	beat
Hillary	hillari	Hillary
?	?	?
Former	former	Former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
has	has	ha
badly	bad	badly
underperformed	underperform	underperformed
in	in	in
2016	2016	2016
compared	compar	compared
with	with	with
her	her	her
first	first	first
run	run	run
for	for	for
president	presid	president
in	in	in
2008	2008	2008
,	,	,
a	a	a
new	new	new
data	data	data
analysis	analysi	analysis
done	done	done
exclusively	exclus	exclusively
by	by	by
Breitbart	breitbart	Breitbart
News	news	News
shows	show	show
.	.	.
It	it	It
s	s	s
particularly	particular	particularly
telling	tell	telling
that	that	that
she	she	she
s	s	s
gotten	gotten	gotten
fewer	fewer	fewer
votes	vote	vote
in	in	in
2016	2016	2016
than	than	than
she	she	she
did	did	did
in	in	in
2008	2008	2008
,	,	,
especially	especi	especially
because	becaus	because
of	of	of
the	the	the
fact	fact	fact
that	that	that
the	the	the
2008	2008	2008
race	race	race
was	was	wa
a	a	a
three	three	three
-way	-way	-way
race	race	race
for	for	for
some	some	some
time	time	time
between	between	between
Clinton	clinton	Clinton
,	,	,
now	now	now
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
and	and	and
ex	ex	ex
-Sen	-sen	-Sen
.	.	.
John	john	John
Edwards	edward	Edwards
.	.	.
She	she	She
was	was	wa
,	,	,
despite	despit	despite
being	be	being
the	the	the
frontrunner	frontrunn	frontrunner
for	for	for
some	some	some
time	time	time
,	,	,
the	the	the
ultimate	ultim	ultimate
loser	loser	loser
of	of	of
that	that	that
race	race	race
and	and	and
she	she	she
got	got	got
more	more	more
votes	vote	vote
that	that	that
year	year	year
in	in	in
a	a	a
much	much	much
more	more	more
competitive	competit	competitive
primary	primari	primary
that	that	that
she	she	she
ended	end	ended
up	up	up
losing	lose	losing
than	than	than
she	she	she
has	has	ha
this	this	this
year	year	year
against	against	against
a	a	a
devout	devout	devout
,	,	,
proud	proud	proud
socialist	socialist	socialist
in	in	in
Sen	sen	Sen
.	.	.
Bernie	berni	Bernie
Sanders	sander	Sanders
I	i	I
-VT	-vt	-VT
of	of	of
Vermont	vermont	Vermont
.	.	.
Clinton	clinton	Clinton
is	is	is
widely	wide	widely
expected	expect	expected
to	to	to
be	be	be
the	the	the
Democratic	democrat	Democratic
nominee	nomine	nominee
in	in	in
2016	2016	2016
,	,	,
but	but	but
her	her	her
poor	poor	poor
performance	perform	performance
in	in	in
the	the	the
primaries	primari	primary
which	which	which
many	mani	many
believe	believ	believe
she	she	she
should	should	should
have	have	have
wrapped	wrap	wrapped
up	up	up
long	long	long
ago	ago	ago
may	may	may
drag	drag	drag
her	her	her
down	down	down
heading	head	heading
into	into	into
the	the	the
general	general	general
election	elect	election
,	,	,
as	as	a
even	even	even
many	mani	many
Democratic	democrat	Democratic
voters	voter	voter
seem	seem	seem
to	to	to
distrust	distrust	distrust
her	her	her
.	.	.
To	to	To
win	win	win
