How	how	How
very	veri	very
progressive	progress	progressive
While	while	While
Hillary	hillari	Hillary
insults	insult	insult
women	women	woman
who	who	who
are	are	are
victims	victim	victim
of	of	of
sexual	sexual	sexual
abuse	abus	abuse
,	,	,
her	her	her
creepy	creepi	creepy
VP	vp	VP
uses	use	us
women	women	woman
who	who	who
are	are	are
forced	forc	forced
to	to	to
live	live	live
like	like	like
they	they	they
re	re	re
still	still	still
in	in	in
the	the	the
dark	dark	dark
ages	age	age
,	,	,
as	as	a
progressive	progress	progressive
role	role	role
models	model	model
for	for	for
American	american	American
women	women	woman
Vice	vice	Vice
presidential	presidenti	presidential
candidate	candid	candidate
Sen	sen	Sen
.	.	.

Tim	tim	Tim
Kaine	kain	Kaine
,	,	,
D	d	D
-Va	-va	-Va
.	.	.
,	,	,
said	said	said
Tuesday	tuesday	Tuesday
that	that	that
the	the	the
United	unit	United
States	state	States
has	has	ha
made	made	made
it	it	it
difficult	difficult	difficult
for	for	for
women	women	woman
to	to	to
be	be	be
elected	elect	elected
to	to	to
higher	higher	higher
office	offic	office
,	,	,
and	and	and
argued	argu	argued
that	that	that
America	america	America
ranks	rank	rank
behind	behind	behind
Iraq	iraq	Iraq
,	,	,
Afghanistan	afghanistan	Afghanistan
and	and	and
Rwanda	rwanda	Rwanda
in	in	in
this	this	this
area	area	area
.	.	.

It	it	It
took	took	took
144	144	144
years	year	year
before	befor	before
women	women	woman
even	even	even
got	got	got
the	the	the
right	right	right
to	to	to
vote	vote	vote
in	in	in
this	this	this
country	countri	country
,	,	,
Kaine	kain	Kaine
said	said	said
at	at	at
a	a	a
campaign	campaign	campaign
rally	ralli	rally
in	in	in
Fayetteville	fayettevill	Fayetteville
,	,	,
N	n	N
.	.	.
C	c	C
.	.	.
What	what	What
were	were	were
we	we	we
thinking	think	thinking
when	when	when
we	we	we
said	said	said
equality	equal	equality
mattered	matter	mattered
,	,	,
but	but	but
no	no	no
.	.	.

One	one	One
hundred	hundr	hundred
and	and	and
forty	forti	forty
four	four	four
years	year	year
.	.	.

It	it	It
took	took	took
us	us	u
that	that	that
long	long	long
to	to	to
say	say	say
in	in	in
1920	1920	1920
,	,	,
to	to	to
say	say	say
women	women	woman
get	get	get
a	a	a
right	right	right
to	to	to
vote	vote	vote
.	.	.

And	and	And
now	now	now
we	we	we
re	re	re
96	96	96
years	year	year
later	later	later
and	and	and
we	we	we
have	have	have
just	just	just
nominated	nomin	nominated
a	a	a
woman	woman	woman
.	.	.

We	we	We
know	know	know
we	we	we
haven	haven	haven
t	t	t
had	had	had
a	a	a
woman	woman	woman
president	presid	president
.	.	.

But	but	But
in	in	in
Congress	congress	Congress
right	right	right
now	now	now
,	,	,
we	we	we
re	re	re
doing	do	doing
the	the	the
best	best	best
job	job	job
we	we	we
have	have	have
ever	ever	ever
done	done	done
in	in	in
women	women	woman
in	in	in
the	the	the
federal	feder	federal
legislature	legislatur	legislature
19	19	19
percent	percent	percent
.	.	.

That	that	That
s	s	s
the	the	the
best	best	best
job	job	job
we	we	we
ve	ve	ve
ever	ever	ever
done	done	done
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
