Just	just	Just
about	about	about
every	everi	every
journalist	journalist	journalist
who	who	who
was	was	wa
waiting	wait	waiting
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
report	report	report
the	the	the
incident	incid	incident
of	of	of
verbal	verbal	verbal
harassment	harass	harassment
by	by	by
Donald	donald	Donald
Trump	trump	Trump
s	s	s
top	top	top
adviser	advis	adviser
.	.	.
As	as	As
Trump	trump	Trump
continues	continu	continues
to	to	to
expect	expect	expect
and	and	and
demand	demand	demand
that	that	that
the	the	the
media	media	medium
say	say	say
nothing	noth	nothing
but	but	but
good	good	good
thing	thing	thing
about	about	about
him	him	him
and	and	and
his	his	his
administration	administr	administration
,	,	,
Steve	steve	Steve
Bannon	bannon	Bannon
undermined	undermin	undermined
him	him	him
by	by	by
directly	direct	directly
insulting	insult	insulting
the	the	the
many	mani	many
reporters	report	reporter
who	who	who
were	were	were
lined	line	lined
up	up	up
waiting	wait	waiting
outside	outsid	outside
of	of	of
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
s	s	s
office	offic	office
on	on	on
Wednesday	wednesday	Wednesday
afternoon	afternoon	afternoon
.	.	.
As	as	As
the	the	the
reporters	report	reporter
were	were	were
waiting	wait	waiting
,	,	,
Steve	steve	Steve
Bannon	bannon	Bannon
walked	walk	walked
out	out	out
of	of	of
the	the	the
office	offic	office
with	with	with
Reince	reinc	Reince
Priebus	priebus	Priebus
and	and	and
said	said	said
,	,	,
the	the	the
opposition	opposit	opposition
party	parti	party
,	,	,
all	all	all
lined	line	lined
up	up	up
!	!	!

CNN	cnn	CNN
s	s	s
Jim	jim	Jim
Acosta	acosta	Acosta
wrote	wrote	wrote
Bannon	bannon	Bannon
with	with	with
Priebus	priebus	Priebus
to	to	to
reporters	report	reporter
gathered	gather	gathered
outside	outsid	outside
Spicer	spicer	Spicer
s	s	s
office	offic	office
the	the	the
opposition	opposit	opposition
party	parti	party
.	.	.

Jim	jim	Jim
Acosta	acosta	Acosta
@Acosta	@acosta	@Acosta
February	februari	February
15	15	15
,	,	,
2017The	2017the	2017The
Dallas	dalla	Dallas
News	news	News
was	was	wa
also	also	also
there	there	there
Bannon	bannon	Bannon
emerges	emerg	emerges
w	w	w
Priebus	priebus	Priebus
from	from	from
@presssec	@presssec	@presssec
office	offic	office
,	,	,
spots	spot	spot
20	20	20
or	or	or
so	so	so
reporters	report	reporter
camped	camp	camped
out	out	out
,	,	,
says	say	say
,	,	,
The	the	The
opposition	opposit	opposition
party	parti	party
,	,	,
all	all	all
lined	line	lined
up	up	up
.	.	.

Todd	todd	Todd
J	j	J
.	.	.

Gillman	gillman	Gillman
@toddgillman	@toddgillman	@toddgillman
February	februari	February
15	15	15
,	,	,
2017So	2017so	2017So
was	was	wa
Roll	roll	Roll
Call	call	Call
Steve	steve	Steve
Bannon	bannon	Bannon
and	and	and
@Reince	@reinc	@Reince
walk	walk	walk
by	by	by
reporters	report	reporter
awaiting	await	awaiting
gaggle	gaggl	gaggle
The	the	The
opposition	opposit	opposition
party	parti	party
all	all	all
lined	line	lined
up	up	up
,	,	,
Bannon	bannon	Bannon
said	said	said
.	.	.

John	john	John
T	t	T
.	.	.

Bennett	bennett	Bennett
@BennettJohnT	@bennettjohnt	@BennettJohnT
February	februari	February
15	15	15
,	,	,
2017And	2017and	2017And
the	the	the
New	new	New
York	york	York
Times	time	Times
Reince	reinc	Reince
Bannon	bannon	Bannon
emerged	emerg	emerged
from	from	from
Spicer	spicer	Spicer
s	s	s
office	offic	office
just	just	just
now	now	now
,	,	,
looked	look	looked
at	at	at
scrum	scrum	scrum
of	of	of
reporters	report	reporter
.	.	.

Bannon	bannon	Bannon
The	the	The
opposition	opposit	opposition
party	parti	party
,	,	,
all	all	all
lined	line	lined
up	up	up
.	.	.

Julie	juli	Julie
Davis	davi	Davis
@juliehdavis	@juliehdavi	@juliehdavis
February	februari	February
15	15	15
,	,	,
2017The	2017the	2017The
Daily	daili	Daily
Mail	mail	Mail
,	,	,
too	too	too
Steve	steve	Steve
Bannon	bannon	Bannon
walks	walk	walk
by	by	by
a	a	a
large	larg	large
group	group	group
of	of	of
reporters	report	reporter
camping	camp	camping
out	out	out
,	,	,
says	say	say
to	to	to
us	us	u
,	,	,
The	the	The
opposition	opposit	opposition
party	parti	party
,	,	,
all	all	all
lined	line	lined
up	up	up
.	.	.

Francesca	francesca	Francesca
Chambers	chamber	Chambers
@fran_chambers	@fran_chamb	@fran_chambers
February	februari	February
15	15	15
,	,	,
2017Bannon	2017bannon	2017Bannon
has	has	ha
been	been	been
calling	call	calling
the	the	the
media	media	medium
the	the	the
opposition	opposit	opposition
party	parti	party
for	for	for
a	a	a
few	few	few
weeks	week	week
now	now	now
and	and	and
the	the	the
term	term	term
has	has	ha
disturbed	disturb	disturbed
media	media	medium
outlets	outlet	outlet
and	and	and
defenders	defend	defender
of	of	of
the	the	the
free	free	free
press	press	press
because	becaus	because
it	it	it
s	s	s
usually	usual	usually
dictators	dictat	dictator
who	who	who
see	see	see
the	the	the
press	press	press
as	as	a
the	the	the
enemy	enemi	enemy
.	.	.
During	dure	During
a	a	a
phone	phone	phone
call	call	call
with	with	with
the	the	the
New	new	New
York	york	York
Times	time	Times
last	last	last
month	month	month
,	,	,
Bannon	bannon	Bannon
whined	whine	whined
about	about	about
the	the	the
media	media	medium
and	and	and
said	said	said
they	they	they
should	should	should
keep	keep	keep
their	their	their
mouths	mouth	mouth
shut	shut	shut
and	and	and
listen	listen	listen
and	and	and
used	use	used
the	the	the
term	term	term
opposition	opposit	opposition
party	parti	party
to	to	to
describe	describ	describe
the	the	the
media	media	medium
for	for	for
the	the	the
first	first	first
time	time	time
.	.	.

The	the	The
media	media	medium
should	should	should
be	be	be
embarrassed	embarrass	embarrassed
and	and	and
humiliated	humili	humiliated
and	and	and
keep	keep	keep
its	it	it
mouth	mouth	mouth
shut	shut	shut
and	and	and
just	just	just
listen	listen	listen
for	for	for
awhile	awhil	awhile
,	,	,
Bannon	bannon	Bannon
said	said	said
.	.	.

I	i	I
want	want	want
you	you	you
to	to	to
quote	quot	quote
this	this	this
.	.	.

The	the	The
media	media	medium
here	here	here
is	is	is
the	the	the
opposition	opposit	opposition
party	parti	party
.	.	.

They	they	They
don	don	don
t	t	t
understand	understand	understand
this	this	this
country	countri	country
.	.	.

They	they	They
still	still	still
do	do	do
not	not	not
understand	understand	understand
why	whi	why
Donald	donald	Donald
Trump	trump	Trump
is	is	is
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

Clearly	clear	Clearly
,	,	,
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
team	team	team
only	onli	only
consider	consid	consider
conservative	conserv	conservative
media	media	medium
outlets	outlet	outlet
real	real	real
news	news	news
because	becaus	because
they	they	they
don	don	don
t	t	t
ask	ask	ask
tough	tough	tough
questions	question	question
and	and	and
they	they	they
wholeheartedly	wholeheart	wholeheartedly
support	support	support
Trump	trump	Trump
and	and	and
his	his	his
destructive	destruct	destructive
agenda	agenda	agenda
.	.	.

Over	over	Over
the	the	the
last	last	last
three	three	three
press	press	press
conferences	confer	conference
,	,	,
Trump	trump	Trump
has	has	ha
only	onli	only
taken	taken	taken
questions	question	question
from	from	from
conservative	conserv	conservative
outlets	outlet	outlet
.	.	.
But	but	But
real	real	real
journalists	journalist	journalist
are	are	are
supposed	suppos	supposed
to	to	to
be	be	be
tough	tough	tough
.	.	.

They	they	They
are	are	are
supposed	suppos	supposed
to	to	to
ask	ask	ask
hard	hard	hard
-hitting	-hit	-hitting
questions	question	question
.	.	.

They	they	They
are	are	are
not	not	not
supposed	suppos	supposed
to	to	to
be	be	be
propaganda	propaganda	propaganda
outlets	outlet	outlet
for	for	for
the	the	the
president	presid	president
.	.	.

But	but	But
apparently	appar	apparently
that	that	that
s	s	s
what	what	what
Trump	trump	Trump
and	and	and
Bannon	bannon	Bannon
expect	expect	expect
the	the	the
media	media	medium
to	to	to
be	be	be
.	.	.

If	if	If
they	they	they
had	had	had
their	their	their
way	way	way
,	,	,
America	america	America
would	would	would
not	not	not
have	have	have
a	a	a
free	free	free
press	press	press
at	at	at
all	all	all
.	.	.
Every	everi	Every
time	time	time
Bannon	bannon	Bannon
and	and	and
Trump	trump	Trump
insult	insult	insult
the	the	the
media	media	medium
they	they	they
are	are	are
only	onli	only
provoking	provok	provoking
journalists	journalist	journalist
.	.	.

And	and	And
provoked	provok	provoked
journalists	journalist	journalist
work	work	work
hard	hard	hard
to	to	to
expose	expos	expose
the	the	the
lies	lie	lie
and	and	and
scandals	scandal	scandal
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
the	the	the
American	american	American
people	peopl	people
to	to	to
know	know	know
about	about	about
.	.	.
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Steve	steve	Steve
Bannon	bannon	Bannon
are	are	are
fascists	fascist	fascist
.	.	.

And	and	And
fascists	fascist	fascist
should	should	should
not	not	not
have	have	have
any	ani	any
power	power	power
whatsoever	whatsoev	whatsoever
in	in	in
our	our	our
country	countri	country
.	.	.

If	if	If
that	that	that
were	were	were
not	not	not
the	the	the
case	case	case
,	,	,
our	our	our
World	world	World
War	war	War
II	ii	II
generation	generat	generation
would	would	would
have	have	have
just	just	just
let	let	let
the	the	the
fascists	fascist	fascist
win	win	win
without	without	without
a	a	a
fight	fight	fight
.	.	.
And	and	And
fighting	fight	fighting
is	is	is
what	what	what
the	the	the
press	press	press
and	and	and
the	the	the
American	american	American
people	peopl	people
must	must	must
do	do	do
now	now	now
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images

