Ever	ever	Ever
notice	notic	notice
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
more	more	more
than	than	than
willing	will	willing
to	to	to
attack	attack	attack
people	peopl	people
when	when	when
they	they	they
aren	aren	aren
t	t	t
around	around	around
,	,	,
but	but	but
cowardly	coward	cowardly
tucks	tuck	tuck
his	his	his
tail	tail	tail
between	between	between
his	his	his
legs	leg	leg
when	when	when
he	he	he
is	is	is
face	face	face
-to-face	-to-fac	-to-face
with	with	with
them	them	them
?	?	?
Joy	joy	Joy
Reid	reid	Reid
certainly	certain	certainly
noticed	notic	noticed
.	.	.
During	dure	During
an	an	an
appearance	appear	appearance
on	on	on
the	the	the
Rachel	rachel	Rachel
Maddow	maddow	Maddow
Show	show	Show
on	on	on
Thursday	thursday	Thursday
night	night	night
,	,	,
Reid	reid	Reid
pointed	point	pointed
out	out	out
that	that	that
although	although	although
Republican	republican	Republican
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
brags	brag	brag
about	about	about
being	be	being
tough	tough	tough
when	when	when
he	he	he
is	is	is
bullying	bulli	bullying
people	peopl	people
,	,	,
he	he	he
acts	act	act
like	like	like
a	a	a
total	total	total
coward	coward	coward
when	when	when
the	the	the
people	peopl	people
he	he	he
is	is	is
trying	tri	trying
to	to	to
bully	bulli	bully
are	are	are
in	in	in
the	the	the
same	same	same
room	room	room
with	with	with
him	him	him
.	.	.
To	to	To
make	make	make
her	her	her
case	case	case
,	,	,
Reid	reid	Reid
brought	brought	brought
up	up	up
the	the	the
fact	fact	fact
that	that	that
despite	despit	despite
Trump	trump	Trump
declaring	declar	declaring
that	that	that
Mexico	mexico	Mexico
will	will	will
pay	pay	pay
for	for	for
his	his	his
ridiculous	ridicul	ridiculous
wall	wall	wall
he	he	he
was	was	wa
timid	timid	timid
during	dure	during
his	his	his
meeting	meet	meeting
with	with	with
the	the	the
Mexican	mexican	Mexican
president	presid	president
.	.	.
The	the	The
bully	bulli	bully
instantly	instant	instantly
became	becam	became
the	the	the
coward	coward	coward
and	and	and
it	it	it
became	becam	became
clear	clear	clear
that	that	that
Trump	trump	Trump
only	onli	only
pretends	pretend	pretend
to	to	to
be	be	be
tough	tough	tough
in	in	in
front	front	front
of	of	of
his	his	his
own	own	own
supporters	support	supporter
.	.	.
The	the	The
fact	fact	fact
that	that	that
Trump	trump	Trump
resumed	resum	resumed
his	his	his
pretended	pretend	pretended
toughness	tough	toughness
and	and	and
bullying	bulli	bullying
towards	toward	towards
Mexico	mexico	Mexico
only	onli	only
when	when	when
he	he	he
returned	return	returned
to	to	to
the	the	the
United	unit	United
States	state	States
to	to	to
deliver	deliv	deliver
a	a	a
speech	speech	speech
in	in	in
Arizona	arizona	Arizona
is	is	is
proof	proof	proof
that	that	that
Trump	trump	Trump
is	is	is
all	all	all
talk	talk	talk
and	and	and
no	no	no
walk	walk	walk
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
even	even	even
though	though	though
he	he	he
trashed	trash	trashed
the	the	the
black	black	black
Flint	flint	Flint
pastor	pastor	pastor
who	who	who
shut	shut	shut
him	him	him
down	down	down
during	dure	during
a	a	a
speech	speech	speech
that	that	that
was	was	wa
becoming	becom	becoming
too	too	too
political	polit	political
,	,	,
he	he	he
only	onli	only
did	did	did
it	it	it
on	on	on
Fox	fox	Fox
News	news	News
.	.	.
He	he	He
didn	didn	didn
t	t	t
dare	dare	dare
challenge	challeng	challenge
the	the	the
pastor	pastor	pastor
to	to	to
her	her	her
face	face	face
in	in	in
front	front	front
of	of	of
a	a	a
crowd	crowd	crowd
of	of	of
a	a	a
African	african	African
-Americans	-american	-Americans
.	.	.
Once	onc	Once
again	again	again
,	,	,
the	the	the
bully	bulli	bully
shrunk	shrunk	shrunk
into	into	into
the	the	the
coward	coward	coward
he	he	he
is	is	is
.	.	.
Donald	donald	Donald
Trump	trump	Trump
the	the	the
blusterer	bluster	blusterer
is	is	is
not	not	not
the	the	the
same	same	same
guy	guy	guy
when	when	when
he	he	he
is	is	is
in	in	in
front	front	front
of	of	of
the	the	the
audience	audienc	audience
he	he	he
is	is	is
insulting	insult	insulting
when	when	when
he	he	he
is	is	is
in	in	in
front	front	front
of	of	of
the	the	the
Mexican	mexican	Mexican
president	presid	president
,	,	,
Reid	reid	Reid
said	said	said
.	.	.
When	when	When
he	he	he
is	is	is
confronted	confront	confronted
by	by	by
anyone	anyon	anyone
,	,	,
when	when	when
he	he	he
is	is	is
confronted	confront	confronted
,	,	,
he	he	he
backs	back	back
down	down	down
and	and	and
then	then	then
turns	turn	turn
around	around	around
and	and	and
tells	tell	tell
a	a	a
story	stori	story
about	about	about
how	how	how
tough	tough	tough
he	he	he
was	was	wa
.	.	.
The	the	The
more	more	more
he	he	he
puts	put	put
himself	himself	himself
in	in	in
front	front	front
of	of	of
audiences	audienc	audience
of	of	of
color	color	color
,	,	,
the	the	the
more	more	more
he	he	he
shows	show	show
off	off	off
he	he	he
is	is	is
passive	passiv	passive
and	and	and
aggressive	aggress	aggressive
.	.	.
He	he	He
is	is	is
only	onli	only
aggressive	aggress	aggressive
when	when	when
he	he	he
is	is	is
not	not	not
in	in	in
the	the	the
presence	presenc	presence
of	of	of
the	the	the
person	person	person
he	he	he
is	is	is
bullying	bulli	bullying
.	.	.
When	when	When
he	he	he
gets	get	get
in	in	in
front	front	front
of	of	of
the	the	the
person	person	person
that	that	that
he	he	he
previously	previous	previously
insulted	insult	insulted
,	,	,
he	he	he
becomes	becom	becomes
incredibly	incred	incredibly
passive	passiv	passive
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
VidMe	vidm	VidMe
.	.	.
Now	now	Now
that	that	that
it	it	it
s	s	s
established	establish	established
that	that	that
Trump	trump	Trump
is	is	is
a	a	a
coward	coward	coward
,	,	,
it	it	it
ll	ll	ll
be	be	be
fun	fun	fun
to	to	to
watch	watch	watch
how	how	how
he	he	he
reacts	react	reacts
when	when	when
it	it	it
comes	come	come
time	time	time
to	to	to
debate	debat	debate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
face	face	face
-to-face	-to-fac	-to-face
.	.	.
Because	becaus	Because
he	he	he
has	has	ha
been	been	been
bullying	bulli	bullying
her	her	her
the	the	the
most	most	most
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
